k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      0.90000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      0.81000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[1.0606609124322977, -1.183942899071595, 19.67921624981788]                     |820.2255249023437500|      0.90000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[1.0606609124322977, -1.183942899071595, 19.67921624981788]                     |820.2255249023437500|      0.81000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[1.0606609124322977, -1.183942899071595, 19.67921624981788]                     |820.2255249023437500|      0.72900000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[1.0606609124322977, -1.183942899071595, 19.67921624981788]                     |820.2255249023437500|      0.65610000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[1.0606609124322977, -1.183942899071595, 19.67921624981788]                     |820.2255249023437500|      0.59049000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[1.0606609124322977, -1.183942899071595, 19.67921624981788]                     |820.2255249023437500|      0.53144100|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[1.0606609124322977, -1.183942899071595, 19.67921624981788]                     |820.2255249023437500|      0.47829690|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[1.0606609124322977, -1.183942899071595, 19.67921624981788]                     |820.2255249023437500|      0.43046721|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[1.0606609124322977, -1.183942899071595, 19.67921624981788]                     |820.2255249023437500|      0.38742049|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[1.0606609124322977, -1.183942899071595, 19.67921624981788]                     |820.2255249023437500|      0.34867844|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[1.0606609124322977, -1.183942899071595, 19.67921624981788]                     |820.2255249023437500|      0.31381060|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[0.7672870859151821, -1.081826717203119, 19.634705874244638]                    |303.4021911621093750|      0.34867844|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[0.7672870859151821, -1.081826717203119, 19.634705874244638]                    |303.4021911621093750|      0.31381060|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
