k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7514694982056085|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5721014974766658, 0.8378913000140653, 5.258673204948442, 5.240777541443279, 6.354949475219205, 7.9341803422085]|190.2466888427734375|      5.00000000|[11, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
       2|[0.5721014974766658, 0.8378913000140653, 5.258673204948442, 5.240777541443279, 6.354949475219205, 7.9341803422085]|190.2466888427734375|      1.00000000|[22, 8, 0, 4]                                                              |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[-0.1477033748643349, 0.5418513569174009, 4.900138929449987, 5.5050642950214765, 5.913671573182657, 7.900702047813514]|120.9489593505859375|      5.00000000|[33, 12, 0, 6]                                                             |  | trying linear partial model with 7 points | iterate success | actual_k=2
       4|[-0.1477033748643349, 0.5418513569174009, 4.900138929449987, 5.5050642950214765, 5.913671573182657, 7.900702047813514]|120.9489593505859375|      1.00000000|[43, 16, 0, 8]                                                             |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[-0.6565710362741203, 0.5912750502024106, 4.289695089948542, 5.732424026873397, 5.50981725623205, 8.289518924428611]| 74.3535766601562500|      5.00000000|[53, 20, 0, 10]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       6|[-0.6565710362741203, 0.5912750502024106, 4.289695089948542, 5.732424026873397, 5.50981725623205, 8.289518924428611]| 74.3535766601562500|      1.00000000|[64, 24, 0, 12]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       7|[-1.0250812161474356, 0.6641666005530606, 3.5722061787303816, 5.595343603874113, 4.942541779729306, 8.230322447463198]| 45.1477050781250000|      5.00000000|[75, 28, 0, 14]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       8|[-1.0250812161474356, 0.6641666005530606, 3.5722061787303816, 5.595343603874113, 4.942541779729306, 8.230322447463198]| 45.1477050781250000|      1.00000000|[86, 32, 0, 16]                                                            |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[-1.3741620923964248, 1.0182622926069456, 2.912096891585224, 5.775665257917762, 4.410402540505192, 8.266742811159546]| 27.2915019989013672|      5.00000000|[96, 36, 0, 18]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
      10|[-1.3741620923964248, 1.0182622926069456, 2.912096891585224, 5.775665257917762, 4.410402540505192, 8.266742811159546]| 27.2915019989013672|      1.00000000|[107, 40, 0, 20]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      11|[-1.422468812011634, 1.6269761923482435, 2.241173944018855, 5.661556688190652, 4.021022691113902, 8.155572605018405]| 14.7652044296264648|      5.00000000|[118, 44, 0, 22]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      12|[-1.422468812011634, 1.6269761923482435, 2.241173944018855, 5.661556688190652, 4.021022691113902, 8.155572605018405]| 14.7652044296264648|      1.00000000|[129, 48, 0, 24]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      13|[-1.422468812011634, 1.6269761923482435, 2.241173944018855, 5.661556688190652, 4.021022691113902, 8.155572605018405]| 14.7652044296264648|      0.20000000|[141, 52, 0, 26]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[-1.4443359625384986, 1.7554070589937494, 2.1173742263350266, 5.610354184777508, 3.9778759867319002, 8.098848397953667]| 13.2095108032226562|      1.00000000|[153, 56, 0, 28]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      15|[-1.4443359625384986, 1.7554070589937494, 2.1173742263350266, 5.610354184777508, 3.9778759867319002, 8.098848397953667]| 13.2095108032226562|      0.20000000|[163, 60, 0, 30]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      16|[-1.40705946914639, 1.8620589495189273, 1.9773832093155823, 5.612760711544165, 3.9089949136998863, 8.04510866545959]| 11.6699218750000000|      1.00000000|[174, 64, 0, 32]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      17|[-1.40705946914639, 1.8620589495189273, 1.9773832093155823, 5.612760711544165, 3.9089949136998863, 8.04510866545959]| 11.6699218750000000|      0.20000000|[185, 68, 0, 34]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      18|[-1.332263425718784, 1.9399254136449238, 1.873226435031559, 5.525752331430207, 3.8158433164394907, 8.009809179052285]| 10.2425069808959961|      1.00000000|[196, 72, 0, 36]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      19|[-1.332263425718784, 1.9399254136449238, 1.873226435031559, 5.525752331430207, 3.8158433164394907, 8.009809179052285]| 10.2425069808959961|      0.20000000|[207, 76, 0, 38]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      20|[-1.2386944074921336, 2.027540212075165, 1.7759557206823207, 5.525485419794724, 3.7059683480681302, 7.964705807363583]|  8.9288578033447266|      1.00000000|[218, 80, 0, 40]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      21|[-1.2386944074921336, 2.027540212075165, 1.7759557206823207, 5.525485419794724, 3.7059683480681302, 7.964705807363583]|  8.9288578033447266|      0.20000000|[229, 84, 0, 42]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      22|[-1.2170610805523883, 2.150109156469772, 1.6577796878068336, 5.499656030600371, 3.6107404547850384, 7.936284525125929]|  7.8461594581604004|      1.00000000|[240, 88, 0, 44]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      23|[-1.2170610805523883, 2.150109156469772, 1.6577796878068336, 5.499656030600371, 3.6107404547850384, 7.936284525125929]|  7.8461594581604004|      0.20000000|[251, 92, 0, 46]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      24|[-1.168781993828056, 2.2835894621194606, 1.6958561352499275, 5.426222102696789, 3.519028936311078, 7.868470237909331]|  6.9952454566955566|      1.00000000|[261, 96, 0, 48]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      25|[-1.168781993828056, 2.2835894621194606, 1.6958561352499275, 5.426222102696789, 3.519028936311078, 7.868470237909331]|  6.9952454566955566|      0.20000000|[271, 100, 0, 50]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      26|[-1.047533171826467, 2.322719648587138, 1.7412849554989944, 5.39525492836953, 3.431827964830024, 7.753836915319625]|  6.4685816764831543|      1.00000000|[281, 104, 0, 52]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
