k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      1.11111111|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[2.166920913113317, 0.9231420761790725, -7.777478283494001]                     |  8.8465166091918945|      1.23456790|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | iterate success | actual_k=1
       3|[2.166920913113317, 0.9231420761790725, -7.777478283494001]                     |  8.8465166091918945|      1.11111111|[28, 11, 0, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
       4|[2.166920913113317, 0.9231420761790725, -7.777478283494001]                     |  8.8465166091918945|      1.00000000|[38, 15, 0, 15]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[2.166920913113317, 0.9231420761790725, -7.777478283494001]                     |  8.8465166091918945|      0.90000000|[50, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[2.166920913113317, 0.9231420761790725, -7.777478283494001]                     |  8.8465166091918945|      0.81000000|[60, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[2.035744469909787, 0.1269854104782212, -7.706574796918426]                     |  5.1638364791870117|      0.90000000|[70, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=1
       8|[2.035744469909787, 0.1269854104782212, -7.706574796918426]                     |  5.1638364791870117|      0.81000000|[81, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
       9|[2.035744469909787, 0.1269854104782212, -7.706574796918426]                     |  5.1638364791870117|      0.72900000|[93, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      10|[2.035744469909787, 0.1269854104782212, -7.706574796918426]                     |  5.1638364791870117|      0.65610000|[103, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      11|[2.035744469909787, 0.1269854104782212, -7.706574796918426]                     |  5.1638364791870117|      0.59049000|[115, 45, 0, 45]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      12|[2.035744469909787, 0.1269854104782212, -7.706574796918426]                     |  5.1638364791870117|      0.53144100|[125, 49, 0, 49]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      13|[2.035744469909787, 0.1269854104782212, -7.706574796918426]                     |  5.1638364791870117|      0.47829690|[136, 53, 0, 53]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      14|[2.035744469909787, 0.1269854104782212, -7.706574796918426]                     |  5.1638364791870117|      0.43046721|[147, 57, 0, 57]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      15|[2.035744469909787, 0.1269854104782212, -7.706574796918426]                     |  5.1638364791870117|      0.38742049|[158, 61, 0, 61]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.6487191191753392, 0.1116247483736001, -7.698204417859821]                    |  3.7327647209167480|      0.43046721|[166, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | iterate success | actual_k=1
