k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0077973724840422, -0.0246352516362426]                                       |  0.0000011898538332|      5.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[0.0077973724840422, -0.0246352516362426]                                       |  0.0000011898538332|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       3|[0.0077973724840422, -0.0246352516362426]                                       |  0.0000011898538332|      0.20000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[0.0077973724840422, -0.0246352516362426]                                       |  0.0000011898538332|      0.04000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       5|[0.0077973724840422, -0.0246352516362426]                                       |  0.0000011898538332|      0.00800000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.0077973724840422, -0.0246352516362426]                                       |  0.0000011898538332|      0.00160000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[0.0077973724840422, -0.0246352516362426]                                       |  0.0000011898538332|      0.00032000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.0077973724840422, -0.0246352516362426]                                       |  0.0000011898538332|      0.00006400|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[0.0077973724840422, -0.0246352516362426]                                       |  0.0000011898538332|      0.00001280|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[0.0077956877629643, -0.0246225629911262]                                       |  0.0000011874617485|      0.00006400|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[0.0077956877629643, -0.0246225629911262]                                       |  0.0000011874617485|      0.00001280|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[0.0077940021498722, -0.0246098744644779]                                       |  0.0000011850731880|      0.00006400|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[0.0077940021498722, -0.0246098744644779]                                       |  0.0000011850731880|      0.00001280|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[0.0077923160477951, -0.0245971860027987]                                       |  0.0000011826882655|      0.00006400|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[0.0077923160477951, -0.0245971860027987]                                       |  0.0000011826882655|      0.00001280|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[0.0077906291964823, -0.0245844976407039]                                       |  0.0000011803069810|      0.00006400|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      17|[0.0077906291964823, -0.0245844976407039]                                       |  0.0000011803069810|      0.00001280|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
