k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6095535766751647, 0.0519688242793704, 0.1352853346516554, 0.7793853711056846, 9.25922738e-08, -2.290994829e-07, 9.7811514e-09, -5.61985531e-08, 1.38745283e-08, 7.50007122e-08, -9.11331411e-08, 9.77812098e-08, -6.93945017e-08, -2.47528215e-08, -3.50050131e-08, 2.357223807e-07, -1.14666658e-07, 2.24034982e-08, 6.28013334e-08, 8.30680029e-08, 4.88573252e-08, 3.07380168e-08]| 13.1512060165405273|      2.00000000|[129, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       2|[1.827775682416404, 0.1555347407559055, 0.406065472021912, 2.3388362742229214, -4.83783284e-08, -2.485704876e-07, -5.91475293e-08, -1.396264e-08, 2.852752266e-07, 2.923525409e-07, -2.856729202e-07, 2.730582586e-07, -1.403768831e-07, 1.247871306e-07, 7.4663974e-09, 2.362839425e-07, -1.015813802e-07, 7.55221168e-08, -1.590776626e-07, 8.99290146e-08, -1.2648256e-07, -6.17831474e-08]| 12.2813034057617188|      4.00000000|[257, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       3|[1.827775682416404, 0.1555347407559055, 0.406065472021912, 2.3388362742229214, -4.83783284e-08, -2.485704876e-07, -5.91475293e-08, -1.396264e-08, 2.852752266e-07, 2.923525409e-07, -2.856729202e-07, 2.730582586e-07, -1.403768831e-07, 1.247871306e-07, 7.4663974e-09, 2.362839425e-07, -1.015813802e-07, 7.55221168e-08, -1.590776626e-07, 8.99290146e-08, -1.2648256e-07, -6.17831474e-08]| 12.2813034057617188|      2.00000000|[385, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.827775682416404, 0.1555347407559055, 0.406065472021912, 2.3388362742229214, -4.83783284e-08, -2.485704876e-07, -5.91475293e-08, -1.396264e-08, 2.852752266e-07, 2.923525409e-07, -2.856729202e-07, 2.730582586e-07, -1.403768831e-07, 1.247871306e-07, 7.4663974e-09, 2.362839425e-07, -1.015813802e-07, 7.55221168e-08, -1.590776626e-07, 8.99290146e-08, -1.2648256e-07, -6.17831474e-08]| 12.2813034057617188|      1.00000000|[513, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       5|[1.827775682416404, 0.1555347407559055, 0.406065472021912, 2.3388362742229214, -4.83783284e-08, -2.485704876e-07, -5.91475293e-08, -1.396264e-08, 2.852752266e-07, 2.923525409e-07, -2.856729202e-07, 2.730582586e-07, -1.403768831e-07, 1.247871306e-07, 7.4663974e-09, 2.362839425e-07, -1.015813802e-07, 7.55221168e-08, -1.590776626e-07, 8.99290146e-08, -1.2648256e-07, -6.17831474e-08]| 12.2813034057617188|      0.50000000|[641, 0, 0, 10]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       6|[1.5212013537324318, 0.1287951774186157, 0.3388489698957486, 1.9505334045643015, 2.16309088e-08, -3.46322866e-08, 8.65925209e-08, -2.820574367e-07, 9.422623443e-07, 4.120832364e-07, -4.23786275e-08, 3.629054005e-07, -2.280832421e-07, -2.352168678e-07, 3.857989399e-07, 4.923859362e-07, 4.62173013e-08, -2.519555404e-07, -4.351157953e-07, 1.722106238e-07, -4.048390813e-07, 5.91426047e-08]| 12.1453084945678711|      1.00000000|[769, 0, 0, 12]                                                            |  | trying linear partial model with 65 points | iterate success | actual_k=0
       7|[1.5212013537324318, 0.1287951774186157, 0.3388489698957486, 1.9505334045643015, 2.16309088e-08, -3.46322866e-08, 8.65925209e-08, -2.820574367e-07, 9.422623443e-07, 4.120832364e-07, -4.23786275e-08, 3.629054005e-07, -2.280832421e-07, -2.352168678e-07, 3.857989399e-07, 4.923859362e-07, 4.62173013e-08, -2.519555404e-07, -4.351157953e-07, 1.722106238e-07, -4.048390813e-07, 5.91426047e-08]| 12.1453084945678711|      0.50000000|[897, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.5212013537324318, 0.1287951774186157, 0.3388489698957486, 1.9505334045643015, 2.16309088e-08, -3.46322866e-08, 8.65925209e-08, -2.820574367e-07, 9.422623443e-07, 4.120832364e-07, -4.23786275e-08, 3.629054005e-07, -2.280832421e-07, -2.352168678e-07, 3.857989399e-07, 4.923859362e-07, 4.62173013e-08, -2.519555404e-07, -4.351157953e-07, 1.722106238e-07, -4.048390813e-07, 5.91426047e-08]| 12.1453084945678711|      0.25000000|[1025, 0, 0, 16]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       9|[1.5212013537324318, 0.1287951774186157, 0.3388489698957486, 1.9505334045643015, 2.16309088e-08, -3.46322866e-08, 8.65925209e-08, -2.820574367e-07, 9.422623443e-07, 4.120832364e-07, -4.23786275e-08, 3.629054005e-07, -2.280832421e-07, -2.352168678e-07, 3.857989399e-07, 4.923859362e-07, 4.62173013e-08, -2.519555404e-07, -4.351157953e-07, 1.722106238e-07, -4.048390813e-07, 5.91426047e-08]| 12.1453084945678711|      0.12500000|[1153, 0, 0, 18]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.5212013537324318, 0.1287951774186157, 0.3388489698957486, 1.9505334045643015, 2.16309088e-08, -3.46322866e-08, 8.65925209e-08, -2.820574367e-07, 9.422623443e-07, 4.120832364e-07, -4.23786275e-08, 3.629054005e-07, -2.280832421e-07, -2.352168678e-07, 3.857989399e-07, 4.923859362e-07, 4.62173013e-08, -2.519555404e-07, -4.351157953e-07, 1.722106238e-07, -4.048390813e-07, 5.91426047e-08]| 12.1453084945678711|      0.06250000|[1281, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      11|[1.5212013537324318, 0.1287951774186157, 0.3388489698957486, 1.9505334045643015, 2.16309088e-08, -3.46322866e-08, 8.65925209e-08, -2.820574367e-07, 9.422623443e-07, 4.120832364e-07, -4.23786275e-08, 3.629054005e-07, -2.280832421e-07, -2.352168678e-07, 3.857989399e-07, 4.923859362e-07, 4.62173013e-08, -2.519555404e-07, -4.351157953e-07, 1.722106238e-07, -4.048390813e-07, 5.91426047e-08]| 12.1453084945678711|      0.03125000|[1409, 0, 0, 22]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
