k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5062031185027275, 0.2238640057256579, -0.0071564875691577, 0.6117622147452328, 0.2545308748802036, 0.0724196160428194, -0.0416723907671665, -0.0941146262181341, -0.0882423117798146, -0.0538856697245944, -0.0572223412920609, 0.2014973951431998, 0.1371269445502976, -0.0389007635977238, -0.1145832354189745, -0.0803984297843836, 0.0637336627801475, 0.2947172897883802, 0.123998145364176, 0.0976225885573971, -0.1559417661123896, 0.0639867390566559]| 13.4518623352050781|      2.00000000|[59, 4, 0, 2]                                                              |  | trying linear partial model with 31 points | iterate success | actual_k=2
       2|[0.5062031185027275, 0.2238640057256579, -0.0071564875691577, 0.6117622147452328, 0.2545308748802036, 0.0724196160428194, -0.0416723907671665, -0.0941146262181341, -0.0882423117798146, -0.0538856697245944, -0.0572223412920609, 0.2014973951431998, 0.1371269445502976, -0.0389007635977238, -0.1145832354189745, -0.0803984297843836, 0.0637336627801475, 0.2947172897883802, 0.123998145364176, 0.0976225885573971, -0.1559417661123896, 0.0639867390566559]| 13.4518623352050781|      1.00000000|[118, 8, 0, 4]                                                             |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       3|[0.8916181579204677, 0.03982509545212, 0.0567262287363072, 1.3798519061237018, 0.0573289799727613, -0.0260933877622724, 0.0778456003381982, -0.0346693799128953, -0.1226610013318297, -0.0627379352407971, -0.264492341086305, 0.2798677369444459, 0.2073320302522671, -0.2423894544614878, -0.1686435990225165, -0.070038140140018, 0.1516410132459448, 0.1603898277142284, 0.1228407717711671, 0.1583164967650147, -0.2825645235593782, -0.0451391087586897]| 12.4712982177734375|      2.00000000|[176, 12, 0, 6]                                                            |  | trying linear partial model with 31 points | iterate success | actual_k=2
       4|[0.8916181579204677, 0.03982509545212, 0.0567262287363072, 1.3798519061237018, 0.0573289799727613, -0.0260933877622724, 0.0778456003381982, -0.0346693799128953, -0.1226610013318297, -0.0627379352407971, -0.264492341086305, 0.2798677369444459, 0.2073320302522671, -0.2423894544614878, -0.1686435990225165, -0.070038140140018, 0.1516410132459448, 0.1603898277142284, 0.1228407717711671, 0.1583164967650147, -0.2825645235593782, -0.0451391087586897]| 12.4712982177734375|      1.00000000|[234, 16, 0, 8]                                                            |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       5|[1.3440656388615777, 0.1242577174443167, 0.0926280784227655, 2.1074417486081902, 0.0378584240049938, 0.1971797155019508, 0.2303209800763102, -0.1366355034905491, -0.2470693137696445, -0.107544962069513, -0.3574223475551185, -0.0035174856262123, 0.2162588608424348, -0.3192290763760816, -0.1928622012585453, -0.1632263296309789, 0.0721392318104488, 0.3059981916955933, 0.1470835039622036, 0.1917733892692293, -0.4332058008709289, -0.0427696968781784]| 12.1444187164306641|      2.00000000|[292, 20, 0, 10]                                                           |  | trying linear partial model with 31 points | iterate success | actual_k=2
       6|[1.3440656388615777, 0.1242577174443167, 0.0926280784227655, 2.1074417486081902, 0.0378584240049938, 0.1971797155019508, 0.2303209800763102, -0.1366355034905491, -0.2470693137696445, -0.107544962069513, -0.3574223475551185, -0.0035174856262123, 0.2162588608424348, -0.3192290763760816, -0.1928622012585453, -0.1632263296309789, 0.0721392318104488, 0.3059981916955933, 0.1470835039622036, 0.1917733892692293, -0.4332058008709289, -0.0427696968781784]| 12.1444187164306641|      1.00000000|[350, 24, 0, 12]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       7|[1.3440656388615777, 0.1242577174443167, 0.0926280784227655, 2.1074417486081902, 0.0378584240049938, 0.1971797155019508, 0.2303209800763102, -0.1366355034905491, -0.2470693137696445, -0.107544962069513, -0.3574223475551185, -0.0035174856262123, 0.2162588608424348, -0.3192290763760816, -0.1928622012585453, -0.1632263296309789, 0.0721392318104488, 0.3059981916955933, 0.1470835039622036, 0.1917733892692293, -0.4332058008709289, -0.0427696968781784]| 12.1444187164306641|      0.50000000|[408, 28, 0, 14]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       8|[1.3440656388615777, 0.1242577174443167, 0.0926280784227655, 2.1074417486081902, 0.0378584240049938, 0.1971797155019508, 0.2303209800763102, -0.1366355034905491, -0.2470693137696445, -0.107544962069513, -0.3574223475551185, -0.0035174856262123, 0.2162588608424348, -0.3192290763760816, -0.1928622012585453, -0.1632263296309789, 0.0721392318104488, 0.3059981916955933, 0.1470835039622036, 0.1917733892692293, -0.4332058008709289, -0.0427696968781784]| 12.1444187164306641|      0.25000000|[467, 32, 0, 16]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
       9|[1.3440656388615777, 0.1242577174443167, 0.0926280784227655, 2.1074417486081902, 0.0378584240049938, 0.1971797155019508, 0.2303209800763102, -0.1366355034905491, -0.2470693137696445, -0.107544962069513, -0.3574223475551185, -0.0035174856262123, 0.2162588608424348, -0.3192290763760816, -0.1928622012585453, -0.1632263296309789, 0.0721392318104488, 0.3059981916955933, 0.1470835039622036, 0.1917733892692293, -0.4332058008709289, -0.0427696968781784]| 12.1444187164306641|      0.12500000|[526, 36, 0, 18]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      10|[1.3440656388615777, 0.1242577174443167, 0.0926280784227655, 2.1074417486081902, 0.0378584240049938, 0.1971797155019508, 0.2303209800763102, -0.1366355034905491, -0.2470693137696445, -0.107544962069513, -0.3574223475551185, -0.0035174856262123, 0.2162588608424348, -0.3192290763760816, -0.1928622012585453, -0.1632263296309789, 0.0721392318104488, 0.3059981916955933, 0.1470835039622036, 0.1917733892692293, -0.4332058008709289, -0.0427696968781784]| 12.1444187164306641|      0.06250000|[585, 40, 0, 20]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      11|[1.3440656388615777, 0.1242577174443167, 0.0926280784227655, 2.1074417486081902, 0.0378584240049938, 0.1971797155019508, 0.2303209800763102, -0.1366355034905491, -0.2470693137696445, -0.107544962069513, -0.3574223475551185, -0.0035174856262123, 0.2162588608424348, -0.3192290763760816, -0.1928622012585453, -0.1632263296309789, 0.0721392318104488, 0.3059981916955933, 0.1470835039622036, 0.1917733892692293, -0.4332058008709289, -0.0427696968781784]| 12.1444187164306641|      0.03125000|[643, 44, 0, 22]                                                           |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
