k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.50000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       2|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.25000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       3|[1.1423504056444993, 0.7944851294605509]                                        |  4.4200320243835449|      0.50000000|[17, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[1.1423504056444993, 0.7944851294605509]                                        |  4.4200320243835449|      0.25000000|[23, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[1.1423504056444993, 0.7944851294605509]                                        |  4.4200320243835449|      0.12500000|[29, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.2045904125662734, 0.6860822626240253]                                        |  3.7733561992645264|      0.25000000|[35, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[1.2045904125662734, 0.6860822626240253]                                        |  3.7733561992645264|      0.12500000|[40, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.2633705557488046, 0.5757650166130722]                                        |  3.2055406570434570|      0.25000000|[46, 16, 0, 16]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[1.2633705557488046, 0.5757650166130722]                                        |  3.2055406570434570|      0.12500000|[51, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.3691369955295256, 0.509143246776846]                                         |  2.7786707878112793|      0.25000000|[57, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      11|[1.3691369955295256, 0.509143246776846]                                         |  2.7786707878112793|      0.12500000|[63, 22, 0, 22]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[1.4190529399114888, 0.3945422062211131]                                        |  2.3347837924957275|      0.25000000|[68, 24, 0, 24]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      13|[1.4190529399114888, 0.3945422062211131]                                        |  2.3347837924957275|      0.12500000|[74, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[1.4722398505341392, 0.2814221260477937]                                        |  1.9426326751708984|      0.25000000|[79, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      15|[1.4722398505341392, 0.2814221260477937]                                        |  1.9426326751708984|      0.12500000|[84, 30, 0, 30]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.5234381596790854, 0.1673882138080633]                                        |  1.5962698459625244|      0.25000000|[89, 32, 0, 32]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      17|[1.5234381596790854, 0.1673882138080633]                                        |  1.5962698459625244|      0.12500000|[94, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[1.565800843435916, 0.0497854798903559]                                         |  1.2910457849502563|      0.25000000|[100, 36, 0, 36]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      19|[1.565800843435916, 0.0497854798903559]                                         |  1.2910457849502563|      0.12500000|[105, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.565800843435916, 0.0497854798903559]                                         |  1.2910457849502563|      0.06250000|[110, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[1.589593869536306, -0.0080084809445459]                                        |  1.1524912118911743|      0.12500000|[115, 42, 0, 42]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      22|[1.589593869536306, -0.0080084809445459]                                        |  1.1524912118911743|      0.06250000|[120, 44, 0, 44]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.6142589488080625, -0.0654356858610132]                                       |  1.0228437185287476|      0.12500000|[125, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      24|[1.6142589488080625, -0.0654356858610132]                                       |  1.0228437185287476|      0.06250000|[131, 48, 0, 48]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.6378040502330147, -0.1233310932685849]                                       |  0.9017297029495239|      0.12500000|[136, 50, 0, 50]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[1.6378040502330147, -0.1233310932685849]                                       |  0.9017297029495239|      0.06250000|[142, 52, 0, 52]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.6597422565972617, -0.1818542946635847]                                       |  0.7889665365219116|      0.12500000|[148, 54, 0, 54]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
