k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.50000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.25000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       3|[0.7501434246420354, 0.091532901890862]                                         |  0.9595848917961121|      0.50000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[0.7501434246420354, 0.091532901890862]                                         |  0.9595848917961121|      0.25000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       5|[0.7501434246420354, 0.091532901890862]                                         |  0.9595848917961121|      0.12500000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.6252770813285771, 0.0857539480473399]                                        |  0.4644884467124939|      0.25000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[0.6252770813285771, 0.0857539480473399]                                        |  0.4644884467124939|      0.12500000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.6252770813285771, 0.0857539480473399]                                        |  0.4644884467124939|      0.06250000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[0.5628467013542197, 0.0828047691349379]                                        |  0.3055652678012848|      0.12500000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[0.5628467013542197, 0.0828047691349379]                                        |  0.3055652678012848|      0.06250000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.5628467013542197, 0.0828047691349379]                                        |  0.3055652678012848|      0.03125000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[0.531639652411023, 0.0811669058143496]                                         |  0.2435116767883301|      0.06250000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[0.531639652411023, 0.0811669058143496]                                         |  0.2435116767883301|      0.03125000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[0.5004365834955892, 0.0794548923042718]                                        |  0.1914373785257339|      0.06250000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[0.5004365834955892, 0.0794548923042718]                                        |  0.1914373785257339|      0.03125000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[0.4692375872329, 0.0776701984367665]                                           |  0.1482086479663849|      0.06250000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      17|[0.4692375872329, 0.0776701984367665]                                           |  0.1482086479663849|      0.03125000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      18|[0.4380415318055374, 0.0758348167944597]                                        |  0.1127604544162750|      0.06250000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      19|[0.4380415318055374, 0.0758348167944597]                                        |  0.1127604544162750|      0.03125000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      20|[0.4380415318055374, 0.0758348167944597]                                        |  0.1127604544162750|      0.01562500|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      21|[0.4224470584175368, 0.0748585869286281]                                        |  0.0976398885250092|      0.03125000|[169, 0, 0, 42]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      22|[0.4224470584175368, 0.0748585869286281]                                        |  0.0976398885250092|      0.01562500|[177, 0, 0, 44]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
