k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7503748359903852|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.530218063484071, 0.7952683554427464, 5.253291017953994, 5.197970746852507, 6.362115094741397, 7.875064317074434]|189.0641174316406250|      2.00000000|[14, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       2|[0.530218063484071, 0.7952683554427464, 5.253291017953994, 5.197970746852507, 6.362115094741397, 7.875064317074434]|189.0641174316406250|      1.00000000|[28, 4, 0, 4]                                                              |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       3|[-0.176042511287294, 0.5218000511174473, 4.864476715634022, 5.517602798100184, 5.948467340223523, 7.830731345574396]|120.0075149536132812|      2.00000000|[42, 6, 0, 6]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       4|[-0.176042511287294, 0.5218000511174473, 4.864476715634022, 5.517602798100184, 5.948467340223523, 7.830731345574396]|120.0075149536132812|      1.00000000|[55, 8, 0, 8]                                                              |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       5|[-0.6810978472405944, 0.5639997440973088, 4.262495410223529, 5.754001279722903, 5.531476565319087, 8.219307275097641]| 74.0073471069335938|      2.00000000|[68, 10, 0, 10]                                                            |  | trying linear partial model with 8 points | iterate success | actual_k=1
       6|[-0.6810978472405944, 0.5639997440973088, 4.262495410223529, 5.754001279722903, 5.531476565319087, 8.219307275097641]| 74.0073471069335938|      1.00000000|[81, 12, 0, 12]                                                            |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       7|[-0.6810978472405944, 0.5639997440973088, 4.262495410223529, 5.754001279722903, 5.531476565319087, 8.219307275097641]| 74.0073471069335938|      0.50000000|[94, 14, 0, 14]                                                            |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       8|[-0.8585183460771424, 0.7188370754187084, 3.986499104842949, 5.723387365026784, 5.189960808040133, 8.190966798826274]| 57.6486701965332031|      1.00000000|[108, 16, 0, 16]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
       9|[-0.8585183460771424, 0.7188370754187084, 3.986499104842949, 5.723387365026784, 5.189960808040133, 8.190966798826274]| 57.6486701965332031|      0.50000000|[121, 18, 0, 18]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      10|[-1.1212215352307173, 0.6013033388458933, 3.611491433621072, 5.609939649079375, 5.084410473258858, 8.140659301627599]| 48.5251045227050781|      1.00000000|[134, 20, 0, 20]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      11|[-1.1212215352307173, 0.6013033388458933, 3.611491433621072, 5.609939649079375, 5.084410473258858, 8.140659301627599]| 48.5251045227050781|      0.50000000|[148, 22, 0, 22]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      12|[-1.1507431258015943, 0.8105272041695084, 3.282277252579167, 5.660369414677188, 4.777123251007829, 8.138849701363625]| 36.9728813171386719|      1.00000000|[162, 24, 0, 24]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      13|[-1.1507431258015943, 0.8105272041695084, 3.282277252579167, 5.660369414677188, 4.777123251007829, 8.138849701363625]| 36.9728813171386719|      0.50000000|[176, 26, 0, 26]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      14|[-1.1507431258015943, 0.8105272041695084, 3.282277252579167, 5.660369414677188, 4.777123251007829, 8.138849701363625]| 36.9728813171386719|      0.25000000|[190, 28, 0, 28]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      15|[-1.320042295581441, 0.9142889430150402, 3.1733842752174377, 5.644639717132447, 4.742516943227712, 8.23768589019081]| 34.1041946411132812|      0.50000000|[203, 30, 0, 30]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      16|[-1.320042295581441, 0.9142889430150402, 3.1733842752174377, 5.644639717132447, 4.742516943227712, 8.23768589019081]| 34.1041946411132812|      0.25000000|[217, 32, 0, 32]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      17|[-1.3472016561554239, 1.0679970843533904, 3.039068605576113, 5.641936630900817, 4.603070641832535, 8.26304135627516]| 29.4470424652099609|      0.50000000|[230, 34, 0, 34]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      18|[-1.3472016561554239, 1.0679970843533904, 3.039068605576113, 5.641936630900817, 4.603070641832535, 8.26304135627516]| 29.4470424652099609|      0.25000000|[243, 36, 0, 36]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      19|[-1.339708013357094, 1.1869334990009184, 2.8679704083060544, 5.5631202974349465, 4.491682298775887, 8.242941503304818]| 25.4453697204589844|      0.50000000|[256, 38, 0, 38]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      20|[-1.339708013357094, 1.1869334990009184, 2.8679704083060544, 5.5631202974349465, 4.491682298775887, 8.242941503304818]| 25.4453697204589844|      0.25000000|[269, 40, 0, 40]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      21|[-1.3873644133388938, 1.2544157848108621, 2.7150612903952354, 5.44222638144746, 4.382301668969713, 8.167348188767152]| 22.4838542938232422|      0.50000000|[282, 42, 0, 42]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      22|[-1.3873644133388938, 1.2544157848108621, 2.7150612903952354, 5.44222638144746, 4.382301668969713, 8.167348188767152]| 22.4838542938232422|      0.25000000|[295, 44, 0, 44]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
