k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.10000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[1.0544151617569728, 0.916101310076006]                                         |  5.3159666061401367|      1.00000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       3|[1.0544151617569728, 0.916101310076006]                                         |  5.3159666061401367|      0.10000000|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.1071902713166015, 0.8311614030183151]                                        |  4.7009277343750000|      1.00000000|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       5|[1.1071902713166015, 0.8311614030183151]                                        |  4.7009277343750000|      0.10000000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[1.1586787701327645, 0.7454354764286423]                                        |  4.1476845741271973|      1.00000000|[49, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       7|[1.1586787701327645, 0.7454354764286423]                                        |  4.1476845741271973|      0.10000000|[57, 0, 0, 14]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.2076611285485574, 0.658253319056696]                                         |  3.6496293544769287|      1.00000000|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       9|[1.2076611285485574, 0.658253319056696]                                         |  3.6496293544769287|      0.10000000|[73, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.255338094580559, 0.5703504925379579]                                         |  3.2009077072143555|      1.00000000|[81, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      11|[1.255338094580559, 0.5703504925379579]                                         |  3.2009077072143555|      0.10000000|[89, 0, 0, 22]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[1.301988679586024, 0.4818986812583245]                                         |  2.7963888645172119|      1.00000000|[97, 0, 0, 24]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      13|[1.301988679586024, 0.4818986812583245]                                         |  2.7963888645172119|      0.10000000|[105, 0, 0, 26]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[1.301988679586024, 0.4818986812583245]                                         |  2.7963888645172119|      0.01000000|[113, 0, 0, 28]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[1.3064600863821398, 0.4729540448060336]                                        |  2.7581834793090820|      0.10000000|[121, 0, 0, 30]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      16|[1.3064600863821398, 0.4729540448060336]                                        |  2.7581834793090820|      0.01000000|[129, 0, 0, 32]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      17|[1.3109288323351567, 0.4640080786979268]                                        |  2.7203688621520996|      0.10000000|[137, 0, 0, 34]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      18|[1.3109288323351567, 0.4640080786979268]                                        |  2.7203688621520996|      0.01000000|[145, 0, 0, 36]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      19|[1.3153822922764102, 0.4550544931283547]                                        |  2.6829411983489990|      0.10000000|[153, 0, 0, 38]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      20|[1.3153822922764102, 0.4550544931283547]                                        |  2.6829411983489990|      0.01000000|[161, 0, 0, 40]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      21|[1.3198219147763308, 0.4460940382259404]                                        |  2.6458959579467773|      0.10000000|[169, 0, 0, 42]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      22|[1.3198219147763308, 0.4460940382259404]                                        |  2.6458959579467773|      0.01000000|[177, 0, 0, 44]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      23|[1.3242399738055444, 0.437122931582143]                                         |  2.6092293262481689|      0.10000000|[185, 0, 0, 46]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      24|[1.3242399738055444, 0.437122931582143]                                         |  2.6092293262481689|      0.01000000|[193, 0, 0, 48]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      25|[1.328655909740259, 0.4281507796763572]                                         |  2.5729372501373291|      0.10000000|[201, 0, 0, 50]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      26|[1.328655909740259, 0.4281507796763572]                                         |  2.5729372501373291|      0.01000000|[209, 0, 0, 52]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      27|[1.3330559617255748, 0.4191708274199965]                                        |  2.5370159149169922|      0.10000000|[217, 0, 0, 54]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      28|[1.3330559617255748, 0.4191708274199965]                                        |  2.5370159149169922|      0.01000000|[225, 0, 0, 56]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      29|[1.3374384994020776, 0.4101823145555659]                                        |  2.5014612674713135|      0.10000000|[233, 0, 0, 58]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      30|[1.3374384994020776, 0.4101823145555659]                                        |  2.5014612674713135|      0.01000000|[241, 0, 0, 60]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      31|[1.3418178000598626, 0.4011922241361806]                                        |  2.4662699699401855|      0.10000000|[249, 0, 0, 62]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      32|[1.3418178000598626, 0.4011922241361806]                                        |  2.4662699699401855|      0.01000000|[257, 0, 0, 64]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      33|[1.3461767323266047, 0.3921922402754198]                                        |  2.4314374923706055|      0.10000000|[265, 0, 0, 66]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      34|[1.3461767323266047, 0.3921922402754198]                                        |  2.4314374923706055|      0.01000000|[273, 0, 0, 68]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      35|[1.350531316855573, 0.383190151985469]                                          |  2.3969607353210449|      0.10000000|[281, 0, 0, 70]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      36|[1.350531316855573, 0.383190151985469]                                          |  2.3969607353210449|      0.01000000|[289, 0, 0, 72]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
