k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9414589002263747, 2.0035265728360367, -7.939886369321088]                    | 40.9806060791015625|      1.11111111|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       2|[2.199378690431877, 0.9817298193878548, -7.58778314908919]                      |  9.6213140487670898|      1.23456790|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       3|[2.677923401259146, 0.1738631098512038, -8.389346772340891]                     |  8.2124729156494141|      1.37174211|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       4|[2.0955382207866737, -0.6966077336855508, -7.503466173570769]                   |  5.4348454475402832|      1.52415790|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       5|[0.8156509264357621, -0.2986615402361223, -8.229127701709121]                   |  1.7086277008056641|      1.69350878|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       6|[0.8156509264357621, -0.2986615402361223, -8.229127701709121]                   |  1.7086277008056641|      1.52415790|[53, 0, 0, 13]                                                             |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=0
       7|[0.8156509264357621, -0.2986615402361223, -8.229127701709121]                   |  1.7086277008056641|      1.37174211|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.8156509264357621, -0.2986615402361223, -8.229127701709121]                   |  1.7086277008056641|      1.23456790|[77, 0, 0, 19]                                                             |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=0
       9|[0.8156509264357621, -0.2986615402361223, -8.229127701709121]                   |  1.7086277008056641|      1.11111111|[89, 0, 0, 22]                                                             |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=0
      10|[0.8156509264357621, -0.2986615402361223, -8.229127701709121]                   |  1.7086277008056641|      1.00000000|[101, 0, 0, 25]                                                            |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.8156509264357621, -0.2986615402361223, -8.229127701709121]                   |  1.7086277008056641|      0.90000000|[113, 0, 0, 28]                                                            |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=0
      12|[-0.0393047729144514, -0.5614578336179846, -8.129183415562611]                  |  1.0615810155868530|      1.00000000|[125, 0, 0, 31]                                                            |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | iterate success | actual_k=0
