k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.10000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.1030667031295838, 0.975424891499085]                                        |541.5443725585937500|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[-1.1030667031295838, 0.975424891499085]                                        |541.5443725585937500|      0.10000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-1.0069051128576296, 0.9479849834021395]                                       |391.6622314453125000|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[-1.0069051128576296, 0.9479849834021395]                                       |391.6622314453125000|      0.10000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.914353141470494, 0.9101150402762934]                                        |284.0773010253906250|      1.00000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[-0.914353141470494, 0.9101150402762934]                                        |284.0773010253906250|      0.10000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.8227156937584588, 0.8700828260379577]                                       |206.9400939941406250|      1.00000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[-0.8227156937584588, 0.8700828260379577]                                       |206.9400939941406250|      0.10000000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.7306478147988842, 0.8310507153611684]                                       |152.1047058105468750|      1.00000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[-0.7306478147988842, 0.8310507153611684]                                       |152.1047058105468750|      0.10000000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.6514710268870355, 0.7699685063640952]                                       |112.2356796264648438|      1.00000000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[-0.6514710268870355, 0.7699685063640952]                                       |112.2356796264648438|      0.10000000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.5738882726929018, 0.7068740038171012]                                       | 82.7377243041992188|      1.00000000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[0.1269951471798049, -0.0064018416645324]                                       |  0.7692776918411255|     10.00000000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[0.1269951471798049, -0.0064018416645324]                                       |  0.7692776918411255|      1.00000000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[0.1269951471798049, -0.0064018416645324]                                       |  0.7692776918411255|      0.10000000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[0.1269951471798049, -0.0064018416645324]                                       |  0.7692776918411255|      0.01000000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.1362118825731859, -0.0025221781883535]                                       |  0.7486795783042908|      0.10000000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[0.1362118825731859, -0.0025221781883535]                                       |  0.7486795783042908|      0.01000000|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.1448125400797527, 0.0025796538801036]                                        |  0.7313665151596069|      0.10000000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[0.1448125400797527, 0.0025796538801036]                                        |  0.7313665151596069|      0.01000000|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[0.1543979449970894, -0.0002699096953752]                                       |  0.7166035175323486|      0.10000000|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[0.1543979449970894, -0.0002699096953752]                                       |  0.7166035175323486|      0.01000000|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[0.1643463135565505, -0.0012847806256553]                                       |  0.7015931606292725|      0.10000000|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[0.1643463135565505, -0.0012847806256553]                                       |  0.7015931606292725|      0.01000000|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[0.1742571066688306, 4.79533633989e-05]                                         |  0.6846007108688354|      0.10000000|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[0.1742571066688306, 4.79533633989e-05]                                         |  0.6846007108688354|      0.01000000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[0.1802300154701726, 0.0080682002704992]                                        |  0.6725129485130310|      0.10000000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      30|[0.1802300154701726, 0.0080682002704992]                                        |  0.6725129485130310|      0.01000000|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
