k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.19074570784984, 38.522810533633724, 41.799376279922306, 39.166647972821416] |810.4356689453125000|      1.11111111|[15, 2, 0, 2]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       2|[23.28747368376171, 37.99473979702867, 42.118942808148304, 39.360777009581206]  |721.3528442382812500|      1.23456790|[28, 4, 0, 4]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       3|[22.273033537725368, 37.415086898428505, 42.46483810775284, 39.5593419906942]   |631.2352294921875000|      1.37174211|[41, 6, 0, 6]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       4|[21.123568098384037, 36.787559917232116, 42.815209337205154, 39.76875907777494] |541.2004394531250000|      1.52415790|[55, 8, 0, 8]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       5|[19.84850186584091, 36.09066225395563, 43.21315287717017, 39.999492692772904]   |452.5906066894531250|      1.69350878|[68, 10, 0, 10]                                                            |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       6|[18.38874785248949, 35.363427943181144, 43.619158133971226, 40.20777183234078]  |366.8910522460937500|      1.88167642|[81, 12, 0, 12]                                                            |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       7|[16.789323839177165, 34.51727720551404, 44.08279721742928, 40.43496495844198]   |285.9037475585937500|      2.09075158|[94, 14, 0, 14]                                                            |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       8|[14.91972953423075, 33.73941162648517, 44.53686678915779, 40.689140635014844]   |211.2052917480468750|      2.32305731|[107, 16, 0, 16]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       9|[12.833231086687078, 32.880579854230824, 45.01172598447747, 40.972047399407174] |144.7578887939453125|      2.58117479|[120, 18, 0, 18]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      10|[10.426619670539294, 32.07555398334402, 45.405650596861115, 41.23174249755914]  | 88.3701858520507812|      2.86797199|[133, 20, 0, 20]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      11|[7.696979200953583, 31.312380553772506, 45.74120199580389, 41.51334118689105]   | 43.9991950988769531|      3.18663555|[146, 22, 0, 22]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      12|[4.587004336569272, 30.68340566431694, 46.00949516386242, 41.636271272848866]   | 13.7265577316284180|      3.54070616|[159, 24, 0, 24]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      13|[4.587004336569272, 30.68340566431694, 46.00949516386242, 41.636271272848866]   | 13.7265577316284180|      3.18663555|[178, 27, 0, 27]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      14|[1.552323939874595, 30.134375619294303, 46.44963549648875, 42.30724331839428]   |  0.9424139857292175|      3.54070616|[191, 29, 0, 29]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      15|[1.552323939874595, 30.134375619294303, 46.44963549648875, 42.30724331839428]   |  0.9424139857292175|      3.18663555|[210, 32, 0, 32]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.552323939874595, 30.134375619294303, 46.44963549648875, 42.30724331839428]   |  0.9424139857292175|      2.86797199|[229, 35, 0, 35]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.552323939874595, 30.134375619294303, 46.44963549648875, 42.30724331839428]   |  0.9424139857292175|      2.58117479|[249, 38, 0, 38]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      18|[1.552323939874595, 30.134375619294303, 46.44963549648875, 42.30724331839428]   |  0.9424139857292175|      2.32305731|[270, 41, 0, 41]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.552323939874595, 30.134375619294303, 46.44963549648875, 42.30724331839428]   |  0.9424139857292175|      2.09075158|[289, 44, 0, 44]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.552323939874595, 30.134375619294303, 46.44963549648875, 42.30724331839428]   |  0.9424139857292175|      1.88167642|[309, 47, 0, 47]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      21|[1.552323939874595, 30.134375619294303, 46.44963549648875, 42.30724331839428]   |  0.9424139857292175|      1.69350878|[328, 50, 0, 50]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      22|[1.552323939874595, 30.134375619294303, 46.44963549648875, 42.30724331839428]   |  0.9424139857292175|      1.52415790|[347, 53, 0, 53]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.552323939874595, 30.134375619294303, 46.44963549648875, 42.30724331839428]   |  0.9424139857292175|      1.37174211|[366, 56, 0, 56]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      24|[1.552323939874595, 30.134375619294303, 46.44963549648875, 42.30724331839428]   |  0.9424139857292175|      1.23456790|[386, 59, 0, 59]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.552323939874595, 30.134375619294303, 46.44963549648875, 42.30724331839428]   |  0.9424139857292175|      1.11111111|[405, 62, 0, 62]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      26|[1.552323939874595, 30.134375619294303, 46.44963549648875, 42.30724331839428]   |  0.9424139857292175|      1.00000000|[424, 65, 0, 65]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.552323939874595, 30.134375619294303, 46.44963549648875, 42.30724331839428]   |  0.9424139857292175|      0.90000000|[444, 68, 0, 68]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      28|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      1.00000000|[458, 70, 0, 70]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      29|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      0.90000000|[478, 73, 0, 73]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      30|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      0.81000000|[498, 76, 0, 76]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      31|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      0.72900000|[517, 79, 0, 79]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      32|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      0.65610000|[536, 82, 0, 82]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      0.59049000|[555, 85, 0, 85]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      34|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      0.53144100|[574, 88, 0, 88]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      0.47829690|[594, 91, 0, 91]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      36|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      0.43046721|[615, 94, 0, 94]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      0.38742049|[634, 97, 0, 97]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      38|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      0.34867844|[653, 100, 0, 100]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      39|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      0.31381060|[672, 103, 0, 103]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      40|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      0.28242954|[691, 106, 0, 106]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      0.25418658|[712, 109, 0, 109]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      42|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      0.22876792|[731, 112, 0, 112]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      0.20589113|[751, 115, 0, 115]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      44|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      0.18530202|[770, 118, 0, 118]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      45|[0.6774146104242232, 29.933926440289312, 46.5127144496264, 42.326604040177955]  |  0.0499542765319347|      0.16677182|[789, 121, 0, 121]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      46|[0.5108951612234784, 29.943056253059687, 46.51273196556882, 42.32747478366236]  |  0.0114596951752901|      0.18530202|[802, 123, 0, 123]                                                         |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      47|[0.5108951612234784, 29.943056253059687, 46.51273196556882, 42.32747478366236]  |  0.0114596951752901|      0.16677182|[822, 126, 0, 126]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      48|[0.5108951612234784, 29.943056253059687, 46.51273196556882, 42.32747478366236]  |  0.0114596951752901|      0.15009464|[842, 129, 0, 129]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      49|[0.5108951612234784, 29.943056253059687, 46.51273196556882, 42.32747478366236]  |  0.0114596951752901|      0.13508517|[861, 132, 0, 132]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      50|[0.5108951612234784, 29.943056253059687, 46.51273196556882, 42.32747478366236]  |  0.0114596951752901|      0.12157665|[880, 135, 0, 135]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      51|[0.5108951612234784, 29.943056253059687, 46.51273196556882, 42.32747478366236]  |  0.0114596951752901|      0.10941899|[899, 138, 0, 138]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      52|[0.5108951612234784, 29.943056253059687, 46.51273196556882, 42.32747478366236]  |  0.0114596951752901|      0.09847709|[919, 141, 0, 141]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.5108951612234784, 29.943056253059687, 46.51273196556882, 42.32747478366236]  |  0.0114596951752901|      0.08862938|[938, 144, 0, 144]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      54|[0.5108951612234784, 29.943056253059687, 46.51273196556882, 42.32747478366236]  |  0.0114596951752901|      0.07976644|[958, 147, 0, 147]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      55|[0.5108951612234784, 29.943056253059687, 46.51273196556882, 42.32747478366236]  |  0.0114596951752901|      0.07178980|[977, 150, 0, 150]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      56|[0.5108951612234784, 29.943056253059687, 46.51273196556882, 42.32747478366236]  |  0.0114596951752901|      0.06461082|[996, 153, 0, 153]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.5108951612234784, 29.943056253059687, 46.51273196556882, 42.32747478366236]  |  0.0114596951752901|      0.05814974|[1015, 156, 0, 156]                                                        |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      58|[0.5108951612234784, 29.943056253059687, 46.51273196556882, 42.32747478366236]  |  0.0114596951752901|      0.05233476|[1034, 159, 0, 159]                                                        |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      59|[0.458960312345055, 29.94725556659081, 46.51201246502202, 42.33232730947468]    |  0.0078040007501841|      0.05814974|[1047, 161, 0, 161]                                                        |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
