k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.50000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.25000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.7501434246420354, 0.091532901890862]                                         |  0.9595848917961121|      0.50000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[0.7501434246420354, 0.091532901890862]                                         |  0.9595848917961121|      0.25000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[0.500334254463704, 0.0817667104728389]                                         |  0.1914833784103394|      0.50000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[0.500334254463704, 0.0817667104728389]                                         |  0.1914833784103394|      0.25000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[0.500334254463704, 0.0817667104728389]                                         |  0.1914833784103394|      0.12500000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.3755419925679905, 0.0745631439289912]                                        |  0.0613308101892471|      0.25000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[0.3755419925679905, 0.0745631439289912]                                        |  0.0613308101892471|      0.12500000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[0.3755419925679905, 0.0745631439289912]                                        |  0.0613308101892471|      0.06250000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.3132002283341441, 0.0701185480855531]                                        |  0.0299046300351620|      0.12500000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[0.3132002283341441, 0.0701185480855531]                                        |  0.0299046300351620|      0.06250000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[0.3132002283341441, 0.0701185480855531]                                        |  0.0299046300351620|      0.03125000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[0.2820683228911192, 0.0674043330081224]                                        |  0.0197754800319672|      0.06250000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[0.2820683228911192, 0.0674043330081224]                                        |  0.0197754800319672|      0.03125000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[0.2820683228911192, 0.0674043330081224]                                        |  0.0197754800319672|      0.01562500|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      17|[0.2665095178379853, 0.0659675970133849]                                        |  0.0158096384257078|      0.03125000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      18|[0.2665095178379853, 0.0659675970133849]                                        |  0.0158096384257078|      0.01562500|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      19|[0.2509562981515105, 0.064471608248636]                                         |  0.0124744763597846|      0.03125000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      20|[0.2509562981515105, 0.064471608248636]                                         |  0.0124744763597846|      0.01562500|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      21|[0.2354111917458369, 0.0628935423956742]                                        |  0.0096989739686251|      0.03125000|[169, 0, 0, 42]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      22|[0.2354111917458369, 0.0628935423956742]                                        |  0.0096989739686251|      0.01562500|[177, 0, 0, 44]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      23|[0.2198726589950833, 0.0612520111124636]                                        |  0.0074164066463709|      0.03125000|[185, 0, 0, 46]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      24|[0.2198726589950833, 0.0612520111124636]                                        |  0.0074164066463709|      0.01562500|[193, 0, 0, 48]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      25|[0.2198726589950833, 0.0612520111124636]                                        |  0.0074164066463709|      0.00781250|[201, 0, 0, 50]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      26|[0.212108644014793, 0.0603829727727872]                                         |  0.0064402809366584|      0.01562500|[209, 0, 0, 52]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      27|[0.212108644014793, 0.0603829727727872]                                         |  0.0064402809366584|      0.00781250|[217, 0, 0, 54]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      28|[0.2043475410552177, 0.0594883012683394]                                        |  0.0055642928928137|      0.01562500|[225, 0, 0, 56]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      29|[0.2043475410552177, 0.0594883012683394]                                        |  0.0055642928928137|      0.00781250|[233, 0, 0, 58]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      30|[0.1965895822306075, 0.0585667638976091]                                        |  0.0047813025303185|      0.01562500|[241, 0, 0, 60]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      31|[0.1965895822306075, 0.0585667638976091]                                        |  0.0047813025303185|      0.00781250|[249, 0, 0, 62]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      32|[0.1888350410497971, 0.0576168968936994]                                        |  0.0040844371542335|      0.01562500|[257, 0, 0, 64]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      33|[0.1888350410497971, 0.0576168968936994]                                        |  0.0040844371542335|      0.00781250|[265, 0, 0, 66]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      34|[0.1810844840533238, 0.056635050421781]                                         |  0.0034670901950449|      0.01562500|[273, 0, 0, 68]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      35|[0.1810844840533238, 0.056635050421781]                                         |  0.0034670901950449|      0.00781250|[281, 0, 0, 70]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      36|[0.1810844840533238, 0.056635050421781]                                         |  0.0034670901950449|      0.00390625|[289, 0, 0, 72]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      37|[0.1772111802781878, 0.0561287827771336]                                        |  0.0031862440519035|      0.00781250|[297, 0, 0, 74]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      38|[0.1772111802781878, 0.0561287827771336]                                        |  0.0031862440519035|      0.00390625|[305, 0, 0, 76]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      39|[0.1733389775475089, 0.0556141614843143]                                        |  0.0029229207430035|      0.00781250|[313, 0, 0, 78]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      40|[0.1733389775475089, 0.0556141614843143]                                        |  0.0029229207430035|      0.00390625|[321, 0, 0, 80]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      41|[0.169468050963839, 0.0550900274877659]                                         |  0.0026763693895191|      0.00781250|[329, 0, 0, 82]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      42|[0.169468050963839, 0.0550900274877659]                                         |  0.0026763693895191|      0.00390625|[337, 0, 0, 84]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      43|[0.1655984485668059, 0.0545562050909188]                                        |  0.0024458558764309|      0.00781250|[345, 0, 0, 86]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      44|[0.1655984485668059, 0.0545562050909188]                                        |  0.0024458558764309|      0.00390625|[353, 0, 0, 88]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      45|[0.1617302648114071, 0.0540121982003659]                                        |  0.0022306626196951|      0.00781250|[361, 0, 0, 90]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      46|[0.1617302648114071, 0.0540121982003659]                                        |  0.0022306626196951|      0.00390625|[369, 0, 0, 92]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      47|[0.1578634921753564, 0.0534582501490204]                                        |  0.0020300890319049|      0.00781250|[377, 0, 0, 94]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      48|[0.1578634921753564, 0.0534582501490204]                                        |  0.0020300890319049|      0.00390625|[385, 0, 0, 96]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      49|[0.153998311348393, 0.0528933021537374]                                         |  0.0018434511730447|      0.00781250|[393, 0, 0, 98]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      50|[0.153998311348393, 0.0528933021537374]                                         |  0.0018434511730447|      0.00390625|[401, 0, 0, 100]                                                           |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      51|[0.1501347928788567, 0.0523170955084683]                                        |  0.0016700814012438|      0.00781250|[409, 0, 0, 102]                                                           |  | trying linear partial model with 5 points | iterate success | actual_k=0
