k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.10000000|[12, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.01000000|[22, 8, 0, 4]                                                              |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       3|[0.2400974940397382, 0.3900731425482245, 0.4162375904189243, 0.3893648655027435]|  0.0042524477466941|      0.10000000|[33, 12, 0, 6]                                                             |  | trying linear partial model with 7 points | iterate success | actual_k=2
       4|[0.2400974940397382, 0.3900731425482245, 0.4162375904189243, 0.3893648655027435]|  0.0042524477466941|      0.01000000|[44, 16, 0, 8]                                                             |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       5|[0.2400974940397382, 0.3900731425482245, 0.4162375904189243, 0.3893648655027435]|  0.0042524477466941|      0.00100000|[55, 20, 0, 10]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       6|[0.2391210740452332, 0.3901641321383481, 0.4162874220399346, 0.3891755464641671]|  0.0041754269041121|      0.01000000|[65, 24, 0, 12]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       7|[0.2391210740452332, 0.3901641321383481, 0.4162874220399346, 0.3891755464641671]|  0.0041754269041121|      0.00100000|[75, 28, 0, 14]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       8|[0.2381507884179236, 0.3902608649858151, 0.4163293901922967, 0.3889577685225735]|  0.0041034091264009|      0.01000000|[85, 32, 0, 16]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       9|[0.2381507884179236, 0.3902608649858151, 0.4163293901922967, 0.3889577685225735]|  0.0041034091264009|      0.00100000|[96, 36, 0, 18]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      10|[0.2371942596426627, 0.3904020164537183, 0.4163631031682062, 0.3887048013301116]|  0.0040361876599491|      0.01000000|[106, 40, 0, 20]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      11|[0.2371942596426627, 0.3904020164537183, 0.4163631031682062, 0.3887048013301116]|  0.0040361876599491|      0.00100000|[116, 44, 0, 22]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      12|[0.2362395009513318, 0.3905496091193384, 0.4163900449064306, 0.388448039983479] |  0.0039737187325954|      0.01000000|[126, 48, 0, 24]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      13|[0.2362395009513318, 0.3905496091193384, 0.4163900449064306, 0.388448039983479] |  0.0039737187325954|      0.00100000|[136, 52, 0, 26]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      14|[0.2353128465236461, 0.3907497383509755, 0.4164197549619433, 0.3881312164128655]|  0.0039157085120678|      0.01000000|[146, 56, 0, 28]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      15|[0.2353128465236461, 0.3907497383509755, 0.4164197549619433, 0.3881312164128655]|  0.0039157085120678|      0.00100000|[158, 60, 0, 30]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      16|[0.2343907791789866, 0.3909547730262994, 0.4164397427187674, 0.3878035686089593]|  0.0038620107807219|      0.01000000|[168, 64, 0, 32]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      17|[0.2343907791789866, 0.3909547730262994, 0.4164397427187674, 0.3878035686089593]|  0.0038620107807219|      0.00100000|[178, 68, 0, 34]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      18|[0.2334819629585198, 0.3911869899490629, 0.4164662297552501, 0.3874579867588904]|  0.0038124644197524|      0.01000000|[189, 72, 0, 36]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      19|[0.2334819629585198, 0.3911869899490629, 0.4164662297552501, 0.3874579867588904]|  0.0038124644197524|      0.00100000|[199, 76, 0, 38]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      20|[0.2326106632643568, 0.3914605091213825, 0.4164566442163199, 0.3870506389679692]|  0.0037666549906135|      0.01000000|[211, 80, 0, 40]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      21|[0.2326106632643568, 0.3914605091213825, 0.4164566442163199, 0.3870506389679692]|  0.0037666549906135|      0.00100000|[222, 84, 0, 42]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      22|[0.2317859140233615, 0.3917897207277425, 0.4164474191031426, 0.3865909398217849]|  0.0037242132239044|      0.01000000|[233, 88, 0, 44]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      23|[0.2317859140233615, 0.3917897207277425, 0.4164474191031426, 0.3865909398217849]|  0.0037242132239044|      0.00100000|[245, 92, 0, 46]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      24|[0.2309675311670123, 0.3921231108019117, 0.4164459865218133, 0.3861228602274959]|  0.0036849055904895|      0.01000000|[256, 96, 0, 48]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      25|[0.2309675311670123, 0.3921231108019117, 0.4164459865218133, 0.3861228602274959]|  0.0036849055904895|      0.00100000|[266, 100, 0, 50]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      26|[0.2302115682279856, 0.3924926683800811, 0.4164090873394375, 0.3855838002293734]|  0.0036482112482190|      0.01000000|[276, 104, 0, 52]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      27|[0.2302115682279856, 0.3924926683800811, 0.4164090873394375, 0.3855838002293734]|  0.0036482112482190|      0.00100000|[286, 108, 0, 54]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      28|[0.2295460216102162, 0.3929149569856187, 0.4163867075101977, 0.3849688049639836]|  0.0036136247217655|      0.01000000|[297, 112, 0, 56]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      29|[0.2295460216102162, 0.3929149569856187, 0.4163867075101977, 0.3849688049639836]|  0.0036136247217655|      0.00100000|[309, 116, 0, 58]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      30|[0.2289030939889972, 0.3933546342951007, 0.4163309381339755, 0.3843441308776985]|  0.0035807690583169|      0.01000000|[320, 120, 0, 60]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      31|[0.2289030939889972, 0.3933546342951007, 0.4163309381339755, 0.3843441308776985]|  0.0035807690583169|      0.00100000|[332, 124, 0, 62]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      32|[0.2283216574788064, 0.3938290050505033, 0.4162744999022723, 0.383685557649395] |  0.0035492926836014|      0.01000000|[342, 128, 0, 64]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      33|[0.2283216574788064, 0.3938290050505033, 0.4162744999022723, 0.383685557649395] |  0.0035492926836014|      0.00100000|[352, 132, 0, 66]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      34|[0.2278080748296544, 0.3943285860768325, 0.4162034138232278, 0.3829915847176549]|  0.0035188365727663|      0.01000000|[364, 136, 0, 68]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      35|[0.2278080748296544, 0.3943285860768325, 0.4162034138232278, 0.3829915847176549]|  0.0035188365727663|      0.00100000|[375, 140, 0, 70]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      36|[0.2273890453693039, 0.3948490688165293, 0.4161160051592976, 0.3822527533739058]|  0.0034890917595476|      0.01000000|[386, 144, 0, 72]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      37|[0.2273890453693039, 0.3948490688165293, 0.4161160051592976, 0.3822527533739058]|  0.0034890917595476|      0.00100000|[396, 148, 0, 74]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      38|[0.2269358163979001, 0.3953839986889024, 0.4160786722428559, 0.3815406861127057]|  0.0034600184299052|      0.01000000|[407, 152, 0, 76]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      39|[0.2269358163979001, 0.3953839986889024, 0.4160786722428559, 0.3815406861127057]|  0.0034600184299052|      0.00100000|[418, 156, 0, 78]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      40|[0.2265802316570504, 0.3959273966205532, 0.4159939360775917, 0.3807849758757438]|  0.0034312603529543|      0.01000000|[428, 160, 0, 80]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
