k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.20000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.04000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-1.1608073253667364, 0.9920041101126181]                                       |18517.6992187500000000|      0.20000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[-1.1608073253667364, 0.9920041101126181]                                       |18517.6992187500000000|      0.04000000|[28, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-1.1218567365834817, 0.9829018228485403]                                       |12754.7021484375000000|      0.20000000|[33, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       6|[-1.1218567365834817, 0.9829018228485403]                                       |12754.7021484375000000|      0.04000000|[39, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-1.083410017928745, 0.971863262041827]                                         |8714.7148437500000000|      0.20000000|[45, 16, 0, 16]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       8|[-1.083410017928745, 0.971863262041827]                                         |8714.7148437500000000|      0.04000000|[51, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-1.0440045708934553, 0.9649922545502738]                                       |5894.6166992187500000|      0.20000000|[56, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      10|[-1.0440045708934553, 0.9649922545502738]                                       |5894.6166992187500000|      0.04000000|[64, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-1.0046287460320962, 0.9579534750759922]                                       |3946.7619628906250000|      0.20000000|[69, 25, 0, 25]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      12|[-0.8069527820209941, 0.9275525992287165]                                       |446.1387634277343750|      1.00000000|[77, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      13|[0.1380686519645787, 1.254560992558081]                                         |  0.0022860371973366|      5.00000000|[84, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      14|[0.1380686519645787, 1.254560992558081]                                         |  0.0022860371973366|      1.00000000|[91, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.1380686519645787, 1.254560992558081]                                         |  0.0022860371973366|      0.20000000|[98, 37, 0, 37]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.1380686519645787, 1.254560992558081]                                         |  0.0022860371973366|      0.04000000|[105, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.1380686519645787, 1.254560992558081]                                         |  0.0022860371973366|      0.00800000|[113, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      18|[0.1380686519645787, 1.254560992558081]                                         |  0.0022860371973366|      0.00160000|[120, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.1380686519645787, 1.254560992558081]                                         |  0.0022860371973366|      0.00032000|[127, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      20|[0.137796114980255, 1.254393291657142]                                          |  0.0022750983480364|      0.00160000|[133, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      21|[0.137796114980255, 1.254393291657142]                                          |  0.0022750983480364|      0.00032000|[139, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[0.1375233247344447, 1.2542260030389076]                                        |  0.0022641879040748|      0.00160000|[144, 55, 0, 55]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      23|[0.1375233247344447, 1.2542260030389076]                                        |  0.0022641879040748|      0.00032000|[152, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      24|[0.1372503032892812, 1.2540590920132657]                                        |  0.0022533058654517|      0.00160000|[157, 60, 0, 60]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      25|[0.1372503032892812, 1.2540590920132657]                                        |  0.0022533058654517|      0.00032000|[163, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      26|[0.1369772340068049, 1.2538922592617812]                                        |  0.0022424522321671|      0.00160000|[168, 64, 0, 64]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      27|[0.1369772340068049, 1.2538922592617812]                                        |  0.0022424522321671|      0.00032000|[174, 66, 0, 66]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[0.1367039478440749, 1.2537257820163081]                                        |  0.0022316270042211|      0.00160000|[180, 68, 0, 68]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      29|[0.1367039478440749, 1.2537257820163081]                                        |  0.0022316270042211|      0.00032000|[187, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      30|[0.1364304182830872, 1.253559704988198]                                         |  0.0022208301816136|      0.00160000|[192, 73, 0, 73]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[0.1364304182830872, 1.253559704988198]                                         |  0.0022208301816136|      0.00032000|[199, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      32|[0.1361568415039709, 1.2533937057534756]                                        |  0.0022100617643446|      0.00160000|[204, 78, 0, 78]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      33|[0.1361568415039709, 1.2533937057534756]                                        |  0.0022100617643446|      0.00032000|[211, 81, 0, 81]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      34|[0.1358830096306553, 1.2532281276596453]                                        |  0.0021993217524141|      0.00160000|[216, 83, 0, 83]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      35|[0.1358830096306553, 1.2532281276596453]                                        |  0.0021993217524141|      0.00032000|[223, 86, 0, 86]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      36|[0.1356089486805502, 1.253062929004604]                                         |  0.0021886099129915|      0.00160000|[229, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      37|[0.1356089486805502, 1.253062929004604]                                         |  0.0021886099129915|      0.00032000|[235, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[0.1353348079748681, 1.252897862734615]                                         |  0.0021779264789075|      0.00160000|[240, 92, 0, 92]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      39|[0.1353348079748681, 1.252897862734615]                                         |  0.0021779264789075|      0.00032000|[247, 95, 0, 95]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      40|[0.1350604963751157, 1.2527330806171348]                                        |  0.0021672712173313|      0.00160000|[252, 97, 0, 97]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      41|[0.1350604963751157, 1.2527330806171348]                                        |  0.0021672712173313|      0.00032000|[258, 99, 0, 99]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      42|[0.134785877267202, 1.2525688114917075]                                         |  0.0021566443610936|      0.00160000|[264, 101, 0, 101]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      43|[0.134785877267202, 1.2525688114917075]                                         |  0.0021566443610936|      0.00032000|[270, 103, 0, 103]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      44|[0.1345112756734225, 1.2524045130903343]                                        |  0.0021460456773639|      0.00160000|[276, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      45|[0.1345112756734225, 1.2524045130903343]                                        |  0.0021460456773639|      0.00032000|[283, 108, 0, 108]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      46|[0.1342363417382074, 1.2522407714301889]                                        |  0.0021354751661420|      0.00160000|[288, 110, 0, 110]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      47|[0.1342363417382074, 1.2522407714301889]                                        |  0.0021354751661420|      0.00032000|[296, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
