k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.10000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.01000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[-1.1902528437786868, 0.9977655099916722]                                       |725.1821899414062500|      0.10000000|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       4|[-1.1902528437786868, 0.9977655099916722]                                       |725.1821899414062500|      0.01000000|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[-1.180519078520254, 0.9954733900354474]                                        |702.0709228515625000|      0.10000000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       6|[-1.180519078520254, 0.9954733900354474]                                        |702.0709228515625000|      0.01000000|[49, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[-1.1708002228119354, 0.9931188531975776]                                       |679.6833496093750000|      0.10000000|[57, 0, 0, 14]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       8|[-1.1708002228119354, 0.9931188531975776]                                       |679.6833496093750000|      0.01000000|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[-1.1610807412439899, 0.9907669012315783]                                       |657.9990844726562500|      0.10000000|[73, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      10|[-1.1610807412439899, 0.9907669012315783]                                       |657.9990844726562500|      0.01000000|[81, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
