k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3745460440724845, 0.0805014905256098, -0.0046744768418433, 0.3414217719043455, 0.2806374926820427, 0.2369282320626381, 0.1412396821792244, -0.1602703582654666, -0.3428440853709424, 0.0293231933301588, 0.1002231869784366, -0.0840799884918297, 0.0931275987240298, -0.2873611031390292, 0.1488417562867712, 0.0735541899016584, -0.0583301272550185, 0.1481653520123203, -0.145756711977893, 0.3521121417460836, -0.1677835838101617, 0.3210179035019631]| 13.9616146087646484|     10.00000000|[30, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[0.3745460440724845, 0.0805014905256098, -0.0046744768418433, 0.3414217719043455, 0.2806374926820427, 0.2369282320626381, 0.1412396821792244, -0.1602703582654666, -0.3428440853709424, 0.0293231933301588, 0.1002231869784366, -0.0840799884918297, 0.0931275987240298, -0.2873611031390292, 0.1488417562867712, 0.0735541899016584, -0.0583301272550185, 0.1481653520123203, -0.145756711977893, 0.3521121417460836, -0.1677835838101617, 0.3210179035019631]| 13.9616146087646484|      1.00000000|[59, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       3|[0.6617602922440282, 0.0783147525923062, 0.0111330910969366, 0.8557342202025937, 0.0169172071422075, 0.5058412335038006, 0.3524543368101228, 0.0759528663908628, -0.7015434185531271, -0.1319858030585736, -0.0293834433605427, -0.0106167207398903, 0.136079296575376, -0.1000874141782436, 0.1645390940849192, 0.0358159904211791, 0.2087048870196345, -0.0703986272139567, -0.3291722032440563, 0.498443601697846, -0.1915745264601109, 0.1785576218184732]| 13.0493869781494141|     10.00000000|[88, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       4|[0.6617602922440282, 0.0783147525923062, 0.0111330910969366, 0.8557342202025937, 0.0169172071422075, 0.5058412335038006, 0.3524543368101228, 0.0759528663908628, -0.7015434185531271, -0.1319858030585736, -0.0293834433605427, -0.0106167207398903, 0.136079296575376, -0.1000874141782436, 0.1645390940849192, 0.0358159904211791, 0.2087048870196345, -0.0703986272139567, -0.3291722032440563, 0.498443601697846, -0.1915745264601109, 0.1785576218184732]| 13.0493869781494141|      1.00000000|[117, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       5|[1.2217449336915054, 0.1673339016438352, 0.0613488071833705, 1.3626002047719434, -0.1376009600922471, 0.7553018726375252, 0.511051000074449, 0.1056648173363655, -0.7991261621024587, -0.1869440956532509, 0.1369885646515305, 0.1623676805510026, 0.2957897160504194, -0.0722696708948527, 0.4245440939069969, 0.233958300123775, 0.0847742068040868, 0.0359892306538203, -0.2243781505929093, 0.7439328696110745, -0.1264742737231634, 0.2168145346651169]| 12.3365507125854492|     10.00000000|[146, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[1.2217449336915054, 0.1673339016438352, 0.0613488071833705, 1.3626002047719434, -0.1376009600922471, 0.7553018726375252, 0.511051000074449, 0.1056648173363655, -0.7991261621024587, -0.1869440956532509, 0.1369885646515305, 0.1623676805510026, 0.2957897160504194, -0.0722696708948527, 0.4245440939069969, 0.233958300123775, 0.0847742068040868, 0.0359892306538203, -0.2243781505929093, 0.7439328696110745, -0.1264742737231634, 0.2168145346651169]| 12.3365507125854492|      1.00000000|[175, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       7|[1.2217449336915054, 0.1673339016438352, 0.0613488071833705, 1.3626002047719434, -0.1376009600922471, 0.7553018726375252, 0.511051000074449, 0.1056648173363655, -0.7991261621024587, -0.1869440956532509, 0.1369885646515305, 0.1623676805510026, 0.2957897160504194, -0.0722696708948527, 0.4245440939069969, 0.233958300123775, 0.0847742068040868, 0.0359892306538203, -0.2243781505929093, 0.7439328696110745, -0.1264742737231634, 0.2168145346651169]| 12.3365507125854492|      0.10000000|[204, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.2204025574471586, 0.1519206516120631, 0.1043577410593677, 1.4156819468900577, -0.1188102130909922, 0.7584821881594062, 0.4994240512011973, 0.0933947451999891, -0.7964781309503276, -0.1956961793319293, 0.1296886068413144, 0.1593202798105459, 0.295023370838457, -0.0759318646682864, 0.4548330554599084, 0.2163431622045233, 0.0798550546941458, 0.0539599216555734, -0.201116313902406, 0.7770041986739656, -0.1111591300362368, 0.1878348995395579]| 12.3100757598876953|      1.00000000|[234, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       9|[1.2204025574471586, 0.1519206516120631, 0.1043577410593677, 1.4156819468900577, -0.1188102130909922, 0.7584821881594062, 0.4994240512011973, 0.0933947451999891, -0.7964781309503276, -0.1956961793319293, 0.1296886068413144, 0.1593202798105459, 0.295023370838457, -0.0759318646682864, 0.4548330554599084, 0.2163431622045233, 0.0798550546941458, 0.0539599216555734, -0.201116313902406, 0.7770041986739656, -0.1111591300362368, 0.1878348995395579]| 12.3100757598876953|      0.10000000|[263, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.2808453815122638, 0.1957044367208384, 0.1078250067896291, 1.438110493011665, -0.1323645779483509, 0.738446048754373, 0.4913419150063187, 0.1120736011146865, -0.7997310104537223, -0.1998329816247385, 0.1085928792021196, 0.1408083036764618, 0.2942182116543215, -0.0773052791125318, 0.462826286001139, 0.2289907599338691, 0.086235512712324, 0.0687790198866758, -0.169085981199618, 0.7603865139671325, -0.0977706337581096, 0.1993123789189523]| 12.2798337936401367|      1.00000000|[292, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      11|[1.2808453815122638, 0.1957044367208384, 0.1078250067896291, 1.438110493011665, -0.1323645779483509, 0.738446048754373, 0.4913419150063187, 0.1120736011146865, -0.7997310104537223, -0.1998329816247385, 0.1085928792021196, 0.1408083036764618, 0.2942182116543215, -0.0773052791125318, 0.462826286001139, 0.2289907599338691, 0.086235512712324, 0.0687790198866758, -0.169085981199618, 0.7603865139671325, -0.0977706337581096, 0.1993123789189523]| 12.2798337936401367|      0.10000000|[321, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
