k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7503748359903852|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.530218063484071, 0.7952683554427464, 5.253291017953994, 5.197970746852507, 6.362115094741397, 7.875064317074434]|189.0641174316406250|      5.00000000|[14, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       2|[-0.6454019056533316, 3.3245246653743856, 4.197433754943457, 7.49852556103006, 4.663322336152108, 5.059483318894248]| 60.4763336181640625|     25.00000000|[28, 4, 0, 4]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       3|[-0.6454019056533316, 3.3245246653743856, 4.197433754943457, 7.49852556103006, 4.663322336152108, 5.059483318894248]| 60.4763336181640625|      5.00000000|[42, 6, 0, 6]                                                              |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-2.7341213368122306, 3.982670482886926, 2.348997350576675, 7.611634617950172, 1.0112405528603348, 6.91336655933649]| 24.3306713104248047|     25.00000000|[55, 8, 0, 8]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       5|[-2.7341213368122306, 3.982670482886926, 2.348997350576675, 7.611634617950172, 1.0112405528603348, 6.91336655933649]| 24.3306713104248047|      5.00000000|[68, 10, 0, 10]                                                            |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-2.7341213368122306, 3.982670482886926, 2.348997350576675, 7.611634617950172, 1.0112405528603348, 6.91336655933649]| 24.3306713104248047|      1.00000000|[81, 12, 0, 12]                                                            |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       7|[-2.083741355299903, 4.267428077357369, 2.8970963928834808, 7.570343310141373, 1.4306088914470338, 7.04727569402216]|  7.7991962432861328|      5.00000000|[94, 14, 0, 14]                                                            |  | trying linear partial model with 8 points | iterate success | actual_k=1
       8|[-2.083741355299903, 4.267428077357369, 2.8970963928834808, 7.570343310141373, 1.4306088914470338, 7.04727569402216]|  7.7991962432861328|      1.00000000|[108, 16, 0, 16]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       9|[-2.083741355299903, 4.267428077357369, 2.8970963928834808, 7.570343310141373, 1.4306088914470338, 7.04727569402216]|  7.7991962432861328|      0.20000000|[121, 18, 0, 18]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      10|[-1.932909272885525, 4.313676878476947, 2.9830384128329053, 7.615429517221581, 1.496577485524445, 7.083882784088527]|  6.2276744842529297|      1.00000000|[134, 20, 0, 20]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      11|[-1.932909272885525, 4.313676878476947, 2.9830384128329053, 7.615429517221581, 1.496577485524445, 7.083882784088527]|  6.2276744842529297|      0.20000000|[148, 22, 0, 22]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      12|[-1.7945594114935515, 4.281139635116416, 3.0205626869996176, 7.585061988281532, 1.5971574448250845, 6.998126982717787]|  5.1303520202636719|      1.00000000|[162, 24, 0, 24]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      13|[-1.7945594114935515, 4.281139635116416, 3.0205626869996176, 7.585061988281532, 1.5971574448250845, 6.998126982717787]|  5.1303520202636719|      0.20000000|[176, 26, 0, 26]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      14|[-1.670595766378987, 4.256982248704671, 2.958375198689762, 7.5294130758543, 1.727476876415539, 7.008236184713129]|  4.5187406539916992|      1.00000000|[190, 28, 0, 28]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      15|[-1.670595766378987, 4.256982248704671, 2.958375198689762, 7.5294130758543, 1.727476876415539, 7.008236184713129]|  4.5187406539916992|      0.20000000|[203, 30, 0, 30]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      16|[-1.5790741848074006, 4.294498611391741, 2.857324325919418, 7.4870671115254135, 1.8504983400425288, 7.063712148353694]|  4.1507444381713867|      1.00000000|[217, 32, 0, 32]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      17|[-1.5790741848074006, 4.294498611391741, 2.857324325919418, 7.4870671115254135, 1.8504983400425288, 7.063712148353694]|  4.1507444381713867|      0.20000000|[230, 34, 0, 34]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      18|[-1.4647096514943485, 4.335092937551992, 2.8713230025770247, 7.360039862442144, 1.930181575710744, 7.012804867938224]|  3.7025799751281738|      1.00000000|[243, 36, 0, 36]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      19|[-1.4647096514943485, 4.335092937551992, 2.8713230025770247, 7.360039862442144, 1.930181575710744, 7.012804867938224]|  3.7025799751281738|      0.20000000|[256, 38, 0, 38]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
