k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.20000000|[15, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.04000000|[28, 4, 0, 4]                                                              |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.00800000|[41, 6, 0, 6]                                                              |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.00160000|[55, 8, 0, 8]                                                              |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       5|[0.2484087201120417, 0.390003692640666, 0.4150951998848179, 0.3898630632828098] |  0.0051057883538306|      0.00800000|[68, 10, 0, 10]                                                            |  | trying linear partial model with 8 points | iterate success | actual_k=1
       6|[0.2484087201120417, 0.390003692640666, 0.4150951998848179, 0.3898630632828098] |  0.0051057883538306|      0.00160000|[81, 12, 0, 12]                                                            |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       7|[0.2468200199219933, 0.3900158601536654, 0.4152063809072001, 0.3897096930183194]|  0.0049121323972940|      0.00800000|[94, 14, 0, 14]                                                            |  | trying linear partial model with 8 points | iterate success | actual_k=1
       8|[0.2468200199219933, 0.3900158601536654, 0.4152063809072001, 0.3897096930183194]|  0.0049121323972940|      0.00160000|[107, 16, 0, 16]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       9|[0.2452335390185897, 0.390060997445086, 0.4153047670796748, 0.3895326022813382] |  0.0047324844636023|      0.00800000|[120, 18, 0, 18]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      10|[0.2452335390185897, 0.390060997445086, 0.4153047670796748, 0.3895326022813382] |  0.0047324844636023|      0.00160000|[133, 20, 0, 20]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      11|[0.2436504296044226, 0.3901403246082548, 0.4154011493064365, 0.3893371994913798]|  0.0045667029917240|      0.00800000|[146, 22, 0, 22]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      12|[0.2436504296044226, 0.3901403246082548, 0.4154011493064365, 0.3893371994913798]|  0.0045667029917240|      0.00160000|[159, 24, 0, 24]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      13|[0.2420681581469309, 0.3902318840923738, 0.4154872376336576, 0.3891356487642874]|  0.0044146832078695|      0.00800000|[172, 26, 0, 26]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      14|[0.2420681581469309, 0.3902318840923738, 0.4154872376336576, 0.3891356487642874]|  0.0044146832078695|      0.00160000|[185, 28, 0, 28]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.2404977848244323, 0.3903748370810481, 0.4155469482231831, 0.3888712121622216]|  0.0042760521173477|      0.00800000|[198, 30, 0, 30]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      16|[0.2404977848244323, 0.3903748370810481, 0.4155469482231831, 0.3888712121622216]|  0.0042760521173477|      0.00160000|[211, 32, 0, 32]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.238937476399161, 0.3905278233535625, 0.4156173922751485, 0.3885596508456363] |  0.0041505247354507|      0.00800000|[224, 34, 0, 34]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      18|[0.238937476399161, 0.3905278233535625, 0.4156173922751485, 0.3885596508456363] |  0.0041505247354507|      0.00160000|[237, 36, 0, 36]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.2373920549242593, 0.3907208830479625, 0.4156801951278696, 0.3881984636074883]|  0.0040377420373261|      0.00800000|[250, 38, 0, 38]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      20|[0.2373920549242593, 0.3907208830479625, 0.4156801951278696, 0.3881984636074883]|  0.0040377420373261|      0.00160000|[264, 40, 0, 40]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      21|[0.2358618348072273, 0.390948252722958, 0.4156953800011019, 0.3877904209088059] |  0.0039372770115733|      0.00800000|[277, 42, 0, 42]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      22|[0.2358618348072273, 0.390948252722958, 0.4156953800011019, 0.3877904209088059] |  0.0039372770115733|      0.00160000|[290, 44, 0, 44]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      23|[0.2358618348072273, 0.390948252722958, 0.4156953800011019, 0.3877904209088059] |  0.0039372770115733|      0.00032000|[304, 46, 0, 46]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      24|[0.23556292566129, 0.3910073767571053, 0.4157042573506023, 0.3876930614525267]  |  0.0039185783825815|      0.00160000|[317, 48, 0, 48]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      25|[0.23556292566129, 0.3910073767571053, 0.4157042573506023, 0.3876930614525267]  |  0.0039185783825815|      0.00032000|[330, 50, 0, 50]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      26|[0.2352662438301772, 0.3910700021448185, 0.4157110892154284, 0.3875910257846241]|  0.0039003279525787|      0.00160000|[343, 52, 0, 52]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      27|[0.2352662438301772, 0.3910700021448185, 0.4157110892154284, 0.3875910257846241]|  0.0039003279525787|      0.00032000|[356, 54, 0, 54]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
