k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[3.0, 0.1]                                                                      | 87.6860481455954357|      0.20000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[2.8293658138678763, -0.0043262887436709]                                       | 64.9838104248046875|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[1.8636231230688298, -0.2638278401228814]                                       | 11.1573972702026367|      5.00000000|[18, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[1.8636231230688298, -0.2638278401228814]                                       | 11.1573972702026367|      1.00000000|[24, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[1.8636231230688298, -0.2638278401228814]                                       | 11.1573972702026367|      0.20000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.674807664124953, -0.3297726842262163]                                        |  7.4606838226318359|      1.00000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[1.674807664124953, -0.3297726842262163]                                        |  7.4606838226318359|      0.20000000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.4986945530166, -0.4245575569419453]                                          |  5.0294218063354492|      1.00000000|[49, 17, 0, 17]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[1.4986945530166, -0.4245575569419453]                                          |  5.0294218063354492|      0.20000000|[56, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.3194280074534899, -0.5132339666678094]                                       |  3.4583139419555664|      1.00000000|[61, 22, 0, 22]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      11|[1.3194280074534899, -0.5132339666678094]                                       |  3.4583139419555664|      0.20000000|[67, 24, 0, 24]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[1.3194280074534899, -0.5132339666678094]                                       |  3.4583139419555664|      0.04000000|[73, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[1.2808610131183462, -0.5238446663597708]                                       |  3.2157042026519775|      0.20000000|[79, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      14|[1.2808610131183462, -0.5238446663597708]                                       |  3.2157042026519775|      0.04000000|[86, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.242110549692862, -0.5337644236305008]                                        |  2.9935851097106934|      0.20000000|[91, 33, 0, 33]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
