k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.90000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.81000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.72900000|[17, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.65610000|[23, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.59049000|[29, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.53144100|[35, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[1.2920430754989016, 0.5559950692456863]                                        |  3.0772607326507568|      0.59049000|[40, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       8|[1.2920430754989016, 0.5559950692456863]                                        |  3.0772607326507568|      0.53144100|[46, 16, 0, 16]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[1.2920430754989016, 0.5559950692456863]                                        |  3.0772607326507568|      0.47829690|[51, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.2920430754989016, 0.5559950692456863]                                        |  3.0772607326507568|      0.43046721|[57, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[1.2920430754989016, 0.5559950692456863]                                        |  3.0772607326507568|      0.38742049|[63, 22, 0, 22]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[1.2920430754989016, 0.5559950692456863]                                        |  3.0772607326507568|      0.34867844|[68, 24, 0, 24]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[1.4764103098279506, 0.2600468009682272]                                        |  1.8804030418395996|      0.38742049|[74, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      14|[1.4764103098279506, 0.2600468009682272]                                        |  1.8804030418395996|      0.34867844|[79, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.4764103098279506, 0.2600468009682272]                                        |  1.8804030418395996|      0.31381060|[84, 30, 0, 30]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.4764103098279506, 0.2600468009682272]                                        |  1.8804030418395996|      0.28242954|[89, 32, 0, 32]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.4764103098279506, 0.2600468009682272]                                        |  1.8804030418395996|      0.25418658|[94, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[1.558954919368468, 0.0196363055066723]                                         |  1.2342540025711060|      0.28242954|[100, 36, 0, 36]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      19|[1.558954919368468, 0.0196363055066723]                                         |  1.2342540025711060|      0.25418658|[105, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.558954919368468, 0.0196363055066723]                                         |  1.2342540025711060|      0.22876792|[110, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[1.558954919368468, 0.0196363055066723]                                         |  1.2342540025711060|      0.20589113|[115, 42, 0, 42]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[1.6042240238907326, -0.1812165422475195]                                       |  0.8321889042854309|      0.22876792|[120, 44, 0, 44]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      23|[1.6042240238907326, -0.1812165422475195]                                       |  0.8321889042854309|      0.20589113|[125, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[1.6042240238907326, -0.1812165422475195]                                       |  0.8321889042854309|      0.18530202|[131, 48, 0, 48]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.6842702438382797, -0.3483375788498396]                                       |  0.5364449024200439|      0.20589113|[136, 50, 0, 50]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[1.6842702438382797, -0.3483375788498396]                                       |  0.5364449024200439|      0.18530202|[142, 52, 0, 52]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.6842702438382797, -0.3483375788498396]                                       |  0.5364449024200439|      0.16677182|[148, 54, 0, 54]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[1.6842702438382797, -0.3483375788498396]                                       |  0.5364449024200439|      0.15009464|[154, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[1.6842702438382797, -0.3483375788498396]                                       |  0.5364449024200439|      0.13508517|[160, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[1.746838227139071, -0.4680591353761087]                                        |  0.3610929548740387|      0.15009464|[165, 60, 0, 60]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[1.746838227139071, -0.4680591353761087]                                        |  0.3610929548740387|      0.13508517|[171, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[1.746838227139071, -0.4680591353761087]                                        |  0.3610929548740387|      0.12157665|[176, 64, 0, 64]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      33|[1.746838227139071, -0.4680591353761087]                                        |  0.3610929548740387|      0.10941899|[181, 66, 0, 66]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      34|[1.8090033017310831, -0.5581036725981502]                                       |  0.2431147992610931|      0.12157665|[186, 68, 0, 68]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      35|[1.8090033017310831, -0.5581036725981502]                                       |  0.2431147992610931|      0.10941899|[192, 70, 0, 70]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      36|[1.8767319678151746, -0.6440416908033175]                                       |  0.1482040584087372|      0.12157665|[198, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      37|[1.8767319678151746, -0.6440416908033175]                                       |  0.1482040584087372|      0.10941899|[204, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[1.8767319678151746, -0.6440416908033175]                                       |  0.1482040584087372|      0.09847709|[210, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[1.8767319678151746, -0.6440416908033175]                                       |  0.1482040584087372|      0.08862938|[215, 78, 0, 78]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[1.8767319678151746, -0.6440416908033175]                                       |  0.1482040584087372|      0.07976644|[221, 80, 0, 80]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
