k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 24.0625000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0]                                                                      | 24.0625000000000000|      0.50000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.4631567839315937, 0.1883767329001728]                                        |  9.9708127975463867|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[0.4631567839315937, 0.1883767329001728]                                        |  9.9708127975463867|      0.50000000|[18, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.4631567839315937, 0.1883767329001728]                                        |  9.9708127975463867|      0.25000000|[24, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.6649655487385316, 0.335934255402748]                                         |  2.9483115673065186|      0.50000000|[29, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       6|[0.6649655487385316, 0.335934255402748]                                         |  2.9483115673065186|      0.25000000|[37, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.6649655487385316, 0.335934255402748]                                         |  2.9483115673065186|      0.12500000|[43, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.737248613840419, 0.4379154227792608]                                         |  0.8476268649101257|      0.25000000|[48, 17, 0, 17]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[0.737248613840419, 0.4379154227792608]                                         |  0.8476268649101257|      0.12500000|[55, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.737248613840419, 0.4379154227792608]                                         |  0.8476268649101257|      0.06250000|[63, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.737248613840419, 0.4379154227792608]                                         |  0.8476268649101257|      0.03125000|[71, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.7437844179351983, 0.4684743128905633]                                        |  0.7120245099067688|      0.06250000|[77, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      13|[0.7437844179351983, 0.4684743128905633]                                        |  0.7120245099067688|      0.03125000|[84, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.7174166647816077, 0.4852464354047626]                                        |  0.6337245702743530|      0.06250000|[91, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      15|[0.6596564172768341, 0.5091211879309626]                                        |  0.5380309820175171|      0.12500000|[98, 37, 0, 37]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      16|[0.5776835871927539, 0.6034899069431784]                                        |  0.3159095644950867|      0.25000000|[105, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      17|[0.5776835871927539, 0.6034899069431784]                                        |  0.3159095644950867|      0.12500000|[113, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[0.5776835871927539, 0.6034899069431784]                                        |  0.3159095644950867|      0.06250000|[120, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[0.5776835871927539, 0.6034899069431784]                                        |  0.3159095644950867|      0.03125000|[127, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[0.5776835871927539, 0.6034899069431784]                                        |  0.3159095644950867|      0.01562500|[133, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.5776835871927539, 0.6034899069431784]                                        |  0.3159095644950867|      0.00781250|[139, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[0.569871774751654, 0.6033862602593171]                                         |  0.3048565983772278|      0.01562500|[144, 55, 0, 55]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      23|[0.5586872138589275, 0.6142970907793505]                                        |  0.2900416851043701|      0.03125000|[149, 57, 0, 57]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      24|[0.5586872138589275, 0.6142970907793505]                                        |  0.2900416851043701|      0.01562500|[156, 60, 0, 60]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[0.5586872138589275, 0.6142970907793505]                                        |  0.2900416851043701|      0.00781250|[162, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[0.5525645076631112, 0.6191496803034822]                                        |  0.2831478416919708|      0.01562500|[167, 64, 0, 64]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      27|[0.5525645076631112, 0.6191496803034822]                                        |  0.2831478416919708|      0.00781250|[173, 66, 0, 66]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[0.54532366729634, 0.6220831743009089]                                          |  0.2778834700584412|      0.01562500|[179, 68, 0, 68]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      29|[0.54532366729634, 0.6220831743009089]                                          |  0.2778834700584412|      0.00781250|[186, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[0.5435958341527679, 0.6297022128805444]                                        |  0.2734209895133972|      0.01562500|[191, 73, 0, 73]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[0.5302055802118424, 0.6377546488099711]                                        |  0.2622924447059631|      0.03125000|[196, 75, 0, 75]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      32|[0.5302055802118424, 0.6377546488099711]                                        |  0.2622924447059631|      0.01562500|[202, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.5302055802118424, 0.6377546488099711]                                        |  0.2622924447059631|      0.00781250|[208, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[0.5302055802118424, 0.6377546488099711]                                        |  0.2622924447059631|      0.00390625|[215, 82, 0, 82]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
