k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9414589002263747, 2.0035265728360367, -7.939886369321088]                    | 40.9806060791015625|      1.11111111|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       2|[2.199378690431877, 0.9817298193878548, -7.58778314908919]                      |  9.6213140487670898|      1.23456790|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       3|[2.677923401259146, 0.1738631098512038, -8.389346772340891]                     |  8.2124729156494141|      1.37174211|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       4|[2.0955382207866737, -0.6966077336855508, -7.503466173570769]                   |  5.4348454475402832|      1.52415790|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       5|[0.8156509264357621, -0.2986615402361223, -8.229127701709121]                   |  1.7086277008056641|      1.69350878|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       6|[-0.6195272566908561, -1.1335793779210568, -7.8957393728976975]                 |  1.4059983491897583|      1.88167642|[49, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       7|[-0.6195272566908561, -1.1335793779210568, -7.8957393728976975]                 |  1.4059983491897583|      1.69350878|[61, 0, 0, 15]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[0.372484403953403, -0.7705717328383495, -6.5720663371559525]                   |  1.1672037839889526|      1.88167642|[69, 0, 0, 17]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       9|[0.372484403953403, -0.7705717328383495, -6.5720663371559525]                   |  1.1672037839889526|      1.69350878|[81, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.372484403953403, -0.7705717328383495, -6.5720663371559525]                   |  1.1672037839889526|      1.52415790|[93, 0, 0, 23]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.372484403953403, -0.7705717328383495, -6.5720663371559525]                   |  1.1672037839889526|      1.37174211|[105, 0, 0, 26]                                                            |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[0.372484403953403, -0.7705717328383495, -6.5720663371559525]                   |  1.1672037839889526|      1.23456790|[117, 0, 0, 29]                                                            |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=0
      13|[-0.2287360120900148, 0.0751837400201316, -5.903194455386931]                   |  1.0534007549285889|      1.37174211|[125, 0, 0, 31]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
