k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6086585485476752, 0.050599473707634, 0.1384813977418705, 0.7794992754388204, -0.0047327376407361, 0.0009223873009766, -0.0040463495215168, 0.0039738893039355, 0.0032375379429151, 0.0004216718425405, -0.0012149941420723, -0.0014573707017666, -0.0010809541638961, -0.0027838741981676, 0.0010316381100019, 0.0031647868917324, 0.0079071868142221, 0.00114406518138, -0.0003495236642305, 0.0036037853978884, 0.0029761956023178, 0.0016656623243788]| 13.1513357162475586|     10.00000000|[118, 8, 0, 2]                                                             |  | trying linear partial model with 61 points | iterate success | actual_k=4
       2|[0.6086585485476752, 0.050599473707634, 0.1384813977418705, 0.7794992754388204, -0.0047327376407361, 0.0009223873009766, -0.0040463495215168, 0.0039738893039355, 0.0032375379429151, 0.0004216718425405, -0.0012149941420723, -0.0014573707017666, -0.0010809541638961, -0.0027838741981676, 0.0010316381100019, 0.0031647868917324, 0.0079071868142221, 0.00114406518138, -0.0003495236642305, 0.0036037853978884, 0.0029761956023178, 0.0016656623243788]| 13.1513357162475586|      1.00000000|[234, 16, 0, 4]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       3|[1.216008399483537, 0.1071688808954997, 0.2722051447180407, 1.5602324888161385, 0.0024784430031079, 0.0104370541166247, -0.0103394600406662, 0.0059296234096673, 0.0017753316492793, -0.0031202134785176, -0.0024420527687596, -0.0130163644657529, -0.0021265831686423, 0.0057123517514522, -0.0033456053767358, -0.0022738633285427, 0.0023937769680622, 0.0038217961481721, 0.0005932773397886, 0.0052032971216086, 0.002388044614033, 0.002395779377294]| 12.2451219558715820|     10.00000000|[351, 24, 0, 6]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       4|[1.216008399483537, 0.1071688808954997, 0.2722051447180407, 1.5602324888161385, 0.0024784430031079, 0.0104370541166247, -0.0103394600406662, 0.0059296234096673, 0.0017753316492793, -0.0031202134785176, -0.0024420527687596, -0.0130163644657529, -0.0021265831686423, 0.0057123517514522, -0.0033456053767358, -0.0022738633285427, 0.0023937769680622, 0.0038217961481721, 0.0005932773397886, 0.0052032971216086, 0.002388044614033, 0.002395779377294]| 12.2451219558715820|      1.00000000|[468, 32, 0, 8]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       5|[1.216008399483537, 0.1071688808954997, 0.2722051447180407, 1.5602324888161385, 0.0024784430031079, 0.0104370541166247, -0.0103394600406662, 0.0059296234096673, 0.0017753316492793, -0.0031202134785176, -0.0024420527687596, -0.0130163644657529, -0.0021265831686423, 0.0057123517514522, -0.0033456053767358, -0.0022738633285427, 0.0023937769680622, 0.0038217961481721, 0.0005932773397886, 0.0052032971216086, 0.002388044614033, 0.002395779377294]| 12.2451219558715820|      0.10000000|[585, 40, 0, 10]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       6|[1.2766705313793631, 0.1122319868088296, 0.2858197190589626, 1.6383932520506823, 0.0024939401521692, 0.0104630005114164, -0.0103364531935859, 0.005913590917166, 0.0018166762966255, -0.0031168180561324, -0.0024438481260011, -0.0130117700782629, -0.0021086843650653, 0.0057011059566999, -0.0033144227763788, -0.0022565257023709, 0.0023554068554725, 0.0038167509716876, 0.0006288380697612, 0.0051728360168613, 0.0024134312908007, 0.0024095395875325]| 12.2063045501708984|      1.00000000|[701, 48, 0, 12]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       7|[1.2766705313793631, 0.1122319868088296, 0.2858197190589626, 1.6383932520506823, 0.0024939401521692, 0.0104630005114164, -0.0103364531935859, 0.005913590917166, 0.0018166762966255, -0.0031168180561324, -0.0024438481260011, -0.0130117700782629, -0.0021086843650653, 0.0057011059566999, -0.0033144227763788, -0.0022565257023709, 0.0023554068554725, 0.0038167509716876, 0.0006288380697612, 0.0051728360168613, 0.0024134312908007, 0.0024095395875325]| 12.2063045501708984|      0.10000000|[818, 56, 0, 14]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       8|[1.3372540017637782, 0.1170359895007803, 0.2997609686679459, 1.7165540094396947, 0.0022662777866471, 0.0108632868384587, -0.0105508665279409, 0.0065113107188335, 0.0023341350447299, -0.0031364775231336, -0.0022122387532986, -0.012936610528147, -0.0017531323507503, 0.0064272022429662, -0.0034578917397452, -0.0025997083151168, 0.0013879975308643, 0.0039446995149062, 0.0004923261513175, 0.005596223604706, 0.0022544780588441, 0.0028478246219288]| 12.1769180297851562|      1.00000000|[934, 64, 0, 16]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       9|[1.3372540017637782, 0.1170359895007803, 0.2997609686679459, 1.7165540094396947, 0.0022662777866471, 0.0108632868384587, -0.0105508665279409, 0.0065113107188335, 0.0023341350447299, -0.0031364775231336, -0.0022122387532986, -0.012936610528147, -0.0017531323507503, 0.0064272022429662, -0.0034578917397452, -0.0025997083151168, 0.0013879975308643, 0.0039446995149062, 0.0004923261513175, 0.005596223604706, 0.0022544780588441, 0.0028478246219288]| 12.1769180297851562|      0.10000000|[1050, 72, 0, 18]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      10|[1.397687126624065, 0.1219340708940729, 0.3129133694585193, 1.7949754263084847, 0.0024990678475059, 0.0109347171487672, -0.0108013344027704, 0.0064905858405119, 0.0023748937837768, -0.0028832870435683, -0.0021251813659668, -0.0129386947860577, -0.0013040437574609, 0.0062643813036957, -0.00327932592741, -0.0026203097567217, 0.0012041520304126, 0.0044339909296657, 0.0008687965411521, 0.0056715232909516, 0.002056676789247, 0.0026868624260659]| 12.1569509506225586|      1.00000000|[1166, 80, 0, 20]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
      11|[1.397687126624065, 0.1219340708940729, 0.3129133694585193, 1.7949754263084847, 0.0024990678475059, 0.0109347171487672, -0.0108013344027704, 0.0064905858405119, 0.0023748937837768, -0.0028832870435683, -0.0021251813659668, -0.0129386947860577, -0.0013040437574609, 0.0062643813036957, -0.00327932592741, -0.0026203097567217, 0.0012041520304126, 0.0044339909296657, 0.0008687965411521, 0.0056715232909516, 0.002056676789247, 0.0026868624260659]| 12.1569509506225586|      0.10000000|[1282, 88, 0, 22]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
