k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6089246306237099, 0.0547627230148155, 0.1369095758715928, 0.7790905807788936, -0.0027062693678941, 0.0008228510716478, -0.0073877657276309, 0.0044154624338403, -0.0047443692281261, 0.0025997519153439, -0.0030349374239684, -0.0076431646152507, -0.0039602489175381, -0.0079572901180379, 0.002029310685563, 0.0022668858499807, 0.0063480730495962, 0.0019722217699703, -0.0002234826966085, 0.0079065081748448, -0.0010089908116513, 0.0105106115877916]| 13.1515474319458008|      2.00000000|[106, 16, 0, 2]                                                            |  | trying linear partial model with 57 points | iterate success | actual_k=8
       2|[1.81604191030676, 0.1739724941401996, 0.4000334691535763, 2.3447898888672634, -0.023792243877052, 0.0126892465968037, 0.0468168892585411, -0.0062592952921102, -0.0015590481481773, 0.0055233605694327, -0.0161659425545623, -0.0228955856183126, 0.0260530575624825, -0.011537634797889, 0.0071202640187253, -0.0072155708008528, 0.0292561548153104, 0.0094620414575094, -0.0174049238915572, -0.0218579079792055, 0.01855458398317, 0.0383122873232595]| 12.2800903320312500|      4.00000000|[210, 32, 0, 4]                                                            |  | trying linear partial model with 57 points | iterate success | actual_k=8
       3|[1.81604191030676, 0.1739724941401996, 0.4000334691535763, 2.3447898888672634, -0.023792243877052, 0.0126892465968037, 0.0468168892585411, -0.0062592952921102, -0.0015590481481773, 0.0055233605694327, -0.0161659425545623, -0.0228955856183126, 0.0260530575624825, -0.011537634797889, 0.0071202640187253, -0.0072155708008528, 0.0292561548153104, 0.0094620414575094, -0.0174049238915572, -0.0218579079792055, 0.01855458398317, 0.0383122873232595]| 12.2800903320312500|      2.00000000|[315, 48, 0, 6]                                                            |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       4|[1.81604191030676, 0.1739724941401996, 0.4000334691535763, 2.3447898888672634, -0.023792243877052, 0.0126892465968037, 0.0468168892585411, -0.0062592952921102, -0.0015590481481773, 0.0055233605694327, -0.0161659425545623, -0.0228955856183126, 0.0260530575624825, -0.011537634797889, 0.0071202640187253, -0.0072155708008528, 0.0292561548153104, 0.0094620414575094, -0.0174049238915572, -0.0218579079792055, 0.01855458398317, 0.0383122873232595]| 12.2800903320312500|      1.00000000|[421, 64, 0, 8]                                                            |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       5|[1.81604191030676, 0.1739724941401996, 0.4000334691535763, 2.3447898888672634, -0.023792243877052, 0.0126892465968037, 0.0468168892585411, -0.0062592952921102, -0.0015590481481773, 0.0055233605694327, -0.0161659425545623, -0.0228955856183126, 0.0260530575624825, -0.011537634797889, 0.0071202640187253, -0.0072155708008528, 0.0292561548153104, 0.0094620414575094, -0.0174049238915572, -0.0218579079792055, 0.01855458398317, 0.0383122873232595]| 12.2800903320312500|      0.50000000|[526, 80, 0, 10]                                                           |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       6|[1.5097213451162168, 0.1470590900355198, 0.3332679199848906, 1.95623642925222, -0.0243085967573821, 0.0127340170751202, 0.0476636339504768, -0.0067065179694961, -0.0007687813214674, 0.005915099848913, -0.0163607461121891, -0.0228545096123143, 0.0267553084779521, -0.0107495449144929, 0.0084817320430687, -0.006629579800397, 0.0279625823483145, 0.0097156421978807, -0.0160639267172615, -0.0234163736551211, 0.0190067823896131, 0.0389955311029185]| 12.1452150344848633|      1.00000000|[630, 96, 0, 12]                                                           |  | trying linear partial model with 57 points | iterate success | actual_k=8
       7|[1.5097213451162168, 0.1470590900355198, 0.3332679199848906, 1.95623642925222, -0.0243085967573821, 0.0127340170751202, 0.0476636339504768, -0.0067065179694961, -0.0007687813214674, 0.005915099848913, -0.0163607461121891, -0.0228545096123143, 0.0267553084779521, -0.0107495449144929, 0.0084817320430687, -0.006629579800397, 0.0279625823483145, 0.0097156421978807, -0.0160639267172615, -0.0234163736551211, 0.0190067823896131, 0.0389955311029185]| 12.1452150344848633|      0.50000000|[735, 112, 0, 14]                                                          |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       8|[1.5097213451162168, 0.1470590900355198, 0.3332679199848906, 1.95623642925222, -0.0243085967573821, 0.0127340170751202, 0.0476636339504768, -0.0067065179694961, -0.0007687813214674, 0.005915099848913, -0.0163607461121891, -0.0228545096123143, 0.0267553084779521, -0.0107495449144929, 0.0084817320430687, -0.006629579800397, 0.0279625823483145, 0.0097156421978807, -0.0160639267172615, -0.0234163736551211, 0.0190067823896131, 0.0389955311029185]| 12.1452150344848633|      0.25000000|[839, 128, 0, 16]                                                          |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       9|[1.5097213451162168, 0.1470590900355198, 0.3332679199848906, 1.95623642925222, -0.0243085967573821, 0.0127340170751202, 0.0476636339504768, -0.0067065179694961, -0.0007687813214674, 0.005915099848913, -0.0163607461121891, -0.0228545096123143, 0.0267553084779521, -0.0107495449144929, 0.0084817320430687, -0.006629579800397, 0.0279625823483145, 0.0097156421978807, -0.0160639267172615, -0.0234163736551211, 0.0190067823896131, 0.0389955311029185]| 12.1452150344848633|      0.12500000|[943, 144, 0, 18]                                                          |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      10|[1.5097213451162168, 0.1470590900355198, 0.3332679199848906, 1.95623642925222, -0.0243085967573821, 0.0127340170751202, 0.0476636339504768, -0.0067065179694961, -0.0007687813214674, 0.005915099848913, -0.0163607461121891, -0.0228545096123143, 0.0267553084779521, -0.0107495449144929, 0.0084817320430687, -0.006629579800397, 0.0279625823483145, 0.0097156421978807, -0.0160639267172615, -0.0234163736551211, 0.0190067823896131, 0.0389955311029185]| 12.1452150344848633|      0.06250000|[1048, 160, 0, 20]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      11|[1.4686305024725137, 0.141492288920004, 0.3261445368041044, 1.9105086558173823, -0.0212376893525394, 0.0146216529450265, 0.0445094602500268, -0.006104793961703, -0.0033623836409675, 0.0051075414540252, -0.0183465186642524, -0.021050370691494, 0.0258863179847466, -0.0109145786617002, 0.0083500055813654, -0.0065875746282959, 0.0288817210219502, 0.0104370013921102, -0.0159280034839052, -0.0253746792240535, 0.0190824378581347, 0.0400557362904375]| 12.1449003219604492|      0.12500000|[1152, 176, 0, 22]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
      12|[1.4686305024725137, 0.141492288920004, 0.3261445368041044, 1.9105086558173823, -0.0212376893525394, 0.0146216529450265, 0.0445094602500268, -0.006104793961703, -0.0033623836409675, 0.0051075414540252, -0.0183465186642524, -0.021050370691494, 0.0258863179847466, -0.0109145786617002, 0.0083500055813654, -0.0065875746282959, 0.0288817210219502, 0.0104370013921102, -0.0159280034839052, -0.0253746792240535, 0.0190824378581347, 0.0400557362904375]| 12.1449003219604492|      0.06250000|[1258, 192, 0, 24]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      13|[1.4686305024725137, 0.141492288920004, 0.3261445368041044, 1.9105086558173823, -0.0212376893525394, 0.0146216529450265, 0.0445094602500268, -0.006104793961703, -0.0033623836409675, 0.0051075414540252, -0.0183465186642524, -0.021050370691494, 0.0258863179847466, -0.0109145786617002, 0.0083500055813654, -0.0065875746282959, 0.0288817210219502, 0.0104370013921102, -0.0159280034839052, -0.0253746792240535, 0.0190824378581347, 0.0400557362904375]| 12.1449003219604492|      0.03125000|[1362, 208, 0, 26]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      14|[1.4850779199262578, 0.1419620718167185, 0.3305303927728648, 1.9366181445570543, -0.0220626704343162, 0.0149475647072312, 0.0446042772764089, -0.0050152127157161, -0.0043990340143341, 0.005416497952774, -0.0183962665814536, -0.020574904130683, 0.02527401220614, -0.010694350917476, 0.0086215137878877, -0.0063216030360367, 0.0289284614083894, 0.0103177508226058, -0.0163631466090021, -0.0254796961688691, 0.0185806357381299, 0.0407376688503274]| 12.1445941925048828|      0.06250000|[1468, 224, 0, 28]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
      15|[1.4850779199262578, 0.1419620718167185, 0.3305303927728648, 1.9366181445570543, -0.0220626704343162, 0.0149475647072312, 0.0446042772764089, -0.0050152127157161, -0.0043990340143341, 0.005416497952774, -0.0183962665814536, -0.020574904130683, 0.02527401220614, -0.010694350917476, 0.0086215137878877, -0.0063216030360367, 0.0289284614083894, 0.0103177508226058, -0.0163631466090021, -0.0254796961688691, 0.0185806357381299, 0.0407376688503274]| 12.1445941925048828|      0.03125000|[1574, 240, 0, 30]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      16|[1.4850779199262578, 0.1419620718167185, 0.3305303927728648, 1.9366181445570543, -0.0220626704343162, 0.0149475647072312, 0.0446042772764089, -0.0050152127157161, -0.0043990340143341, 0.005416497952774, -0.0183962665814536, -0.020574904130683, 0.02527401220614, -0.010694350917476, 0.0086215137878877, -0.0063216030360367, 0.0289284614083894, 0.0103177508226058, -0.0163631466090021, -0.0254796961688691, 0.0185806357381299, 0.0407376688503274]| 12.1445941925048828|      0.01562500|[1678, 256, 0, 32]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      17|[1.4850779199262578, 0.1419620718167185, 0.3305303927728648, 1.9366181445570543, -0.0220626704343162, 0.0149475647072312, 0.0446042772764089, -0.0050152127157161, -0.0043990340143341, 0.005416497952774, -0.0183962665814536, -0.020574904130683, 0.02527401220614, -0.010694350917476, 0.0086215137878877, -0.0063216030360367, 0.0289284614083894, 0.0103177508226058, -0.0163631466090021, -0.0254796961688691, 0.0185806357381299, 0.0407376688503274]| 12.1445941925048828|      0.00781250|[1783, 272, 0, 34]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
