k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.1401527526657613, -0.4105513796394371]                                       | 16.5282554626464844|     10.00000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[2.1401527526657613, -0.4105513796394371]                                       | 16.5282554626464844|      1.00000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.4183651462011486, -1.1026660024831427]                                       |  3.9482703208923340|     10.00000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[1.4183651462011486, -1.1026660024831427]                                       |  3.9482703208923340|      1.00000000|[28, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.5171803061543377, -0.6692310199658071]                                       |  0.9959197044372559|     10.00000000|[36, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
       6|[0.5171803061543377, -0.6692310199658071]                                       |  0.9959197044372559|      1.00000000|[42, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.5171803061543377, -0.6692310199658071]                                       |  0.9959197044372559|      0.10000000|[50, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.418626376712131, -0.6861757239024502]                                        |  0.8925812244415283|      1.00000000|[55, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[0.418626376712131, -0.6861757239024502]                                        |  0.8925812244415283|      0.10000000|[63, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.3194510689533703, -0.6989920545378179]                                       |  0.8195436596870422|      1.00000000|[68, 25, 0, 25]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      11|[0.3194510689533703, -0.6989920545378179]                                       |  0.8195436596870422|      0.10000000|[76, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      12|[0.2194608828766771, -0.7003930143332026]                                       |  0.7802195549011230|      1.00000000|[81, 30, 0, 30]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      13|[0.2194608828766771, -0.7003930143332026]                                       |  0.7802195549011230|      0.10000000|[88, 33, 0, 33]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      14|[0.2194608828766771, -0.7003930143332026]                                       |  0.7802195549011230|      0.01000000|[95, 36, 0, 36]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.2103643469180847, -0.7045466914455977]                                       |  0.7781032919883728|      0.10000000|[101, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      16|[0.2103643469180847, -0.7045466914455977]                                       |  0.7781032919883728|      0.01000000|[108, 41, 0, 41]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.2007628177449822, -0.7073414432302937]                                       |  0.7764128446578979|      0.10000000|[114, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      18|[0.2007628177449822, -0.7073414432302937]                                       |  0.7764128446578979|      0.01000000|[121, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[0.1911498856091434, -0.7100967174002732]                                       |  0.7751705050468445|      0.10000000|[126, 48, 0, 48]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      20|[0.1911498856091434, -0.7100967174002732]                                       |  0.7751705050468445|      0.01000000|[134, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      21|[0.1811758887941719, -0.7093760319384057]                                       |  0.7742669582366943|      0.10000000|[140, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      22|[0.1811758887941719, -0.7093760319384057]                                       |  0.7742669582366943|      0.01000000|[147, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      23|[0.172164316805915, -0.7050411074522741]                                        |  0.7736614346504211|      0.10000000|[153, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      24|[0.172164316805915, -0.7050411074522741]                                        |  0.7736614346504211|      0.01000000|[161, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      25|[0.162445961304163, -0.7026845068621087]                                        |  0.7733350992202759|      0.10000000|[167, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[0.162445961304163, -0.7026845068621087]                                        |  0.7733350992202759|      0.01000000|[173, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[0.162445961304163, -0.7026845068621087]                                        |  0.7733350992202759|      0.00100000|[179, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[0.1620752274470807, -0.7017557677129322]                                       |  0.7733107805252075|      0.01000000|[185, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      29|[0.1620752274470807, -0.7017557677129322]                                       |  0.7733107805252075|      0.00100000|[192, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      30|[0.1614417273146761, -0.7009820251315505]                                       |  0.7732889056205750|      0.01000000|[197, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[0.1578054677260941, -0.691666574728889]                                        |  0.7732394337654114|      0.10000000|[205, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      32|[0.1578054677260941, -0.691666574728889]                                        |  0.7732394337654114|      0.01000000|[211, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
