k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404945974|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.12392153236741, 39.089878825573976, 41.03594372036253, 38.90481552336117]   |851.9668579101562500|     10.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[16.42558723160603, 37.187374307053716, 37.34385154538818, 43.75090476337976]   |365.8745422363281250|    100.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[16.42558723160603, 37.187374307053716, 37.34385154538818, 43.75090476337976]   |365.8745422363281250|     10.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[9.583906098718385, 32.05472068618109, 42.46460006548861, 44.54160108809716]    | 76.4082260131835938|    100.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[9.583906098718385, 32.05472068618109, 42.46460006548861, 44.54160108809716]    | 76.4082260131835938|     10.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[2.3392408829102393, 33.31561072329065, 49.15029464141134, 45.64906226694484]   |  2.9451346397399902|    100.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[2.3392408829102393, 33.31561072329065, 49.15029464141134, 45.64906226694484]   |  2.9451346397399902|     10.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[2.3392408829102393, 33.31561072329065, 49.15029464141134, 45.64906226694484]   |  2.9451346397399902|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[1.727676283610448, 33.115638364551366, 49.19878771122498, 46.41303099588836]   |  1.3297533988952637|     10.00000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[1.727676283610448, 33.115638364551366, 49.19878771122498, 46.41303099588836]   |  1.3297533988952637|      1.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[1.3581502575939268, 32.88577890787815, 48.83039658628076, 45.591506117788704]  |  0.6942010521888733|     10.00000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[1.3581502575939268, 32.88577890787815, 48.83039658628076, 45.591506117788704]  |  0.6942010521888733|      1.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[0.5595042058495658, 33.435730926323316, 48.9869121387089, 45.403835813027015]  |  0.0238601695746183|     10.00000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[0.5595042058495658, 33.435730926323316, 48.9869121387089, 45.403835813027015]  |  0.0238601695746183|      1.00000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[0.5595042058495658, 33.435730926323316, 48.9869121387089, 45.403835813027015]  |  0.0238601695746183|      0.10000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[0.4707105304815304, 33.3903667469258, 48.979913686018534, 45.400869990684626]  |  0.0097544696182013|      1.00000000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      17|[0.4707105304815304, 33.3903667469258, 48.979913686018534, 45.400869990684626]  |  0.0097544696182013|      0.10000000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      18|[0.4707105304815304, 33.3903667469258, 48.979913686018534, 45.400869990684626]  |  0.0097544696182013|      0.01000000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      19|[0.4620913520475465, 33.38652923483396, 48.97990136773521, 45.39755591278452]   |  0.0090737957507372|      0.10000000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      20|[0.4620913520475465, 33.38652923483396, 48.97990136773521, 45.39755591278452]   |  0.0090737957507372|      0.01000000|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
