k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.5775889522871476, 2.093595616311279]                                         |103.9862213134765625|      2.00000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[1.5775889522871476, 2.093595616311279]                                         |103.9862213134765625|      1.00000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.2876428368809496, 1.1365526443602514]                                        |  1.5443565845489502|      2.00000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[1.2876428368809496, 1.1365526443602514]                                        |  1.5443565845489502|      1.00000000|[28, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       5|[1.2876428368809496, 1.1365526443602514]                                        |  1.5443565845489502|      0.50000000|[36, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.2876428368809496, 1.1365526443602514]                                        |  1.5443565845489502|      0.25000000|[42, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[1.1621028678740553, 0.920358943754179]                                         |  0.0409965477883816|      0.50000000|[47, 17, 0, 17]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       8|[1.1621028678740553, 0.920358943754179]                                         |  0.0409965477883816|      0.25000000|[54, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       9|[1.1621028678740553, 0.920358943754179]                                         |  0.0409965477883816|      0.12500000|[62, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.1621028678740553, 0.920358943754179]                                         |  0.0409965477883816|      0.06250000|[70, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      11|[1.1621028678740553, 0.920358943754179]                                         |  0.0409965477883816|      0.03125000|[76, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[1.1621028678740553, 0.920358943754179]                                         |  0.0409965477883816|      0.01562500|[83, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      13|[1.1483031468824791, 0.9130303473295797]                                        |  0.0294150710105896|      0.03125000|[88, 33, 0, 33]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      14|[1.1483031468824791, 0.9130303473295797]                                        |  0.0294150710105896|      0.01562500|[95, 36, 0, 36]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.1483031468824791, 0.9130303473295797]                                        |  0.0294150710105896|      0.00781250|[101, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.1406422370280163, 0.9114988067810491]                                        |  0.0258026663213968|      0.01562500|[106, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      17|[1.1406422370280163, 0.9114988067810491]                                        |  0.0258026663213968|      0.00781250|[114, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      18|[1.132842204157924, 0.911057622606944]                                          |  0.0231986455619335|      0.01562500|[119, 45, 0, 45]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      19|[1.132842204157924, 0.911057622606944]                                          |  0.0231986455619335|      0.00781250|[125, 47, 0, 47]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.132842204157924, 0.911057622606944]                                          |  0.0231986455619335|      0.00390625|[132, 50, 0, 50]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      21|[1.1292047693205547, 0.9124816510007594]                                        |  0.0220751073211432|      0.00781250|[138, 52, 0, 52]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      22|[1.1292047693205547, 0.9124816510007594]                                        |  0.0220751073211432|      0.00390625|[145, 55, 0, 55]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.1257566417834326, 0.9143171905808941]                                        |  0.0210037510842085|      0.00781250|[150, 57, 0, 57]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      24|[1.1257566417834326, 0.9143171905808941]                                        |  0.0210037510842085|      0.00390625|[157, 60, 0, 60]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.1224794547807169, 0.9164429456024643]                                        |  0.0199682489037514|      0.00781250|[163, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[1.1224794547807169, 0.9164429456024643]                                        |  0.0199682489037514|      0.00390625|[171, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.1197017333121204, 0.919189407418219]                                         |  0.0189860220998526|      0.00781250|[177, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      28|[1.1197017333121204, 0.919189407418219]                                         |  0.0189860220998526|      0.00390625|[183, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[1.1163354644300203, 0.9211710791558952]                                        |  0.0179974231868982|      0.00781250|[188, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      30|[1.1163354644300203, 0.9211710791558952]                                        |  0.0179974231868982|      0.00390625|[195, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      31|[1.1134472616070454, 0.9238011121434945]                                        |  0.0170512199401855|      0.00781250|[200, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      32|[1.1134472616070454, 0.9238011121434945]                                        |  0.0170512199401855|      0.00390625|[208, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      33|[1.1105288529055104, 0.9263975866211863]                                        |  0.0161288846284151|      0.00781250|[213, 81, 0, 81]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      34|[1.1105288529055104, 0.9263975866211863]                                        |  0.0161288846284151|      0.00390625|[220, 84, 0, 84]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      35|[1.1072338708827338, 0.9284956530005175]                                        |  0.0152120422571898|      0.00781250|[225, 86, 0, 86]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      36|[1.1072338708827338, 0.9284956530005175]                                        |  0.0152120422571898|      0.00390625|[231, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      37|[1.1040693245749171, 0.9307857263024414]                                        |  0.0143248382955790|      0.00781250|[237, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      38|[1.1040693245749171, 0.9307857263024414]                                        |  0.0143248382955790|      0.00390625|[244, 93, 0, 93]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      39|[1.100378295166924, 0.9320644330600014]                                         |  0.0135040422901511|      0.00781250|[249, 95, 0, 95]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      40|[1.100378295166924, 0.9320644330600014]                                         |  0.0135040422901511|      0.00390625|[257, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      41|[1.097522974292524, 0.9347301284227005]                                         |  0.0126673309132457|      0.00781250|[263, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      42|[1.097522974292524, 0.9347301284227005]                                         |  0.0126673309132457|      0.00390625|[269, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[1.0942475780501248, 0.9368586416403661]                                        |  0.0118599040433764|      0.00781250|[274, 104, 0, 104]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      44|[1.0942475780501248, 0.9368586416403661]                                        |  0.0118599040433764|      0.00390625|[281, 107, 0, 107]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      45|[1.091183977442185, 0.9392820979278883]                                         |  0.0110720433294773|      0.00781250|[287, 109, 0, 109]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      46|[1.091183977442185, 0.9392820979278883]                                         |  0.0110720433294773|      0.00390625|[293, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[1.0883927246852747, 0.9420148066773786]                                        |  0.0103158894926310|      0.00781250|[299, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      48|[1.0883927246852747, 0.9420148066773786]                                        |  0.0103158894926310|      0.00390625|[306, 116, 0, 116]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      49|[1.0852386398086462, 0.9443192670596641]                                        |  0.0095800124108791|      0.00781250|[312, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      50|[1.0852386398086462, 0.9443192670596641]                                        |  0.0095800124108791|      0.00390625|[320, 121, 0, 121]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
