k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.19074570784984, 38.522810533633724, 41.799376279922306, 39.166647972821416] |810.4356689453125000|      1.11111111|[15, 2, 0, 2]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       2|[23.28747368376171, 37.99473979702867, 42.118942808148304, 39.360777009581206]  |721.3528442382812500|      1.23456790|[28, 4, 0, 4]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       3|[22.273033537725368, 37.415086898428505, 42.46483810775284, 39.5593419906942]   |631.2352294921875000|      1.37174211|[41, 6, 0, 6]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       4|[21.123568098384037, 36.787559917232116, 42.815209337205154, 39.76875907777494] |541.2004394531250000|      1.52415790|[55, 8, 0, 8]                                                              |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       5|[19.84850186584091, 36.09066225395563, 43.21315287717017, 39.999492692772904]   |452.5906066894531250|      1.69350878|[68, 10, 0, 10]                                                            |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       6|[18.38874785248949, 35.363427943181144, 43.619158133971226, 40.20777183234078]  |366.8910522460937500|      1.88167642|[81, 12, 0, 12]                                                            |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       7|[16.789323839177165, 34.51727720551404, 44.08279721742928, 40.43496495844198]   |285.9037475585937500|      2.09075158|[94, 14, 0, 14]                                                            |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       8|[14.91972953423075, 33.73941162648517, 44.53686678915779, 40.689140635014844]   |211.2052917480468750|      2.32305731|[107, 16, 0, 16]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
       9|[12.833231086687078, 32.880579854230824, 45.01172598447747, 40.972047399407174] |144.7578887939453125|      2.58117479|[120, 18, 0, 18]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      10|[10.426619670539294, 32.07555398334402, 45.405650596861115, 41.23174249755914]  | 88.3701858520507812|      2.86797199|[133, 20, 0, 20]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      11|[7.696979200953583, 31.312380553772506, 45.74120199580389, 41.51334118689105]   | 43.9991950988769531|      3.18663555|[146, 22, 0, 22]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      12|[4.587004336569272, 30.68340566431694, 46.00949516386242, 41.636271272848866]   | 13.7265577316284180|      3.54070616|[159, 24, 0, 24]                                                           |  | trying quadratic partial model with 8 points | iterate success | actual_k=1
      13|[1.0811134654165122, 30.301338622653663, 46.3200565372511, 41.690176100908936]  |  0.3325655162334442|      3.93411796|[178, 27, 0, 27]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | iterate success | actual_k=1
      14|[1.0811134654165122, 30.301338622653663, 46.3200565372511, 41.690176100908936]  |  0.3325655162334442|      3.54070616|[197, 30, 0, 30]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.0811134654165122, 30.301338622653663, 46.3200565372511, 41.690176100908936]  |  0.3325655162334442|      3.18663555|[216, 33, 0, 33]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.0811134654165122, 30.301338622653663, 46.3200565372511, 41.690176100908936]  |  0.3325655162334442|      2.86797199|[235, 36, 0, 36]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.0811134654165122, 30.301338622653663, 46.3200565372511, 41.690176100908936]  |  0.3325655162334442|      2.58117479|[254, 39, 0, 39]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      18|[1.0811134654165122, 30.301338622653663, 46.3200565372511, 41.690176100908936]  |  0.3325655162334442|      2.32305731|[274, 42, 0, 42]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.0811134654165122, 30.301338622653663, 46.3200565372511, 41.690176100908936]  |  0.3325655162334442|      2.09075158|[294, 45, 0, 45]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.0811134654165122, 30.301338622653663, 46.3200565372511, 41.690176100908936]  |  0.3325655162334442|      1.88167642|[313, 48, 0, 48]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      21|[1.0811134654165122, 30.301338622653663, 46.3200565372511, 41.690176100908936]  |  0.3325655162334442|      1.69350878|[332, 51, 0, 51]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      22|[1.0811134654165122, 30.301338622653663, 46.3200565372511, 41.690176100908936]  |  0.3325655162334442|      1.52415790|[351, 54, 0, 54]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.0811134654165122, 30.301338622653663, 46.3200565372511, 41.690176100908936]  |  0.3325655162334442|      1.37174211|[371, 57, 0, 57]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      24|[1.0811134654165122, 30.301338622653663, 46.3200565372511, 41.690176100908936]  |  0.3325655162334442|      1.23456790|[390, 60, 0, 60]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.0811134654165122, 30.301338622653663, 46.3200565372511, 41.690176100908936]  |  0.3325655162334442|      1.11111111|[409, 63, 0, 63]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[1.0811134654165122, 30.301338622653663, 46.3200565372511, 41.690176100908936]  |  0.3325655162334442|      1.00000000|[428, 66, 0, 66]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[1.0811134654165122, 30.301338622653663, 46.3200565372511, 41.690176100908936]  |  0.3325655162334442|      0.90000000|[448, 69, 0, 69]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[1.0811134654165122, 30.301338622653663, 46.3200565372511, 41.690176100908936]  |  0.3325655162334442|      0.81000000|[468, 72, 0, 72]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.2865958584076111, 30.206108382640906, 46.436805018216575, 41.73646611853926] |  0.0231894366443157|      0.90000000|[487, 75, 0, 75]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | iterate success | actual_k=1
      30|[0.2865958584076111, 30.206108382640906, 46.436805018216575, 41.73646611853926] |  0.0231894366443157|      0.81000000|[506, 78, 0, 78]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      31|[0.2865958584076111, 30.206108382640906, 46.436805018216575, 41.73646611853926] |  0.0231894366443157|      0.72900000|[525, 81, 0, 81]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      32|[0.2865958584076111, 30.206108382640906, 46.436805018216575, 41.73646611853926] |  0.0231894366443157|      0.65610000|[545, 84, 0, 84]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.2865958584076111, 30.206108382640906, 46.436805018216575, 41.73646611853926] |  0.0231894366443157|      0.59049000|[564, 87, 0, 87]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      34|[0.2865958584076111, 30.206108382640906, 46.436805018216575, 41.73646611853926] |  0.0231894366443157|      0.53144100|[583, 90, 0, 90]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.2865958584076111, 30.206108382640906, 46.436805018216575, 41.73646611853926] |  0.0231894366443157|      0.47829690|[604, 93, 0, 93]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      36|[0.2865958584076111, 30.206108382640906, 46.436805018216575, 41.73646611853926] |  0.0231894366443157|      0.43046721|[623, 96, 0, 96]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.2865958584076111, 30.206108382640906, 46.436805018216575, 41.73646611853926] |  0.0231894366443157|      0.38742049|[642, 99, 0, 99]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      38|[0.2865958584076111, 30.206108382640906, 46.436805018216575, 41.73646611853926] |  0.0231894366443157|      0.34867844|[661, 102, 0, 102]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      39|[0.2865958584076111, 30.206108382640906, 46.436805018216575, 41.73646611853926] |  0.0231894366443157|      0.31381060|[680, 105, 0, 105]                                                         |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      40|[0.2865958584076111, 30.206108382640906, 46.436805018216575, 41.73646611853926] |  0.0231894366443157|      0.28242954|[700, 108, 0, 108]                                                         |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.2865958584076111, 30.206108382640906, 46.436805018216575, 41.73646611853926] |  0.0231894366443157|      0.25418658|[719, 111, 0, 111]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      42|[0.2865958584076111, 30.206108382640906, 46.436805018216575, 41.73646611853926] |  0.0231894366443157|      0.22876792|[739, 114, 0, 114]                                                         |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.2865958584076111, 30.206108382640906, 46.436805018216575, 41.73646611853926] |  0.0231894366443157|      0.20589113|[758, 117, 0, 117]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      44|[0.2865958584076111, 30.206108382640906, 46.436805018216575, 41.73646611853926] |  0.0231894366443157|      0.18530202|[777, 120, 0, 120]                                                         |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[0.2865958584076111, 30.206108382640906, 46.436805018216575, 41.73646611853926] |  0.0231894366443157|      0.16677182|[796, 123, 0, 123]                                                         |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[0.4518800943827536, 30.21025954691319, 46.433723369544, 41.71485057877903]     |  0.0076012592762709|      0.18530202|[816, 126, 0, 126]                                                         |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | iterate success | actual_k=1
      47|[0.4518800943827536, 30.21025954691319, 46.433723369544, 41.71485057877903]     |  0.0076012592762709|      0.16677182|[836, 129, 0, 129]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      48|[0.4518800943827536, 30.21025954691319, 46.433723369544, 41.71485057877903]     |  0.0076012592762709|      0.15009464|[855, 132, 0, 132]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      49|[0.4518800943827536, 30.21025954691319, 46.433723369544, 41.71485057877903]     |  0.0076012592762709|      0.13508517|[874, 135, 0, 135]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      50|[0.4518800943827536, 30.21025954691319, 46.433723369544, 41.71485057877903]     |  0.0076012592762709|      0.12157665|[893, 138, 0, 138]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      51|[0.4518800943827536, 30.21025954691319, 46.433723369544, 41.71485057877903]     |  0.0076012592762709|      0.10941899|[913, 141, 0, 141]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      52|[0.4518800943827536, 30.21025954691319, 46.433723369544, 41.71485057877903]     |  0.0076012592762709|      0.09847709|[932, 144, 0, 144]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.4518800943827536, 30.21025954691319, 46.433723369544, 41.71485057877903]     |  0.0076012592762709|      0.08862938|[952, 147, 0, 147]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 15 points | exploitation failed, decreasing delta | actual_k=1
      54|[0.4518800943827536, 30.21025954691319, 46.433723369544, 41.71485057877903]     |  0.0076012592762709|      0.07976644|[971, 150, 0, 150]                                                         |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
