k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.195816180345798, 38.5175504612019, 41.80072948234171, 39.173472202875175]   |810.4383544921875000|     10.00000000|[12, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
       2|[24.195816180345798, 38.5175504612019, 41.80072948234171, 39.173472202875175]   |810.4383544921875000|      1.00000000|[22, 8, 0, 4]                                                              |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       3|[23.39450912906405, 38.030279519600356, 42.0975225750091, 39.353438586352276]   |729.9520263671875000|     10.00000000|[33, 12, 0, 6]                                                             |  | trying linear partial model with 7 points | iterate success | actual_k=2
       4|[23.39450912906405, 38.030279519600356, 42.0975225750091, 39.353438586352276]   |729.9520263671875000|      1.00000000|[44, 16, 0, 8]                                                             |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       5|[22.574771970987083, 37.547713419531256, 42.36012730112917, 39.51530182662443]  |655.6419067382812500|     10.00000000|[55, 20, 0, 10]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       6|[22.574771970987083, 37.547713419531256, 42.36012730112917, 39.51530182662443]  |655.6419067382812500|      1.00000000|[65, 24, 0, 12]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       7|[21.75735751263697, 37.06885270538951, 42.64026994268648, 39.6703699410553]     |587.1346435546875000|     10.00000000|[75, 28, 0, 14]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       8|[21.75735751263697, 37.06885270538951, 42.64026994268648, 39.6703699410553]     |587.1346435546875000|      1.00000000|[85, 32, 0, 16]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       9|[20.92536227813679, 36.61294822682663, 42.91420662255016, 39.82814741606542]    |524.0599365234375000|     10.00000000|[96, 36, 0, 18]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
      10|[20.92536227813679, 36.61294822682663, 42.91420662255016, 39.82814741606542]    |524.0599365234375000|      1.00000000|[106, 40, 0, 20]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      11|[20.087258272314777, 36.155108656293606, 43.1688283641837, 39.98024071561123]   |466.0797119140625000|     10.00000000|[116, 44, 0, 22]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      12|[20.087258272314777, 36.155108656293606, 43.1688283641837, 39.98024071561123]   |466.0797119140625000|      1.00000000|[126, 48, 0, 24]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      13|[19.237068420582087, 35.714661762168234, 43.4115739529161, 40.135991569917145]  |412.8722229003906250|     10.00000000|[136, 52, 0, 26]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      14|[19.237068420582087, 35.714661762168234, 43.4115739529161, 40.135991569917145]  |412.8722229003906250|      1.00000000|[146, 56, 0, 28]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      15|[18.380690707383547, 35.27983720143867, 43.64624799585504, 40.2859012336946]    |364.1356201171875000|     10.00000000|[158, 60, 0, 30]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      16|[18.380690707383547, 35.27983720143867, 43.64624799585504, 40.2859012336946]    |364.1356201171875000|      1.00000000|[168, 64, 0, 32]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      17|[17.51336036183699, 34.857125764854544, 43.86983856790264, 40.42396052952977]   |319.5798950195312500|     10.00000000|[178, 68, 0, 34]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      18|[17.51336036183699, 34.857125764854544, 43.86983856790264, 40.42396052952977]   |319.5798950195312500|      1.00000000|[189, 72, 0, 36]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      19|[16.637730642641298, 34.4456758376046, 44.087405097531246, 40.552981293024075]  |278.9408874511718750|     10.00000000|[199, 76, 0, 38]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      20|[16.637730642641298, 34.4456758376046, 44.087405097531246, 40.552981293024075]  |278.9408874511718750|      1.00000000|[211, 80, 0, 40]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      21|[15.75620162179073, 34.03783990045837, 44.29030945577, 40.67710322975576]       |241.9741363525390625|     10.00000000|[222, 84, 0, 42]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      22|[15.75620162179073, 34.03783990045837, 44.29030945577, 40.67710322975576]       |241.9741363525390625|      1.00000000|[233, 88, 0, 44]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      23|[15.132511400749836, 33.594711431265154, 43.793871060103925, 41.0872210022028]  |218.8604431152343750|     10.00000000|[245, 92, 0, 46]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      24|[15.132511400749836, 33.594711431265154, 43.793871060103925, 41.0872210022028]  |218.8604431152343750|      1.00000000|[256, 96, 0, 48]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      25|[14.2337618218598, 33.22160990293661, 43.99879931018457, 41.192334542352356]    |187.4717102050781250|     10.00000000|[266, 100, 0, 50]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      26|[14.2337618218598, 33.22160990293661, 43.99879931018457, 41.192334542352356]    |187.4717102050781250|      1.00000000|[276, 104, 0, 52]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      27|[13.324880000610214, 32.8658687545328, 44.19255292919494, 41.291539408436414]   |159.1665649414062500|     10.00000000|[286, 108, 0, 54]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      28|[13.324880000610214, 32.8658687545328, 44.19255292919494, 41.291539408436414]   |159.1665649414062500|      1.00000000|[297, 112, 0, 56]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      29|[12.410334531887582, 32.5165881581465, 44.36627705497978, 41.39844861639917]    |133.7492828369140625|     10.00000000|[309, 116, 0, 58]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      30|[12.410334531887582, 32.5165881581465, 44.36627705497978, 41.39844861639917]    |133.7492828369140625|      1.00000000|[320, 120, 0, 60]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      31|[11.536664509434459, 32.47678218375936, 44.02897096713419, 41.746788650521225]  |115.1998291015625000|     10.00000000|[332, 124, 0, 62]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      32|[11.536664509434459, 32.47678218375936, 44.02897096713419, 41.746788650521225]  |115.1998291015625000|      1.00000000|[342, 128, 0, 64]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      33|[10.605221990567603, 32.16468359341641, 44.19907282615692, 41.8247287654167]    | 94.3691482543945312|     10.00000000|[352, 132, 0, 66]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      34|[10.605221990567603, 32.16468359341641, 44.19907282615692, 41.8247287654167]    | 94.3691482543945312|      1.00000000|[364, 136, 0, 68]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      35|[9.671305888190062, 31.849862923454715, 44.349764860376006, 41.90206291251697]  | 75.9898300170898438|     10.00000000|[375, 140, 0, 70]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      36|[9.671305888190062, 31.849862923454715, 44.349764860376006, 41.90206291251697]  | 75.9898300170898438|      1.00000000|[386, 144, 0, 72]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      37|[8.7592831671172, 31.585753473121034, 44.5778128884942, 42.11759678772617]      | 60.1594734191894531|     10.00000000|[396, 148, 0, 74]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      38|[8.7592831671172, 31.585753473121034, 44.5778128884942, 42.11759678772617]      | 60.1594734191894531|      1.00000000|[407, 152, 0, 76]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      39|[7.801730915699926, 31.33418403122203, 44.69406772774398, 42.19691459190242]    | 46.2084121704101562|     10.00000000|[418, 156, 0, 78]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      40|[7.801730915699926, 31.33418403122203, 44.69406772774398, 42.19691459190242]    | 46.2084121704101562|      1.00000000|[428, 160, 0, 80]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      41|[7.801730915699926, 31.33418403122203, 44.69406772774398, 42.19691459190242]    | 46.2084121704101562|      0.10000000|[439, 164, 0, 82]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      42|[7.70495054244445, 31.312058340261782, 44.70446735078135, 42.202902996760386]   | 44.9262580871582031|      1.00000000|[450, 168, 0, 84]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      43|[6.736391793250268, 31.090891493937406, 44.80359330650003, 42.259056539384076]  | 33.1930923461914062|     10.00000000|[461, 172, 0, 86]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
