k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404945974|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.124306998867652, 39.08822447368111, 41.03523116145456, 38.903210864614685]  |851.9683837890625000|     10.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[16.389727353823947, 37.127663274716724, 37.241382072912195, 43.58713940729733] |365.3513793945312500|    100.00000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[16.389727353823947, 37.127663274716724, 37.241382072912195, 43.58713940729733] |365.3513793945312500|     10.00000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[9.742565996068688, 32.323526799177046, 42.6836445422112, 45.35272651180789]    | 78.7884750366210938|    100.00000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[9.742565996068688, 32.323526799177046, 42.6836445422112, 45.35272651180789]    | 78.7884750366210938|     10.00000000|[26, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[3.0474318431025322, 32.61061392910013, 50.052388659858735, 46.244000758184114] |  5.0745215415954590|    100.00000000|[31, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[3.0474318431025322, 32.61061392910013, 50.052388659858735, 46.244000758184114] |  5.0745215415954590|     10.00000000|[36, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[3.0474318431025322, 32.61061392910013, 50.052388659858735, 46.244000758184114] |  5.0745215415954590|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[2.435956355083687, 32.42922387212268, 50.13040972134035, 47.01023054665955]    |  2.8970077037811279|     10.00000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[2.435956355083687, 32.42922387212268, 50.13040972134035, 47.01023054665955]    |  2.8970077037811279|      1.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[2.0663450342096734, 32.19564599712366, 49.73619757815218, 46.20188307560784]   |  1.9453701972961426|     10.00000000|[59, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[2.0663450342096734, 32.19564599712366, 49.73619757815218, 46.20188307560784]   |  1.9453701972961426|      1.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[1.2742778265548842, 32.72540679344582, 49.9847153436534, 46.02803843960105]    |  0.5390310287475586|     10.00000000|[70, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[1.2742778265548842, 32.72540679344582, 49.9847153436534, 46.02803843960105]    |  0.5390310287475586|      1.00000000|[76, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.2742778265548842, 32.72540679344582, 49.9847153436534, 46.02803843960105]    |  0.5390310287475586|      0.10000000|[81, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.1854853663194032, 32.680032907546504, 49.97759360806311, 46.02551052229458]  |  0.4311595261096954|      1.00000000|[86, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[0.2908768322758253, 32.680247290402875, 50.25857525685931, 46.37296532208322]  |  0.0231581106781960|     10.00000000|[92, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[0.2908768322758253, 32.680247290402875, 50.25857525685931, 46.37296532208322]  |  0.0231581106781960|      1.00000000|[98, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.2908768322758253, 32.680247290402875, 50.25857525685931, 46.37296532208322]  |  0.0231581106781960|      0.10000000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[0.3306823349693165, 32.76973098716113, 50.24160167041867, 46.38392375870239]   |  0.0156260672956705|      1.00000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
