k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.10000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.1012822715675175, 0.9840372278995588]                                       |10561.7939453125000000|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[-1.1012822715675175, 0.9840372278995588]                                       |10561.7939453125000000|      0.10000000|[18, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-1.004652258655838, 0.9582954213450718]                                        |3950.4221191406250000|      1.00000000|[24, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[-1.004652258655838, 0.9582954213450718]                                        |3950.4221191406250000|      0.10000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.9046652944335554, 0.956680805102129]                                        |1402.7088623046875000|      1.00000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[-0.9046652944335554, 0.956680805102129]                                        |1402.7088623046875000|      0.10000000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.805380036552207, 0.9447460840147236]                                        |453.4805603027343750|      1.00000000|[49, 17, 0, 17]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[-0.805380036552207, 0.9447460840147236]                                        |453.4805603027343750|      0.10000000|[56, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.705903192803321, 0.9345305293180992]                                        |133.4069671630859375|      1.00000000|[61, 22, 0, 22]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      11|[-0.705903192803321, 0.9345305293180992]                                        |133.4069671630859375|      0.10000000|[67, 24, 0, 24]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.6141133602995614, 0.8948489637122444]                                       | 36.7427024841308594|      1.00000000|[73, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      13|[-0.6141133602995614, 0.8948489637122444]                                       | 36.7427024841308594|      0.10000000|[79, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.5142455047092755, 0.8999881679111268]                                       |  8.6392202377319336|      1.00000000|[84, 30, 0, 30]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      15|[-0.5142455047092755, 0.8999881679111268]                                       |  8.6392202377319336|      0.10000000|[91, 33, 0, 33]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[-0.4191623293351865, 0.8690173790806784]                                       |  1.7293621301651001|      1.00000000|[96, 35, 0, 35]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      17|[-0.4191623293351865, 0.8690173790806784]                                       |  1.7293621301651001|      0.10000000|[104, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[-0.320038890884895, 0.8822288873137029]                                        |  0.2724648714065552|      1.00000000|[109, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      19|[-0.320038890884895, 0.8822288873137029]                                        |  0.2724648714065552|      0.10000000|[117, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[-0.2204088429108662, 0.8908226955901711]                                       |  0.0286094304174185|      1.00000000|[122, 45, 0, 45]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      21|[-0.2204088429108662, 0.8908226955901711]                                       |  0.0286094304174185|      0.10000000|[128, 47, 0, 47]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[-0.123840067059272, 0.8648521058678605]                                        |  0.0018482023151591|      1.00000000|[133, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      23|[-0.123840067059272, 0.8648521058678605]                                        |  0.0018482023151591|      0.10000000|[139, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[-0.123840067059272, 0.8648521058678605]                                        |  0.0018482023151591|      0.01000000|[145, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[-0.1138802276060966, 0.8657474259597722]                                       |  0.0013095819158480|      0.10000000|[150, 55, 0, 55]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[-0.1138802276060966, 0.8657474259597722]                                       |  0.0013095819158480|      0.01000000|[158, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
