k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-0.6120001572, 0.57175904776, -1.847081276, 0.01574151594, -0.0127909362, -0.0044008498, -0.0340938396, -0.107513871, 1.1202240291, -3.177064e-07, 5.882e-13, 399.75152639, 0.01597732412, -0.0252244646, -0.0094001416, -0.0085667661, -0.1218804907, 0.7190133075, -3.780477e-07, 9.307e-13, 402.01753386, 0.01484625118, -0.0210628994, -0.001166948, -0.0249509707, -0.1139847055, 0.92166020737, -3.295265e-07, 6.733e-13, 400.40175368, 0.01991666998, -1.22433082, 0.0119988756, -1.411897512, -0.1148065151, 0.44915582738, 5.95875e-08, -2.484e-13, 407.03024568, 0.02082242153, -1.238434791, 0.01389314763, -1.049686225, -0.1299513286, 0.33798380231, 4.5673127e-08, -1.792e-13, 405.91764962, 0.01658816461, -1.247226838, 0.01846788123, -0.8617315756, -0.1321089362, 0.28256800868, 4.7465711e-08, -1.509e-13, 404.73590637]|127387.7641439087601611|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.6120001572, 0.57175904776, -1.847081276, 0.01574151594, -0.0127909362, -0.0044008498, -0.0340938396, -0.107513871, 1.1202240291, -3.177064e-07, 5.882e-13, 399.75152639, 0.01597732412, -0.0252244646, -0.0094001416, -0.0085667661, -0.1218804907, 0.7190133075, -3.780477e-07, 9.307e-13, 402.01753386, 0.01484625118, -0.0210628994, -0.001166948, -0.0249509707, -0.1139847055, 0.92166020737, -3.295265e-07, 6.733e-13, 400.40175368, 0.01991666998, -1.22433082, 0.0119988756, -1.411897512, -0.1148065151, 0.44915582738, 5.95875e-08, -2.484e-13, 407.03024568, 0.02082242153, -1.238434791, 0.01389314763, -1.049686225, -0.1299513286, 0.33798380231, 4.5673127e-08, -1.792e-13, 405.91764962, 0.01658816461, -1.247226838, 0.01846788123, -0.8617315756, -0.1321089362, 0.28256800868, 4.7465711e-08, -1.509e-13, 404.73590637]|127387.7641439087601611|      0.50000000|[264, 35, 0, 5]                                                            |  | trying linear partial model with 58 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 110 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 162 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 213 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
       2|[-0.6120001572, 0.57175904776, -1.847081276, 0.01574151594, -0.0127909362, -0.0044008498, -0.0340938396, -0.107513871, 1.1202240291, -3.177064e-07, 5.882e-13, 399.75152639, 0.01597732412, -0.0252244646, -0.0094001416, -0.0085667661, -0.1218804907, 0.7190133075, -3.780477e-07, 9.307e-13, 402.01753386, 0.01484625118, -0.0210628994, -0.001166948, -0.0249509707, -0.1139847055, 0.92166020737, -3.295265e-07, 6.733e-13, 400.40175368, 0.01991666998, -1.22433082, 0.0119988756, -1.411897512, -0.1148065151, 0.44915582738, 5.95875e-08, -2.484e-13, 407.03024568, 0.02082242153, -1.238434791, 0.01389314763, -1.049686225, -0.1299513286, 0.33798380231, 4.5673127e-08, -1.792e-13, 405.91764962, 0.01658816461, -1.247226838, 0.01846788123, -0.8617315756, -0.1321089362, 0.28256800868, 4.7465711e-08, -1.509e-13, 404.73590637]|127387.7641439087601611|      0.25000000|[525, 70, 0, 10]                                                           |  | trying linear partial model with 58 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 110 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 160 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 211 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
       3|[-0.6120001572, 0.57175904776, -1.847081276, 0.01574151594, -0.0127909362, -0.0044008498, -0.0340938396, -0.107513871, 1.1202240291, -3.177064e-07, 5.882e-13, 399.75152639, 0.01597732412, -0.0252244646, -0.0094001416, -0.0085667661, -0.1218804907, 0.7190133075, -3.780477e-07, 9.307e-13, 402.01753386, 0.01484625118, -0.0210628994, -0.001166948, -0.0249509707, -0.1139847055, 0.92166020737, -3.295265e-07, 6.733e-13, 400.40175368, 0.01991666998, -1.22433082, 0.0119988756, -1.411897512, -0.1148065151, 0.44915582738, 5.95875e-08, -2.484e-13, 407.03024568, 0.02082242153, -1.238434791, 0.01389314763, -1.049686225, -0.1299513286, 0.33798380231, 4.5673127e-08, -1.792e-13, 405.91764962, 0.01658816461, -1.247226838, 0.01846788123, -0.8617315756, -0.1321089362, 0.28256800868, 4.7465711e-08, -1.509e-13, 404.73590637]|127387.7641439087601611|      0.12500000|[784, 105, 0, 15]                                                          |  | trying linear partial model with 58 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 108 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 160 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 210 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
       4|[-0.6120001572, 0.57175904776, -1.847081276, 0.01574151594, -0.0127909362, -0.0044008498, -0.0340938396, -0.107513871, 1.1202240291, -3.177064e-07, 5.882e-13, 399.75152639, 0.01597732412, -0.0252244646, -0.0094001416, -0.0085667661, -0.1218804907, 0.7190133075, -3.780477e-07, 9.307e-13, 402.01753386, 0.01484625118, -0.0210628994, -0.001166948, -0.0249509707, -0.1139847055, 0.92166020737, -3.295265e-07, 6.733e-13, 400.40175368, 0.01991666998, -1.22433082, 0.0119988756, -1.411897512, -0.1148065151, 0.44915582738, 5.95875e-08, -2.484e-13, 407.03024568, 0.02082242153, -1.238434791, 0.01389314763, -1.049686225, -0.1299513286, 0.33798380231, 4.5673127e-08, -1.792e-13, 405.91764962, 0.01658816461, -1.247226838, 0.01846788123, -0.8617315756, -0.1321089362, 0.28256800868, 4.7465711e-08, -1.509e-13, 404.73590637]|127387.7641439087601611|      0.06250000|[1043, 140, 0, 20]                                                         |  | trying linear partial model with 58 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 108 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 159 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 210 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
       5|[-0.6028240549374219, 0.5896084910552892, -1.8510977882476167, 0.0143548630708141, -0.0162324871971499, -0.0056807453305242, -0.0354304817013256, -0.1080396511212107, 1.1178022987043974, -0.0001431455020871, 0.0004404098197216, 399.7517679445037, 0.0155372065556942, -0.02367648895512, -0.0103275017408945, -0.0087544875247342, -0.1231350609428317, 0.7205963636431516, 5.57098233971e-05, 0.000182694439311, 402.0178564102611, 0.0130984252241593, -0.0221815700009282, -0.000345303054169, -0.0246396085172848, -0.1140568286348856, 0.9205926274840833, -0.0014525863183695, 1.7773373803e-05, 400.40210871109224, 0.047721526937616, -1.2153395141219265, 0.001206681308617, -1.4106532467050512, -0.0905575945396077, 0.4528974747061021, -0.0001557902830688, 0.0003338503154679, 407.03100377461783, 0.0424594138721086, -1.2299595770579954, 0.0037936901913428, -1.0501306231746839, -0.1098191391961102, 0.3394804585995468, 0.0004772563613173, -0.0009940680705055, 405.91827240856713, 0.0348260863172514, -1.2392795217376271, 0.0084888906080246, -0.8606987295662136, -0.1141141293538669, 0.2836011658434455, -3.45552889052e-05, 0.000453600964222, 404.7359093379746]|91688.8359375000000000|      0.12500000|[1252, 168, 0, 24]                                                         |  | trying linear partial model with 58 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 109 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 160 points | iterate success | actual_k=7
       6|[-0.6028240549374219, 0.5896084910552892, -1.8510977882476167, 0.0143548630708141, -0.0162324871971499, -0.0056807453305242, -0.0354304817013256, -0.1080396511212107, 1.1178022987043974, -0.0001431455020871, 0.0004404098197216, 399.7517679445037, 0.0155372065556942, -0.02367648895512, -0.0103275017408945, -0.0087544875247342, -0.1231350609428317, 0.7205963636431516, 5.57098233971e-05, 0.000182694439311, 402.0178564102611, 0.0130984252241593, -0.0221815700009282, -0.000345303054169, -0.0246396085172848, -0.1140568286348856, 0.9205926274840833, -0.0014525863183695, 1.7773373803e-05, 400.40210871109224, 0.047721526937616, -1.2153395141219265, 0.001206681308617, -1.4106532467050512, -0.0905575945396077, 0.4528974747061021, -0.0001557902830688, 0.0003338503154679, 407.03100377461783, 0.0424594138721086, -1.2299595770579954, 0.0037936901913428, -1.0501306231746839, -0.1098191391961102, 0.3394804585995468, 0.0004772563613173, -0.0009940680705055, 405.91827240856713, 0.0348260863172514, -1.2392795217376271, 0.0084888906080246, -0.8606987295662136, -0.1141141293538669, 0.2836011658434455, -3.45552889052e-05, 0.000453600964222, 404.7359093379746]|91688.8359375000000000|      0.06250000|[1512, 203, 0, 29]                                                         |  | trying linear partial model with 58 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 110 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 160 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 211 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
       7|[-0.5947806968751765, 0.5989345814610352, -1.8488641894900448, 0.0111734919751679, -0.0222374646203221, -0.0129467826071525, -0.0379531583938182, -0.1157749801543044, 1.10967217458122, 0.0096440476255318, 0.0039562177235206, 399.75210078019325, 0.0064256111254376, -0.0254431930349925, -0.003264650920281, -0.0031402159313058, -0.127209837541865, 0.716682329565142, 0.0009440412679533, 0.0024456769747307, 402.0169104370047, 0.0101147987578227, -0.0246516682627585, 0.0031339637193745, -0.0197141592348039, -0.1132542211000029, 0.9250613220701589, -0.0012411443722909, 0.0005198503231847, 400.3995959815628, 0.0677909837385727, -1.2097002177519292, -0.0165197979155876, -1.402397025270767, -0.0737166860364285, 0.4585020585224854, 0.0013021781935955, -0.0017578470878858, 407.0259510988258, 0.0594437527131075, -1.223826451987498, -0.0044130060807099, -1.0562050452193765, -0.0881916202572376, 0.3447559281338819, 0.0017200110765066, 0.0022208207925434, 405.92918842823246, 0.0530950071154919, -1.237838295846775, -0.003550838157488, -0.8611309137141637, -0.095414819680948, 0.2858634692883452, -0.0025326638532392, 0.0039064325605331, 404.74300034728134]|65072.6328125000000000|      0.12500000|[1620, 217, 0, 31]                                                         |  | trying linear partial model with 58 points | iterate success | actual_k=7
       8|[-0.5947806968751765, 0.5989345814610352, -1.8488641894900448, 0.0111734919751679, -0.0222374646203221, -0.0129467826071525, -0.0379531583938182, -0.1157749801543044, 1.10967217458122, 0.0096440476255318, 0.0039562177235206, 399.75210078019325, 0.0064256111254376, -0.0254431930349925, -0.003264650920281, -0.0031402159313058, -0.127209837541865, 0.716682329565142, 0.0009440412679533, 0.0024456769747307, 402.0169104370047, 0.0101147987578227, -0.0246516682627585, 0.0031339637193745, -0.0197141592348039, -0.1132542211000029, 0.9250613220701589, -0.0012411443722909, 0.0005198503231847, 400.3995959815628, 0.0677909837385727, -1.2097002177519292, -0.0165197979155876, -1.402397025270767, -0.0737166860364285, 0.4585020585224854, 0.0013021781935955, -0.0017578470878858, 407.0259510988258, 0.0594437527131075, -1.223826451987498, -0.0044130060807099, -1.0562050452193765, -0.0881916202572376, 0.3447559281338819, 0.0017200110765066, 0.0022208207925434, 405.92918842823246, 0.0530950071154919, -1.237838295846775, -0.003550838157488, -0.8611309137141637, -0.095414819680948, 0.2858634692883452, -0.0025326638532392, 0.0039064325605331, 404.74300034728134]|65072.6328125000000000|      0.06250000|[1879, 252, 0, 36]                                                         |  | trying linear partial model with 58 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 109 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 160 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 210 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
       9|[-0.5838005499115223, 0.6127953952330353, -1.8484374839970676, 0.0050473765169093, -0.0193622156684897, -0.0092434979453424, -0.0393203425958806, -0.1162843803764317, 1.1082434918336548, 0.0084503282905404, 0.0018098765207607, 399.75383800056943, 0.0050904423816031, -0.0245558011958759, -0.0023573098623071, -0.0043851954561572, -0.1282345185339395, 0.7156295097893707, 0.0005153967959735, 0.0027606518894798, 402.01764702183465, 0.0075826973805815, -0.0228475990082929, 0.0062357134210204, -0.0197013027802209, -0.1149675668849329, 0.9245382820102679, -0.0022545267738696, 0.0002971146745781, 400.39933509240245, 0.0961572380935095, -1.205085346919167, -0.0304015944305817, -1.4024077963639252, -0.0526483540981943, 0.4660886699275117, 0.0015595673136873, -0.0015792510138044, 407.0238929673548, 0.0821401365888848, -1.220302951335946, -0.0165075415656092, -1.0564206812788357, -0.0695325966046945, 0.3510493258595076, 0.0014963716978921, 0.0024504100025356, 405.92847414874666, 0.072383751392928, -1.2317058216095313, -0.0156487417348086, -0.8616177849517084, -0.0775511799764411, 0.2908045212881967, -0.0020985264235649, 0.0046551281473241, 404.74162317255355]|38643.7421875000000000|      0.12500000|[2087, 280, 0, 40]                                                         |  | trying linear partial model with 58 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 108 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 158 points | iterate success | actual_k=7
      10|[-0.5838005499115223, 0.6127953952330353, -1.8484374839970676, 0.0050473765169093, -0.0193622156684897, -0.0092434979453424, -0.0393203425958806, -0.1162843803764317, 1.1082434918336548, 0.0084503282905404, 0.0018098765207607, 399.75383800056943, 0.0050904423816031, -0.0245558011958759, -0.0023573098623071, -0.0043851954561572, -0.1282345185339395, 0.7156295097893707, 0.0005153967959735, 0.0027606518894798, 402.01764702183465, 0.0075826973805815, -0.0228475990082929, 0.0062357134210204, -0.0197013027802209, -0.1149675668849329, 0.9245382820102679, -0.0022545267738696, 0.0002971146745781, 400.39933509240245, 0.0961572380935095, -1.205085346919167, -0.0304015944305817, -1.4024077963639252, -0.0526483540981943, 0.4660886699275117, 0.0015595673136873, -0.0015792510138044, 407.0238929673548, 0.0821401365888848, -1.220302951335946, -0.0165075415656092, -1.0564206812788357, -0.0695325966046945, 0.3510493258595076, 0.0014963716978921, 0.0024504100025356, 405.92847414874666, 0.072383751392928, -1.2317058216095313, -0.0156487417348086, -0.8616177849517084, -0.0775511799764411, 0.2908045212881967, -0.0020985264235649, 0.0046551281473241, 404.74162317255355]|38643.7421875000000000|      0.06250000|[2350, 315, 0, 45]                                                         |  | trying linear partial model with 58 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 109 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 161 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 212 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
