k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7503748359903852|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.530218063484071, 0.7952683554427464, 5.253291017953994, 5.197970746852507, 6.362115094741397, 7.875064317074434]|189.0641174316406250|      2.00000000|[14, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       2|[0.2882056777976344, 1.3543859176166435, 4.224605171314183, 6.43411831608684, 5.341423718076614, 7.847654712111742]| 95.9713592529296875|      4.00000000|[28, 4, 0, 4]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       3|[0.2882056777976344, 1.3543859176166435, 4.224605171314183, 6.43411831608684, 5.341423718076614, 7.847654712111742]| 95.9713592529296875|      2.00000000|[42, 6, 0, 6]                                                              |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-0.4767490764996115, 1.6132753674719906, 3.0822248012510043, 6.603752197918708, 3.955608419810696, 8.153477981260359]| 25.5575695037841797|      4.00000000|[55, 8, 0, 8]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       5|[-0.4767490764996115, 1.6132753674719906, 3.0822248012510043, 6.603752197918708, 3.955608419810696, 8.153477981260359]| 25.5575695037841797|      2.00000000|[68, 10, 0, 10]                                                            |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       6|[-0.4767490764996115, 1.6132753674719906, 3.0822248012510043, 6.603752197918708, 3.955608419810696, 8.153477981260359]| 25.5575695037841797|      1.00000000|[81, 12, 0, 12]                                                            |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.8574714899432095, 1.526583280113858, 2.442170925374846, 6.5118016402556504, 3.303718296198274, 8.086767235880682]| 11.7939195632934570|      2.00000000|[94, 14, 0, 14]                                                            |  | trying linear partial model with 8 points | iterate success | actual_k=1
       8|[-0.8574714899432095, 1.526583280113858, 2.442170925374846, 6.5118016402556504, 3.303718296198274, 8.086767235880682]| 11.7939195632934570|      1.00000000|[108, 16, 0, 16]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       9|[-0.8574714899432095, 1.526583280113858, 2.442170925374846, 6.5118016402556504, 3.303718296198274, 8.086767235880682]| 11.7939195632934570|      0.50000000|[121, 18, 0, 18]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      10|[-0.7739285576618223, 1.3495525461406057, 2.004177771298716, 6.429010753880637, 3.1996972518424918, 8.040205597791648]|  9.5715703964233398|      1.00000000|[134, 20, 0, 20]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      11|[-0.7739285576618223, 1.3495525461406057, 2.004177771298716, 6.429010753880637, 3.1996972518424918, 8.040205597791648]|  9.5715703964233398|      0.50000000|[148, 22, 0, 22]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
