k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.20000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.04000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-1.1608073253667364, 0.9920041101126181]                                       |18517.6992187500000000|      0.20000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[-1.1608073253667364, 0.9920041101126181]                                       |18517.6992187500000000|      0.04000000|[28, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-1.1218567365834817, 0.9829018228485403]                                       |12754.7021484375000000|      0.20000000|[33, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       6|[-1.1218567365834817, 0.9829018228485403]                                       |12754.7021484375000000|      0.04000000|[39, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-1.083410017928745, 0.971863262041827]                                         |8714.7148437500000000|      0.20000000|[45, 16, 0, 16]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       8|[-1.083410017928745, 0.971863262041827]                                         |8714.7148437500000000|      0.04000000|[51, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-1.0440045708934553, 0.9649922545502738]                                       |5894.6166992187500000|      0.20000000|[56, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      10|[-1.0440045708934553, 0.9649922545502738]                                       |5894.6166992187500000|      0.04000000|[64, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-1.0046287460320962, 0.9579534750759922]                                       |3946.7619628906250000|      0.20000000|[69, 25, 0, 25]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      12|[-0.8069527820209941, 0.9275525992287165]                                       |446.1387634277343750|      1.00000000|[77, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      13|[0.1380686519645787, 1.254560992558081]                                         |  0.0022860371973366|      5.00000000|[84, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      14|[0.1380686519645787, 1.254560992558081]                                         |  0.0022860371973366|      1.00000000|[91, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.1380686519645787, 1.254560992558081]                                         |  0.0022860371973366|      0.20000000|[98, 37, 0, 37]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.1380686519645787, 1.254560992558081]                                         |  0.0022860371973366|      0.04000000|[105, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.1380686519645787, 1.254560992558081]                                         |  0.0022860371973366|      0.00800000|[113, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      18|[0.1380686519645787, 1.254560992558081]                                         |  0.0022860371973366|      0.00160000|[120, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.1367068764836279, 1.2537210118800406]                                        |  0.0022316279355437|      0.00800000|[125, 48, 0, 48]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      20|[0.1367068764836279, 1.2537210118800406]                                        |  0.0022316279355437|      0.00160000|[133, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      21|[0.1353401295656495, 1.2528891447859707]                                        |  0.0021779288072139|      0.00800000|[139, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      22|[0.1353401295656495, 1.2528891447859707]                                        |  0.0021779288072139|      0.00160000|[146, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      23|[0.133969903163606, 1.2520630215462885]                                         |  0.0021249381825328|      0.00800000|[152, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      24|[0.133969903163606, 1.2520630215462885]                                         |  0.0021249381825328|      0.00160000|[160, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      25|[0.1325923710660706, 1.2512491386798639]                                        |  0.0020726528018713|      0.00800000|[166, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[0.1325923710660706, 1.2512491386798639]                                        |  0.0020726528018713|      0.00160000|[172, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[0.13120903554796, 1.2504451592993235]                                          |  0.0020210701040924|      0.00800000|[178, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      28|[0.13120903554796, 1.2504451592993235]                                          |  0.0020210701040924|      0.00160000|[184, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[0.1298242245986407, 1.24964372394033]                                          |  0.0019701884593815|      0.00800000|[189, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      30|[0.1298242245986407, 1.24964372394033]                                          |  0.0019701884593815|      0.00160000|[196, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      31|[0.1284338910915351, 1.2488519078385616]                                        |  0.0019200058886781|      0.00800000|[201, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      32|[0.1284338910915351, 1.2488519078385616]                                        |  0.0019200058886781|      0.00160000|[209, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.1270408241518212, 1.248064910696587]                                         |  0.0018705206457525|      0.00800000|[214, 81, 0, 81]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      34|[0.1270408241518212, 1.248064910696587]                                         |  0.0018705206457525|      0.00160000|[221, 84, 0, 84]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.1256452507513902, 1.2472823668422188]                                        |  0.0018217315664515|      0.00800000|[226, 86, 0, 86]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      36|[0.1256452507513902, 1.2472823668422188]                                        |  0.0018217315664515|      0.00160000|[232, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.124245914646074, 1.2465065714669048]                                         |  0.0017736367881298|      0.00800000|[238, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      38|[0.124245914646074, 1.2465065714669048]                                         |  0.0017736367881298|      0.00160000|[245, 93, 0, 93]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      39|[0.1228413001024052, 1.245740374374954]                                         |  0.0017262338660657|      0.00800000|[250, 95, 0, 95]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      40|[0.1228413001024052, 1.245740374374954]                                         |  0.0017262338660657|      0.00160000|[258, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.1214316727865579, 1.2449834392189352]                                        |  0.0016795210540295|      0.00800000|[264, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      42|[0.1214316727865579, 1.2449834392189352]                                        |  0.0016795210540295|      0.00160000|[270, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.1200203090455892, 1.2442297467148735]                                        |  0.0016334973042831|      0.00800000|[275, 104, 0, 104]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      44|[0.1200203090455892, 1.2442297467148735]                                        |  0.0016334973042831|      0.00160000|[282, 107, 0, 107]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      45|[0.1185999706302948, 1.2434931065136632]                                        |  0.0015881594736129|      0.00800000|[288, 109, 0, 109]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      46|[0.1185999706302948, 1.2434931065136632]                                        |  0.0015881594736129|      0.00160000|[294, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[0.1171803534417505, 1.2427550773557097]                                        |  0.0015435068635270|      0.00800000|[300, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
