k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      0.50000000|[46, 14, 0, 2]                                                             |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      0.25000000|[91, 28, 0, 4]                                                             |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      0.12500000|[136, 42, 0, 6]                                                            |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      0.06250000|[181, 56, 0, 8]                                                            |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      0.03125000|[227, 70, 0, 10]                                                           |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
       6|[0.0180667417613929, -0.0003918044579712, 0.0012685455585074, 0.0191161266966952, -0.0069995931800228, -0.0060436421683366, -0.004886835501224, -0.0029956886619223, 0.003219094019675, -0.0018982482772858, -0.0042431256168054, 0.0029504220400711, 0.000858848286292, -0.0036031772760941, 0.0003389964133736, -0.0013343649970127, 0.0001949603457282, -0.0061564816873029, 0.0039876561293663, -0.0036127726229809, 0.0025690897306617, 0.0058996692583646]| 14.9398698806762695|      0.06250000|[271, 84, 0, 12]                                                           |  | trying linear partial model with 26 points | iterate success | actual_k=7
       7|[0.0180667417613929, -0.0003918044579712, 0.0012685455585074, 0.0191161266966952, -0.0069995931800228, -0.0060436421683366, -0.004886835501224, -0.0029956886619223, 0.003219094019675, -0.0018982482772858, -0.0042431256168054, 0.0029504220400711, 0.000858848286292, -0.0036031772760941, 0.0003389964133736, -0.0013343649970127, 0.0001949603457282, -0.0061564816873029, 0.0039876561293663, -0.0036127726229809, 0.0025690897306617, 0.0058996692583646]| 14.9398698806762695|      0.03125000|[316, 98, 0, 14]                                                           |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
       8|[0.0340438877505573, 0.0032321908226031, 0.0020839414467303, 0.0420129456500095, -0.0081000633049153, -0.0056666304997546, -0.0012431575534094, 6.45376190789e-05, 0.0019713468529431, -0.0035525497701745, -0.0048809836713818, 0.0048894861345221, -0.0026280771901276, -0.0001249920946151, -0.0046799472812504, 0.0015083892997757, 0.0078148745377599, -0.0090625287774119, 0.0062759703118753, 0.0004850812436425, 0.0045635458289251, 0.006756113126707]| 14.8762292861938477|      0.06250000|[363, 112, 0, 16]                                                          |  | trying linear partial model with 26 points | iterate success | actual_k=7
       9|[0.0340438877505573, 0.0032321908226031, 0.0020839414467303, 0.0420129456500095, -0.0081000633049153, -0.0056666304997546, -0.0012431575534094, 6.45376190789e-05, 0.0019713468529431, -0.0035525497701745, -0.0048809836713818, 0.0048894861345221, -0.0026280771901276, -0.0001249920946151, -0.0046799472812504, 0.0015083892997757, 0.0078148745377599, -0.0090625287774119, 0.0062759703118753, 0.0004850812436425, 0.0045635458289251, 0.006756113126707]| 14.8762292861938477|      0.03125000|[408, 126, 0, 18]                                                          |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
      10|[0.0534274065061852, 0.0025275153306703, 0.0063695940595345, 0.063028373253799, -0.0054206092614893, -0.0080497559341924, 0.0035777561285215, 0.0009573075745881, -0.0024006594247341, -0.004252231183182, -0.0056116014654274, 0.0051345254567327, -0.0006933494717229, -0.0055179975985353, -0.0047814751284686, 0.0004650034507215, 0.004729940456442, -0.0034889863107508, 0.0070458523407712, 0.0004525958662215, 0.0069165333502757, 0.0051445577875372]| 14.8114061355590820|      0.06250000|[452, 140, 0, 20]                                                          |  | trying linear partial model with 26 points | iterate success | actual_k=7
      11|[0.0534274065061852, 0.0025275153306703, 0.0063695940595345, 0.063028373253799, -0.0054206092614893, -0.0080497559341924, 0.0035777561285215, 0.0009573075745881, -0.0024006594247341, -0.004252231183182, -0.0056116014654274, 0.0051345254567327, -0.0006933494717229, -0.0055179975985353, -0.0047814751284686, 0.0004650034507215, 0.004729940456442, -0.0034889863107508, 0.0070458523407712, 0.0004525958662215, 0.0069165333502757, 0.0051445577875372]| 14.8114061355590820|      0.03125000|[497, 154, 0, 22]                                                          |  | trying linear partial model with 26 points | exploitation failed, decreasing delta | actual_k=7
