k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404945974|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.12392153236741, 39.089878825573976, 41.03594372036253, 38.90481552336117]   |851.9668579101562500|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[22.58320336780047, 38.707745800233546, 40.29466285550066, 39.86952510023251]   |735.5432128906250000|      4.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[21.756463918373026, 35.42060214466114, 39.494235611509005, 37.90216527105372]  |611.6545410156250000|      8.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[16.299237081650922, 31.345117484419898, 43.626217226450805, 38.63416798312614] |234.0475158691406250|     16.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[16.299237081650922, 31.345117484419898, 43.626217226450805, 38.63416798312614] |234.0475158691406250|      8.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[10.994878487505076, 31.492579064324143, 49.57266773155216, 39.32825830689034]  | 87.5516357421875000|     16.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[10.994878487505076, 31.492579064324143, 49.57266773155216, 39.32825830689034]  | 87.5516357421875000|      8.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[10.994878487505076, 31.492579064324143, 49.57266773155216, 39.32825830689034]  | 87.5516357421875000|      4.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[8.553105203001175, 30.590818563909203, 49.60177965972932, 42.3653167064955]    | 46.4611740112304688|      8.00000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[8.553105203001175, 30.590818563909203, 49.60177965972932, 42.3653167064955]    | 46.4611740112304688|      4.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[8.553105203001175, 30.590818563909203, 49.60177965972932, 42.3653167064955]    | 46.4611740112304688|      2.00000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[7.314512748541185, 29.998818560626248, 50.29339537225583, 41.08582757639153]   | 32.1549301147460938|      4.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[7.314512748541185, 29.998818560626248, 50.29339537225583, 41.08582757639153]   | 32.1549301147460938|      2.00000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[5.740650029269241, 28.87391198607975, 50.72937819485342, 41.345558817923674]   | 17.3895149230957031|      4.00000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[5.740650029269241, 28.87391198607975, 50.72937819485342, 41.345558817923674]   | 17.3895149230957031|      2.00000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[3.965460123208405, 27.96575109275612, 50.57480958744004, 41.33826945172132]    |  7.1805934906005859|      4.00000000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      17|[3.965460123208405, 27.96575109275612, 50.57480958744004, 41.33826945172132]    |  7.1805934906005859|      2.00000000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      18|[3.965460123208405, 27.96575109275612, 50.57480958744004, 41.33826945172132]    |  7.1805934906005859|      1.00000000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      19|[3.1111415068805273, 27.50794303115591, 50.610686087503886, 41.09482673305294]  |  3.9563157558441162|      2.00000000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      20|[3.1111415068805273, 27.50794303115591, 50.610686087503886, 41.09482673305294]  |  3.9563157558441162|      1.00000000|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
