k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.195816180345798, 38.5175504612019, 41.80072948234171, 39.173472202875175]   |810.4383544921875000|      1.11111111|[12, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
       2|[23.29530524280509, 37.983792410305334, 42.12169374382829, 39.36250193216554]   |721.3671264648437500|      1.23456790|[22, 8, 0, 4]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
       3|[22.29812292435161, 37.38820935576525, 42.47876351010869, 39.58060129868372]    |631.3181152343750000|      1.37174211|[33, 12, 0, 6]                                                             |  | trying linear partial model with 7 points | iterate success | actual_k=2
       4|[21.14536214062527, 36.76098895879632, 42.81689627626548, 39.79292135129027]    |541.3350830078125000|      1.52415790|[44, 16, 0, 8]                                                             |  | trying linear partial model with 7 points | iterate success | actual_k=2
       5|[19.862763242424272, 36.04785699873001, 43.16341169406855, 40.0151087758494]    |452.7648620605468750|      1.69350878|[55, 20, 0, 10]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       6|[18.423663731923412, 35.31304617614061, 43.580556980809156, 40.30321891871877]  |367.1248168945312500|      1.88167642|[65, 24, 0, 12]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       7|[16.825346347732665, 34.466047154848575, 44.04209608710451, 40.53914689958628]  |286.1752319335937500|      2.09075158|[75, 28, 0, 14]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       8|[14.97610447506555, 33.63025915880225, 44.46159867473767, 40.816676493802]      |211.5314178466796875|      2.32305731|[85, 32, 0, 16]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       9|[12.897807841190154, 32.782779210371245, 44.986298106988436, 41.10606657963701] |145.2074279785156250|      2.58117479|[96, 36, 0, 18]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
      10|[10.505927524583937, 31.90449766837241, 45.349348684585834, 41.30148323066181]  | 88.8895034790039062|      2.86797199|[106, 40, 0, 20]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      11|[7.809556621520032, 31.045591442571443, 45.75505233211157, 41.530681700868186]  | 44.5836296081542969|      3.18663555|[116, 44, 0, 22]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      12|[4.758537841769559, 30.25075337564906, 45.92717096590781, 41.96026071293638]    | 14.4109153747558594|      3.54070616|[126, 48, 0, 24]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      13|[4.758537841769559, 30.25075337564906, 45.92717096590781, 41.96026071293638]    | 14.4109153747558594|      3.18663555|[136, 52, 0, 26]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[1.6177060788426076, 30.093244575027036, 46.434155326153956, 42.04959028200471] |  1.0575422048568726|      3.54070616|[146, 56, 0, 28]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      15|[1.6177060788426076, 30.093244575027036, 46.434155326153956, 42.04959028200471] |  1.0575422048568726|      3.18663555|[158, 60, 0, 30]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      16|[1.6177060788426076, 30.093244575027036, 46.434155326153956, 42.04959028200471] |  1.0575422048568726|      2.86797199|[168, 64, 0, 32]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      17|[1.6177060788426076, 30.093244575027036, 46.434155326153956, 42.04959028200471] |  1.0575422048568726|      2.58117479|[178, 68, 0, 34]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      18|[1.6177060788426076, 30.093244575027036, 46.434155326153956, 42.04959028200471] |  1.0575422048568726|      2.32305731|[189, 72, 0, 36]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      19|[1.6177060788426076, 30.093244575027036, 46.434155326153956, 42.04959028200471] |  1.0575422048568726|      2.09075158|[199, 76, 0, 38]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      20|[1.6177060788426076, 30.093244575027036, 46.434155326153956, 42.04959028200471] |  1.0575422048568726|      1.88167642|[211, 80, 0, 40]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      21|[1.6177060788426076, 30.093244575027036, 46.434155326153956, 42.04959028200471] |  1.0575422048568726|      1.69350878|[222, 84, 0, 42]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      22|[1.6177060788426076, 30.093244575027036, 46.434155326153956, 42.04959028200471] |  1.0575422048568726|      1.52415790|[233, 88, 0, 44]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      23|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      1.69350878|[245, 92, 0, 46]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      24|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      1.52415790|[256, 96, 0, 48]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      25|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      1.37174211|[266, 100, 0, 50]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      26|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      1.23456790|[276, 104, 0, 52]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      27|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      1.11111111|[286, 108, 0, 54]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      28|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      1.00000000|[297, 112, 0, 56]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      29|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.90000000|[309, 116, 0, 58]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      30|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.81000000|[320, 120, 0, 60]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      31|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.72900000|[332, 124, 0, 62]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      32|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.65610000|[342, 128, 0, 64]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      33|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.59049000|[352, 132, 0, 66]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      34|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.53144100|[364, 136, 0, 68]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      35|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.47829690|[375, 140, 0, 70]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      36|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.43046721|[386, 144, 0, 72]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      37|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.38742049|[396, 148, 0, 74]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      38|[0.4490581351161391, 30.147046591047232, 45.50967148382701, 42.365429267113186] |  0.0079972567036748|      0.34867844|[407, 152, 0, 76]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
