k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.094880945164671, -0.9829609205760432, -0.1574339063383633]                  |1375.1679687500000000|     10.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[-1.094880945164671, -0.9829609205760432, -0.1574339063383633]                  |1375.1679687500000000|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-0.675487819169128, -1.652524163396845, -0.770454680644568]                    |613.1546020507812500|     10.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[-0.675487819169128, -1.652524163396845, -0.770454680644568]                    |613.1546020507812500|      1.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.1071467196679939, -0.8748788587951183, -0.501649593548491]                  |482.2767028808593750|     10.00000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[-0.1071467196679939, -0.8748788587951183, -0.501649593548491]                  |482.2767028808593750|      1.00000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.5259336455441459, -1.4609292250956791, -1.1953083561069848]                 |375.9541931152343750|     10.00000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[-0.5259336455441459, -1.4609292250956791, -1.1953083561069848]                 |375.9541931152343750|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.5259336455441459, -1.4609292250956791, -1.1953083561069848]                 |375.9541931152343750|      0.10000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.4807630550610836, -1.4882424789820277, -1.2802412938729149]                 |328.2719726562500000|      1.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[-0.2948456904338932, -1.1274363333462576, -2.1941634233793295]                 | 58.3767051696777344|     10.00000000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[-0.2948456904338932, -1.1274363333462576, -2.1941634233793295]                 | 58.3767051696777344|      1.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[-0.2948456904338932, -1.1274363333462576, -2.1941634233793295]                 | 58.3767051696777344|      0.10000000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.2078188906214772, -1.1269687251737746, -2.24341905713839]                   | 37.0638084411621094|      1.00000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[-0.2078188906214772, -1.1269687251737746, -2.24341905713839]                   | 37.0638084411621094|      0.10000000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
