k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[2.6368434568986876, 0.1625939671964725, -7.530066732340867]                    |  7.9876027107238770|      4.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[2.6368434568986876, 0.1625939671964725, -7.530066732340867]                    |  7.9876027107238770|      2.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[2.6368434568986876, 0.1625939671964725, -7.530066732340867]                    |  7.9876027107238770|      1.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[2.6368434568986876, 0.1625939671964725, -7.530066732340867]                    |  7.9876027107238770|      0.50000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[2.6368434568986876, 0.1625939671964725, -7.530066732340867]                    |  7.9876027107238770|      0.25000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[2.6368434568986876, 0.1625939671964725, -7.530066732340867]                    |  7.9876027107238770|      0.12500000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[2.6368434568986876, 0.1625939671964725, -7.530066732340867]                    |  7.9876027107238770|      0.06250000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[2.574557523759209, 0.1673024181988205, -7.5321981689697335]                    |  7.6654148101806641|      0.12500000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[2.574557523759209, 0.1673024181988205, -7.5321981689697335]                    |  7.6654148101806641|      0.06250000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[2.5457232348302545, 0.1118515786752894, -7.532393561132279]                    |  7.4951019287109375|      0.12500000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[2.5457232348302545, 0.1118515786752894, -7.532393561132279]                    |  7.4951019287109375|      0.06250000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[2.485719619429381, 0.1116442094048, -7.514907191102747]                        |  7.1931157112121582|      0.12500000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[2.485719619429381, 0.1116442094048, -7.514907191102747]                        |  7.1931157112121582|      0.06250000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[2.485719619429381, 0.1116442094048, -7.514907191102747]                        |  7.1931157112121582|      0.03125000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[2.4572844539651415, 0.1085136898049205, -7.527485096813003]                    |  7.0516405105590820|      0.06250000|[85, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[2.398073636201272, 0.1259208511474778, -7.517620017303543]                     |  6.7697710990905762|      0.12500000|[91, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
