k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.20000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.001924988153568, 0.9723180621697871]                                        |3954.3686523437500000|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[-1.001924988153568, 0.9723180621697871]                                        |3954.3686523437500000|      0.20000000|[18, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-0.8105156263912863, 0.9143313720611422]                                       |452.4665832519531250|      1.00000000|[24, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[-0.8105156263912863, 0.9143313720611422]                                       |452.4665832519531250|      0.20000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.611436798101961, 0.9335047944721098]                                        | 38.0933227539062500|      1.00000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[-0.611436798101961, 0.9335047944721098]                                        | 38.0933227539062500|      0.20000000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.4128059685401553, 0.910142569672471]                                        |  1.6411554813385010|      1.00000000|[49, 17, 0, 17]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[-0.4128059685401553, 0.910142569672471]                                        |  1.6411554813385010|      0.20000000|[56, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.2146606279469656, 0.882968611528526]                                        |  0.0248424038290977|      1.00000000|[61, 22, 0, 22]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      11|[-0.2146606279469656, 0.882968611528526]                                        |  0.0248424038290977|      0.20000000|[67, 24, 0, 24]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[-0.2146606279469656, 0.882968611528526]                                        |  0.0248424038290977|      0.04000000|[73, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[-0.174890951202702, 0.8786822597397919]                                        |  0.0085734436288476|      0.20000000|[79, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      14|[-0.174890951202702, 0.8786822597397919]                                        |  0.0085734436288476|      0.04000000|[86, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      15|[-0.174890951202702, 0.8786822597397919]                                        |  0.0085734436288476|      0.00800000|[93, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      16|[-0.1668923782182826, 0.8788333564403393]                                       |  0.0068118763156235|      0.04000000|[98, 36, 0, 36]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      17|[-0.1668923782182826, 0.8788333564403393]                                       |  0.0068118763156235|      0.00800000|[104, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[-0.158923101363234, 0.8795338037314223]                                        |  0.0053781550377607|      0.04000000|[109, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      19|[-0.158923101363234, 0.8795338037314223]                                        |  0.0053781550377607|      0.00800000|[117, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      20|[-0.1509494443918406, 0.8801824904836758]                                       |  0.0042175203561783|      0.04000000|[122, 45, 0, 45]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      21|[-0.1509494443918406, 0.8801824904836758]                                       |  0.0042175203561783|      0.00800000|[128, 47, 0, 47]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[-0.1429575195299762, 0.8805418468559778]                                       |  0.0032839316409081|      0.04000000|[133, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      23|[-0.1429575195299762, 0.8805418468559778]                                       |  0.0032839316409081|      0.00800000|[139, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[-0.1349887004856876, 0.8812474834759054]                                       |  0.0025362335145473|      0.04000000|[145, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      25|[-0.1349887004856876, 0.8812474834759054]                                       |  0.0025362335145473|      0.00800000|[152, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      26|[-0.1270315185996815, 0.8820740767453052]                                       |  0.0019415338756517|      0.04000000|[158, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      27|[-0.1270315185996815, 0.8820740767453052]                                       |  0.0019415338756517|      0.00800000|[166, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      28|[-0.1270315185996815, 0.8820740767453052]                                       |  0.0019415338756517|      0.00160000|[172, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[-0.1254400463178788, 0.8822390493983526]                                       |  0.0018383943242952|      0.00800000|[178, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      30|[-0.1254400463178788, 0.8822390493983526]                                       |  0.0018383943242952|      0.00160000|[184, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      31|[-0.1238506610015677, 0.8824230448230094]                                       |  0.0017400411888957|      0.00800000|[190, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      32|[-0.1238506610015677, 0.8824230448230094]                                       |  0.0017400411888957|      0.00160000|[197, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      33|[-0.1222593740818547, 0.8825897959523916]                                       |  0.0016462695784867|      0.00800000|[202, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      34|[-0.1222593740818547, 0.8825897959523916]                                       |  0.0016462695784867|      0.00160000|[210, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      35|[-0.1206691093676669, 0.8827660291467946]                                       |  0.0015568990493193|      0.00800000|[216, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      36|[-0.1206691093676669, 0.8827660291467946]                                       |  0.0015568990493193|      0.00160000|[223, 82, 0, 82]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      37|[-0.1190797488338495, 0.8829502385209954]                                       |  0.0014717499725521|      0.00800000|[228, 84, 0, 84]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      38|[-0.1190797488338495, 0.8829502385209954]                                       |  0.0014717499725521|      0.00160000|[235, 87, 0, 87]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      39|[-0.117489702397878, 0.8831284303599065]                                        |  0.0013906457461417|      0.00800000|[240, 89, 0, 89]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      40|[-0.117489702397878, 0.8831284303599065]                                        |  0.0013906457461417|      0.00160000|[246, 91, 0, 91]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[-0.1158984763002182, 0.8832957608894766]                                       |  0.0013134235050529|      0.00800000|[251, 93, 0, 93]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      42|[-0.1158984763002182, 0.8832957608894766]                                       |  0.0013134235050529|      0.00160000|[258, 96, 0, 96]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      43|[-0.1143074273452448, 0.8834647674659114]                                       |  0.0012399202678353|      0.00800000|[264, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      44|[-0.1143074273452448, 0.8834647674659114]                                       |  0.0012399202678353|      0.00160000|[270, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[-0.1127193536472943, 0.8836597595936438]                                       |  0.0011699787573889|      0.00800000|[276, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      46|[-0.1127193536472943, 0.8836597595936438]                                       |  0.0011699787573889|      0.00160000|[284, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      47|[-0.1111326777994358, 0.8838658172404876]                                       |  0.0011034522904083|      0.00800000|[289, 107, 0, 107]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      48|[-0.1111326777994358, 0.8838658172404876]                                       |  0.0011034522904083|      0.00160000|[295, 109, 0, 109]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      49|[-0.1095445308476275, 0.8840602118377942]                                       |  0.0010401885956526|      0.00800000|[301, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      50|[-0.1095445308476275, 0.8840602118377942]                                       |  0.0010401885956526|      0.00160000|[307, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
