k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[98.0, 36.0, 270.0]                                                             |235144.3534117177186999|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[97.86351353148015, 36.3357791043106, 269.06800008743596]                       |233073.5312500000000000|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[99.01824823336983, 36.53395474260947, 267.4471008972836]                       |226543.9687500000000000|      4.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[100.10362029613802, 34.175314372908915, 264.4042760433393]                     |218202.9218750000000000|      8.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[105.46557923798252, 35.202393027295365, 258.5566692043258]                     |193186.6875000000000000|     16.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[117.21839063114257, 44.283265599935135, 264.5072303271348]                     |177437.1718750000000000|     32.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[145.2656571982111, 58.51263991195626, 258.60166136181124]                      |109769.0312500000000000|     64.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[137.12913084576408, 101.21777019653429, 211.63285483776644]                    |34581.7343750000000000|    128.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[137.12913084576408, 101.21777019653429, 211.63285483776644]                    |34581.7343750000000000|     64.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[176.00552600402892, 88.67174473991743, 162.36599838497088]                     | 94.4474182128906250|    128.00000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[176.00552600402892, 88.67174473991743, 162.36599838497088]                     | 94.4474182128906250|     64.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[176.00552600402892, 88.67174473991743, 162.36599838497088]                     | 94.4474182128906250|     32.00000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[176.00552600402892, 88.67174473991743, 162.36599838497088]                     | 94.4474182128906250|     16.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[176.00552600402892, 88.67174473991743, 162.36599838497088]                     | 94.4474182128906250|      8.00000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[176.00552600402892, 88.67174473991743, 162.36599838497088]                     | 94.4474182128906250|      4.00000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[176.00552600402892, 88.67174473991743, 162.36599838497088]                     | 94.4474182128906250|      2.00000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
