k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.25000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-0.9578419038537812, 0.9378754760916536]                                       |2359.1376953125000000|      0.50000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[-0.9578419038537812, 0.9378754760916536]                                       |2359.1376953125000000|      0.25000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.9578419038537812, 0.9378754760916536]                                       |2359.1376953125000000|      0.12500000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.8442529551741675, 0.8856974084974998]                                       |624.8868408203125000|      0.25000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[-0.5952699271982475, 0.8631707181071606]                                       | 26.5565700531005859|      0.50000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[-0.5952699271982475, 0.8631707181071606]                                       | 26.5565700531005859|      0.25000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.5952699271982475, 0.8631707181071606]                                       | 26.5565700531005859|      0.12500000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.4724872161132168, 0.8866101263464887]                                       |  4.3575854301452637|      0.25000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[-0.4724872161132168, 0.8866101263464887]                                       |  4.3575854301452637|      0.12500000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.3582940261324035, 0.8357680634260495]                                       |  0.5484806895256042|      0.25000000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[-0.3582940261324035, 0.8357680634260495]                                       |  0.5484806895256042|      0.12500000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.2334144536959424, 0.830282410494386]                                        |  0.0399356707930565|      0.25000000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[-0.0607512165896694, 1.0110789993780898]                                       |  0.0000211051265069|      0.50000000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[-0.0607512165896694, 1.0110789993780898]                                       |  0.0000211051265069|      0.25000000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[-0.0607512165896694, 1.0110789993780898]                                       |  0.0000211051265069|      0.12500000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[-0.0607512165896694, 1.0110789993780898]                                       |  0.0000211051265069|      0.06250000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[-0.0607512165896694, 1.0110789993780898]                                       |  0.0000211051265069|      0.03125000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[-0.0607512165896694, 1.0110789993780898]                                       |  0.0000211051265069|      0.01562500|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[-0.0607512165896694, 1.0110789993780898]                                       |  0.0000211051265069|      0.00781250|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[-0.0607512165896694, 1.0110789993780898]                                       |  0.0000211051265069|      0.00390625|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[-0.0607512165896694, 1.0110789993780898]                                       |  0.0000211051265069|      0.00195312|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[-0.0607512165896694, 1.0110789993780898]                                       |  0.0000211051265069|      0.00097656|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[-0.0607512165896694, 1.0110789993780898]                                       |  0.0000211051265069|      0.00048828|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      26|[-0.0602853529651007, 1.0112252514290334]                                       |  0.0000202147839445|      0.00097656|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      27|[-0.0602853529651007, 1.0112252514290334]                                       |  0.0000202147839445|      0.00048828|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[-0.059819826828342, 1.0113725741872757]                                        |  0.0000193541818589|      0.00097656|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      29|[-0.059819826828342, 1.0113725741872757]                                        |  0.0000193541818589|      0.00048828|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[-0.0593547990377424, 1.0115214625114373]                                       |  0.0000185225690075|      0.00097656|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[-0.0593547990377424, 1.0115214625114373]                                       |  0.0000185225690075|      0.00048828|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[-0.058890065958196, 1.0116712681985018]                                        |  0.0000177192050614|      0.00097656|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[-0.058890065958196, 1.0116712681985018]                                        |  0.0000177192050614|      0.00048828|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      34|[-0.0584253672051164, 1.0118211803327264]                                       |  0.0000169433642441|      0.00097656|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      35|[-0.0584253672051164, 1.0118211803327264]                                       |  0.0000169433642441|      0.00048828|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      36|[-0.0579605995388627, 1.011970878681103]                                        |  0.0000161943407875|      0.00097656|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[-0.0579605995388627, 1.011970878681103]                                        |  0.0000161943407875|      0.00048828|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[-0.0574966680679709, 1.0121231487353413]                                       |  0.0000154714271048|      0.00097656|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      39|[-0.0574966680679709, 1.0121231487353413]                                       |  0.0000154714271048|      0.00048828|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[-0.0570321546149367, 1.0122736340537342]                                       |  0.0000147739519889|      0.00097656|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      41|[-0.0570321546149367, 1.0122736340537342]                                       |  0.0000147739519889|      0.00048828|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      42|[-0.0565696439034676, 1.0124301665451791]                                       |  0.0000141012360473|      0.00097656|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      43|[-0.0565696439034676, 1.0124301665451791]                                       |  0.0000141012360473|      0.00048828|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      44|[-0.0561074420416492, 1.0125876086552805]                                       |  0.0000134526062538|      0.00097656|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      45|[-0.0561074420416492, 1.0125876086552805]                                       |  0.0000134526062538|      0.00048828|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      46|[-0.0556433580694999, 1.0127394132859597]                                       |  0.0000128274277813|      0.00097656|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      47|[-0.0556433580694999, 1.0127394132859597]                                       |  0.0000128274277813|      0.00048828|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[-0.0551812832455125, 1.0128972278484645]                                       |  0.0000122250494314|      0.00097656|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      49|[-0.0551812832455125, 1.0128972278484645]                                       |  0.0000122250494314|      0.00048828|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[-0.0547188365703455, 1.0130539494223736]                                       |  0.0000116448563858|      0.00097656|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[-0.0547188365703455, 1.0130539494223736]                                       |  0.0000116448563858|      0.00048828|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      52|[-0.0542565298917635, 1.013211083486281]                                        |  0.0000110862447400|      0.00097656|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      53|[-0.0542565298917635, 1.013211083486281]                                        |  0.0000110862447400|      0.00048828|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      54|[-0.0537946045613818, 1.0133693350842299]                                       |  0.0000105486151369|      0.00097656|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      55|[-0.0537946045613818, 1.0133693350842299]                                       |  0.0000105486151369|      0.00048828|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      56|[-0.0533325355249756, 1.0135271665915286]                                       |  0.0000100313864095|      0.00097656|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      57|[-0.0533325355249756, 1.0135271665915286]                                       |  0.0000100313864095|      0.00048828|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      58|[-0.0528709388969344, 1.0136863744182287]                                       |  0.0000095339764812|      0.00097656|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      59|[-0.0528709388969344, 1.0136863744182287]                                       |  0.0000095339764812|      0.00048828|[318, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
