k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.20000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.04000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-1.1608073253667364, 0.9920041101126181]                                       |18517.6992187500000000|      0.20000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[-1.1608073253667364, 0.9920041101126181]                                       |18517.6992187500000000|      0.04000000|[28, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-1.1218567365834817, 0.9829018228485403]                                       |12754.7021484375000000|      0.20000000|[33, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       6|[-1.1218567365834817, 0.9829018228485403]                                       |12754.7021484375000000|      0.04000000|[39, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-1.083410017928745, 0.971863262041827]                                         |8714.7148437500000000|      0.20000000|[45, 16, 0, 16]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       8|[-1.083410017928745, 0.971863262041827]                                         |8714.7148437500000000|      0.04000000|[51, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-1.0440045708934553, 0.9649922545502738]                                       |5894.6166992187500000|      0.20000000|[56, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      10|[-1.0440045708934553, 0.9649922545502738]                                       |5894.6166992187500000|      0.04000000|[64, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-1.0046287460320962, 0.9579534750759922]                                       |3946.7619628906250000|      0.20000000|[69, 25, 0, 25]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      12|[-0.8069527820209941, 0.9275525992287165]                                       |446.1387634277343750|      1.00000000|[77, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      13|[0.1380686519645787, 1.254560992558081]                                         |  0.0022860371973366|      5.00000000|[84, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      14|[0.1380686519645787, 1.254560992558081]                                         |  0.0022860371973366|      1.00000000|[91, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.1380686519645787, 1.254560992558081]                                         |  0.0022860371973366|      0.20000000|[98, 37, 0, 37]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.1380686519645787, 1.254560992558081]                                         |  0.0022860371973366|      0.04000000|[105, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.1045759893284935, 1.232692258037186]                                         |  0.0011429783189669|      0.20000000|[110, 42, 0, 42]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      18|[0.1045759893284935, 1.232692258037186]                                         |  0.0011429783189669|      0.04000000|[117, 45, 0, 45]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.1045759893284935, 1.232692258037186]                                         |  0.0011429783189669|      0.00800000|[123, 47, 0, 47]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[0.0972727181467991, 1.229426951000071]                                         |  0.0009649492567405|      0.04000000|[128, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      21|[0.0972727181467991, 1.229426951000071]                                         |  0.0009649492567405|      0.00800000|[134, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[0.0899371970287514, 1.2262347527094448]                                        |  0.0008032113546506|      0.04000000|[140, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      23|[0.0899371970287514, 1.2262347527094448]                                        |  0.0008032113546506|      0.00800000|[147, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      24|[0.082470326314981, 1.2233631953368962]                                         |  0.0006574776489288|      0.04000000|[153, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      25|[0.082470326314981, 1.2233631953368962]                                         |  0.0006574776489288|      0.00800000|[161, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      26|[0.0748947978283092, 1.2207919372503508]                                        |  0.0005275114672258|      0.04000000|[167, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      27|[0.0748947978283092, 1.2207919372503508]                                        |  0.0005275114672258|      0.00800000|[173, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[0.0672222754093519, 1.218526457228237]                                         |  0.0004130465094931|      0.04000000|[179, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      29|[0.0672222754093519, 1.218526457228237]                                         |  0.0004130465094931|      0.00800000|[185, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[0.0595218159679196, 1.2163578345337982]                                        |  0.0003137820167467|      0.04000000|[190, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[0.0595218159679196, 1.2163578345337982]                                        |  0.0003137820167467|      0.00800000|[197, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      32|[0.051798070031844, 1.214273668342019]                                          |  0.0002294287696714|      0.04000000|[202, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      33|[0.051798070031844, 1.214273668342019]                                          |  0.0002294287696714|      0.00800000|[210, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      34|[0.0439538008575472, 1.2127028592762257]                                        |  0.0001594761561137|      0.04000000|[215, 81, 0, 81]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      35|[0.0439538008575472, 1.2127028592762257]                                        |  0.0001594761561137|      0.00800000|[222, 84, 0, 84]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      36|[0.036053174838346, 1.2114458356071087]                                         |  0.0001033385633491|      0.04000000|[227, 86, 0, 86]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      37|[0.036053174838346, 1.2114458356071087]                                         |  0.0001033385633491|      0.00800000|[233, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[0.0281146327433757, 1.2104561137237573]                                        |  0.0000603277840128|      0.04000000|[239, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      39|[0.0281146327433757, 1.2104561137237573]                                        |  0.0000603277840128|      0.00800000|[246, 93, 0, 93]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      40|[0.0281146327433757, 1.2104561137237573]                                        |  0.0000603277840128|      0.00160000|[253, 96, 0, 96]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.0265307393608264, 1.210229658976144]                                         |  0.0000532311096322|      0.00800000|[259, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      42|[0.0265307393608264, 1.210229658976144]                                         |  0.0000532311096322|      0.00160000|[265, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.024940950225523, 1.2100491859718718]                                         |  0.0000466215460619|      0.00800000|[271, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      44|[0.024940950225523, 1.2100491859718718]                                         |  0.0000466215460619|      0.00160000|[279, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      45|[0.0233504212102424, 1.209875354295959]                                         |  0.0000404908605560|      0.00800000|[284, 107, 0, 107]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      46|[0.0233504212102424, 1.209875354295959]                                         |  0.0000404908605560|      0.00160000|[290, 109, 0, 109]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[0.0217594536840919, 1.2097055828886656]                                        |  0.0000348313333234|      0.00800000|[296, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      48|[0.0217594536840919, 1.2097055828886656]                                        |  0.0000348313333234|      0.00160000|[302, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
