k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|     10.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|     10.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|      1.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|      0.10000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[2.5646290690792295, 1.1874778605278282, -8.117205608807524]                    | 14.3241558074951172|      1.00000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[2.5646290690792295, 1.1874778605278282, -8.117205608807524]                    | 14.3241558074951172|      0.10000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[2.5209636336729417, 1.0987145005080932, -8.102563352533773]                    | 12.6717720031738281|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[2.5209636336729417, 1.0987145005080932, -8.102563352533773]                    | 12.6717720031738281|      0.10000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[2.5717401183828987, 1.0202724168564838, -8.066946107933813]                    | 11.8618812561035156|      1.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[2.5717401183828987, 1.0202724168564838, -8.066946107933813]                    | 11.8618812561035156|      0.10000000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[2.4859248936955827, 0.9785552857228426, -8.096869813951685]                    | 10.9277963638305664|      1.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[2.4859248936955827, 0.9785552857228426, -8.096869813951685]                    | 10.9277963638305664|      0.10000000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[2.4477934169542905, 0.9463114397210337, -8.010230764577052]                    | 10.3833179473876953|      1.00000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[2.4477934169542905, 0.9463114397210337, -8.010230764577052]                    | 10.3833179473876953|      0.10000000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[2.409525395142403, 0.8546295397585678, -8.021631980559452]                     |  9.3174486160278320|      1.00000000|[85, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[2.409525395142403, 0.8546295397585678, -8.021631980559452]                     |  9.3174486160278320|      0.10000000|[91, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[2.3686033962561575, 0.8181540523352518, -8.105267671651148]                    |  8.8224239349365234|      1.00000000|[97, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[2.3686033962561575, 0.8181540523352518, -8.105267671651148]                    |  8.8224239349365234|      0.10000000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[2.2888927276333355, 0.7600867104901272, -8.121832487338144]                    |  8.0281944274902344|      1.00000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      21|[2.2888927276333355, 0.7600867104901272, -8.121832487338144]                    |  8.0281944274902344|      0.10000000|[113, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[2.2888927276333355, 0.7600867104901272, -8.121832487338144]                    |  8.0281944274902344|      0.01000000|[118, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[2.287071306242486, 0.7515151533416714, -8.126650249491647]                     |  7.9627237319946289|      0.10000000|[124, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[2.2108533981414706, 0.6989438456589737, -8.164427069014156]                    |  7.2973799705505371|      1.00000000|[129, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[2.2108533981414706, 0.6989438456589737, -8.164427069014156]                    |  7.2973799705505371|      0.10000000|[134, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
