k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6089245907026829, 0.0547629287431201, 0.136909578809204, 0.7790905950322543, -0.0027062012037119, 0.0008227084676373, -0.0073877908116776, 0.0044155012521496, -0.0047443414481978, 0.0025997415796645, -0.003035004981197, -0.0076433159317734, -0.0039602840418833, -0.0079571044895866, 0.0020292297317434, 0.0022670496237629, 0.0063481519390607, 0.0019723075251086, -0.0002234757306189, 0.0079065895778471, -0.0010091106419376, 0.0105106093078414]| 13.1515474319458008|      2.00000000|[106, 16, 0, 2]                                                            |  | trying linear partial model with 57 points | iterate success | actual_k=8
       2|[1.816041918761873, 0.1739727435410708, 0.4000334198969682, 2.3447898808020544, -0.0237920115257399, 0.0126889796885621, 0.0468168472213817, -0.0062593056160247, -0.0015589868407799, 0.0055233585165819, -0.0161660522534999, -0.0228956119596923, 0.0260529579547853, -0.0115374934126851, 0.007120210841467, -0.0072154663275359, 0.0292561550168432, 0.0094622414111997, -0.0174049482576065, -0.021857785546149, 0.0185543217606406, 0.0383121813847951]| 12.2800903320312500|      4.00000000|[210, 32, 0, 4]                                                            |  | trying linear partial model with 57 points | iterate success | actual_k=8
       3|[1.816041918761873, 0.1739727435410708, 0.4000334198969682, 2.3447898808020544, -0.0237920115257399, 0.0126889796885621, 0.0468168472213817, -0.0062593056160247, -0.0015589868407799, 0.0055233585165819, -0.0161660522534999, -0.0228956119596923, 0.0260529579547853, -0.0115374934126851, 0.007120210841467, -0.0072154663275359, 0.0292561550168432, 0.0094622414111997, -0.0174049482576065, -0.021857785546149, 0.0185543217606406, 0.0383121813847951]| 12.2800903320312500|      2.00000000|[315, 48, 0, 6]                                                            |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       4|[1.816041918761873, 0.1739727435410708, 0.4000334198969682, 2.3447898808020544, -0.0237920115257399, 0.0126889796885621, 0.0468168472213817, -0.0062593056160247, -0.0015589868407799, 0.0055233585165819, -0.0161660522534999, -0.0228956119596923, 0.0260529579547853, -0.0115374934126851, 0.007120210841467, -0.0072154663275359, 0.0292561550168432, 0.0094622414111997, -0.0174049482576065, -0.021857785546149, 0.0185543217606406, 0.0383121813847951]| 12.2800903320312500|      1.00000000|[421, 64, 0, 8]                                                            |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       5|[1.816041918761873, 0.1739727435410708, 0.4000334198969682, 2.3447898808020544, -0.0237920115257399, 0.0126889796885621, 0.0468168472213817, -0.0062593056160247, -0.0015589868407799, 0.0055233585165819, -0.0161660522534999, -0.0228956119596923, 0.0260529579547853, -0.0115374934126851, 0.007120210841467, -0.0072154663275359, 0.0292561550168432, 0.0094622414111997, -0.0174049482576065, -0.021857785546149, 0.0185543217606406, 0.0383121813847951]| 12.2800903320312500|      0.50000000|[526, 80, 0, 10]                                                           |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       6|[1.5097215888773432, 0.1470593787610422, 0.3332676775801608, 1.9562362640557325, -0.0243078534062892, 0.0127334969664695, 0.0476635079117708, -0.0067066230714578, -0.0007692097268024, 0.005915367944373, -0.0163604885827536, -0.0228542369741975, 0.0267554149309738, -0.0107493215230256, 0.0084813156650291, -0.0066296058628381, 0.0279624861365338, 0.009715469026404, -0.0160637807217786, -0.0234163270885961, 0.0190062237094616, 0.0389953526254294]| 12.1452150344848633|      1.00000000|[630, 96, 0, 12]                                                           |  | trying linear partial model with 57 points | iterate success | actual_k=8
       7|[1.5097215888773432, 0.1470593787610422, 0.3332676775801608, 1.9562362640557325, -0.0243078534062892, 0.0127334969664695, 0.0476635079117708, -0.0067066230714578, -0.0007692097268024, 0.005915367944373, -0.0163604885827536, -0.0228542369741975, 0.0267554149309738, -0.0107493215230256, 0.0084813156650291, -0.0066296058628381, 0.0279624861365338, 0.009715469026404, -0.0160637807217786, -0.0234163270885961, 0.0190062237094616, 0.0389953526254294]| 12.1452150344848633|      0.50000000|[735, 112, 0, 14]                                                          |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       8|[1.5097215888773432, 0.1470593787610422, 0.3332676775801608, 1.9562362640557325, -0.0243078534062892, 0.0127334969664695, 0.0476635079117708, -0.0067066230714578, -0.0007692097268024, 0.005915367944373, -0.0163604885827536, -0.0228542369741975, 0.0267554149309738, -0.0107493215230256, 0.0084813156650291, -0.0066296058628381, 0.0279624861365338, 0.009715469026404, -0.0160637807217786, -0.0234163270885961, 0.0190062237094616, 0.0389953526254294]| 12.1452150344848633|      0.25000000|[839, 128, 0, 16]                                                          |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       9|[1.5097215888773432, 0.1470593787610422, 0.3332676775801608, 1.9562362640557325, -0.0243078534062892, 0.0127334969664695, 0.0476635079117708, -0.0067066230714578, -0.0007692097268024, 0.005915367944373, -0.0163604885827536, -0.0228542369741975, 0.0267554149309738, -0.0107493215230256, 0.0084813156650291, -0.0066296058628381, 0.0279624861365338, 0.009715469026404, -0.0160637807217786, -0.0234163270885961, 0.0190062237094616, 0.0389953526254294]| 12.1452150344848633|      0.12500000|[943, 144, 0, 18]                                                          |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      10|[1.5097215888773432, 0.1470593787610422, 0.3332676775801608, 1.9562362640557325, -0.0243078534062892, 0.0127334969664695, 0.0476635079117708, -0.0067066230714578, -0.0007692097268024, 0.005915367944373, -0.0163604885827536, -0.0228542369741975, 0.0267554149309738, -0.0107493215230256, 0.0084813156650291, -0.0066296058628381, 0.0279624861365338, 0.009715469026404, -0.0160637807217786, -0.0234163270885961, 0.0190062237094616, 0.0389953526254294]| 12.1452150344848633|      0.06250000|[1048, 160, 0, 20]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      11|[1.5097215888773432, 0.1470593787610422, 0.3332676775801608, 1.9562362640557325, -0.0243078534062892, 0.0127334969664695, 0.0476635079117708, -0.0067066230714578, -0.0007692097268024, 0.005915367944373, -0.0163604885827536, -0.0228542369741975, 0.0267554149309738, -0.0107493215230256, 0.0084813156650291, -0.0066296058628381, 0.0279624861365338, 0.009715469026404, -0.0160637807217786, -0.0234163270885961, 0.0190062237094616, 0.0389953526254294]| 12.1452150344848633|      0.03125000|[1152, 176, 0, 22]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
