k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      5.00000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       2|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      1.00000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       3|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.20000000|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.04000000|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       5|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.00800000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.00160000|[49, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.00032000|[57, 0, 0, 14]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.0003127685769279, 0.0746598121295413]                                        |  0.0000932124530664|      0.00160000|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       9|[0.0003127685769279, 0.0746598121295413]                                        |  0.0000932124530664|      0.00032000|[73, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[0.0003121569563277, 0.0743398127140414]                                        |  0.0000916246353881|      0.00160000|[81, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      11|[0.0003121569563277, 0.0743398127140414]                                        |  0.0000916246353881|      0.00032000|[89, 0, 0, 22]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[0.0003114793257482, 0.074019813431516]                                         |  0.0000900571831153|      0.00160000|[97, 0, 0, 24]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      13|[0.0003114793257482, 0.074019813431516]                                         |  0.0000900571831153|      0.00032000|[105, 0, 0, 26]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[0.000310722297629, 0.0736998143269728]                                         |  0.0000885099361767|      0.00160000|[113, 0, 0, 28]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      15|[0.000310722297629, 0.0736998143269728]                                         |  0.0000885099361767|      0.00032000|[121, 0, 0, 30]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[0.0003100346256643, 0.0733798150658686]                                        |  0.0000869827053975|      0.00160000|[129, 0, 0, 32]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      17|[0.0003100346256643, 0.0733798150658686]                                        |  0.0000869827053975|      0.00032000|[137, 0, 0, 34]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      18|[0.0003099129014454, 0.0730598150890198]                                        |  0.0000854753307067|      0.00160000|[145, 0, 0, 36]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      19|[0.0003099129014454, 0.0730598150890198]                                        |  0.0000854753307067|      0.00032000|[153, 0, 0, 38]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      20|[0.0003096350744292, 0.0727398152096258]                                        |  0.0000839876302052|      0.00160000|[161, 0, 0, 40]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      21|[0.0003096350744292, 0.0727398152096258]                                        |  0.0000839876302052|      0.00032000|[169, 0, 0, 42]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      22|[0.0003091301304437, 0.0724198156080142]                                        |  0.0000825194292702|      0.00160000|[177, 0, 0, 44]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      23|[0.0003091301304437, 0.0724198156080142]                                        |  0.0000825194292702|      0.00032000|[185, 0, 0, 46]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      24|[0.0003088567646333, 0.0720998157247781]                                        |  0.0000810705678305|      0.00160000|[193, 0, 0, 48]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      25|[0.0003088567646333, 0.0720998157247781]                                        |  0.0000810705678305|      0.00032000|[201, 0, 0, 50]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      26|[0.0003081055491585, 0.0717798166065367]                                        |  0.0000796408712631|      0.00160000|[209, 0, 0, 52]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      27|[0.0003081055491585, 0.0717798166065367]                                        |  0.0000796408712631|      0.00032000|[217, 0, 0, 54]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      28|[0.0003073223855403, 0.0714598175648901]                                        |  0.0000782301649451|      0.00160000|[225, 0, 0, 56]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      29|[0.0003073223855403, 0.0714598175648901]                                        |  0.0000782301649451|      0.00032000|[233, 0, 0, 58]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      30|[0.0003065960627826, 0.0711398183891798]                                        |  0.0000768382888054|      0.00160000|[241, 0, 0, 60]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      31|[0.0003065960627826, 0.0711398183891798]                                        |  0.0000768382888054|      0.00032000|[249, 0, 0, 62]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      32|[0.0003059179567577, 0.0708198191076615]                                        |  0.0000754650682211|      0.00160000|[257, 0, 0, 64]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      33|[0.0003059179567577, 0.0708198191076615]                                        |  0.0000754650682211|      0.00032000|[265, 0, 0, 66]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      34|[0.0003052109268217, 0.0704998198887427]                                        |  0.0000741103285691|      0.00160000|[273, 0, 0, 68]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      35|[0.0003052109268217, 0.0704998198887427]                                        |  0.0000741103285691|      0.00032000|[281, 0, 0, 70]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      36|[0.0003044069201544, 0.070179820898786]                                         |  0.0000727739170543|      0.00160000|[289, 0, 0, 72]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      37|[0.0003044069201544, 0.070179820898786]                                         |  0.0000727739170543|      0.00032000|[297, 0, 0, 74]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      38|[0.0003040770315413, 0.0698598210688275]                                        |  0.0000714556663297|      0.00160000|[305, 0, 0, 76]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      39|[0.0003040770315413, 0.0698598210688275]                                        |  0.0000714556663297|      0.00032000|[313, 0, 0, 78]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      40|[0.0003034870537914, 0.0695398216126932]                                        |  0.0000701554017724|      0.00160000|[321, 0, 0, 80]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      41|[0.0003034870537914, 0.0695398216126932]                                        |  0.0000701554017724|      0.00032000|[329, 0, 0, 82]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      42|[0.0003033225586039, 0.0692198216549723]                                        |  0.0000688729633112|      0.00160000|[337, 0, 0, 84]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      43|[0.0003033225586039, 0.0692198216549723]                                        |  0.0000688729633112|      0.00032000|[345, 0, 0, 86]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      44|[0.0003031779278227, 0.0688998216876568]                                        |  0.0000676081908750|      0.00160000|[353, 0, 0, 88]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      45|[0.0003031779278227, 0.0688998216876568]                                        |  0.0000676081908750|      0.00032000|[361, 0, 0, 90]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      46|[0.0003028083627766, 0.0685798219010605]                                        |  0.0000663609098410|      0.00160000|[369, 0, 0, 92]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      47|[0.0003028083627766, 0.0685798219010605]                                        |  0.0000663609098410|      0.00032000|[377, 0, 0, 94]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      48|[0.00030210376864, 0.0682598226767691]                                          |  0.0000651309746900|      0.00160000|[385, 0, 0, 96]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      49|[0.00030210376864, 0.0682598226767691]                                          |  0.0000651309746900|      0.00032000|[393, 0, 0, 98]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
