k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      0.50000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       2|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      0.25000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       3|[0.1418902257191716, 9.948203174040547, 1.1992090677300824]                     |  0.6956503391265869|      0.50000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[0.1418902257191716, 9.948203174040547, 1.1992090677300824]                     |  0.6956503391265869|      0.25000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[0.357930499100395, 9.996884756608578, 1.3152121012940297]                      |  0.1591965109109879|      0.50000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[0.357930499100395, 9.996884756608578, 1.3152121012940297]                      |  0.1591965109109879|      0.25000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[0.357930499100395, 9.996884756608578, 1.3152121012940297]                      |  0.1591965109109879|      0.12500000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.357930499100395, 9.996884756608578, 1.3152121012940297]                      |  0.1591965109109879|      0.06250000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[0.4180361263581078, 9.99518786602141, 1.3322615627017125]                      |  0.1134322509169579|      0.12500000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[0.4180361263581078, 9.99518786602141, 1.3322615627017125]                      |  0.1134322509169579|      0.06250000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[0.4180361263581078, 9.99518786602141, 1.3322615627017125]                      |  0.1134322509169579|      0.03125000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[0.4474288361149066, 10.005790726890737, 1.3318028094583496]                    |  0.0995990633964539|      0.06250000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[0.4474288361149066, 10.005790726890737, 1.3318028094583496]                    |  0.0995990633964539|      0.03125000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
