k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.7036309226937327, 2.044926510672277]                                         | 99.3338851928710938|     10.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.7036309226937327, 2.044926510672277]                                         | 99.3338851928710938|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[2.0142420056341277, 1.0943894229399809]                                        | 14.8707723617553711|     10.00000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[2.0142420056341277, 1.0943894229399809]                                        | 14.8707723617553711|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.674548428883548, 0.1538532599380483]                                         |  0.6863281726837158|     10.00000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[1.674548428883548, 0.1538532599380483]                                         |  0.6863281726837158|      1.00000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.674548428883548, 0.1538532599380483]                                         |  0.6863281726837158|      0.10000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.5772397989344666, 0.1308091600981159]                                        |  0.3017550408840179|      1.00000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[1.5772397989344666, 0.1308091600981159]                                        |  0.3017550408840179|      0.10000000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.5772397989344666, 0.1308091600981159]                                        |  0.3017550408840179|      0.01000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[1.5673040926256379, 0.129677020466842]                                         |  0.2788759171962738|      0.10000000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[1.5673040926256379, 0.129677020466842]                                         |  0.2788759171962738|      0.01000000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[1.5573711764111275, 0.1285206574289008]                                        |  0.2586991786956787|      0.10000000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[1.5573711764111275, 0.1285206574289008]                                        |  0.2586991786956787|      0.01000000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.5474028102792203, 0.1277258765407023]                                        |  0.2411780506372452|      0.10000000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[1.5474028102792203, 0.1277258765407023]                                        |  0.2411780506372452|      0.01000000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.5374613992650943, 0.1266449755053551]                                        |  0.2262430936098099|      0.10000000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[1.5374613992650943, 0.1266449755053551]                                        |  0.2262430936098099|      0.01000000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.5275401695157604, 0.1253922982680218]                                        |  0.2138450741767883|      0.10000000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[1.5275401695157604, 0.1253922982680218]                                        |  0.2138450741767883|      0.01000000|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[1.5175918731479512, 0.1243767199213475]                                        |  0.2039372175931931|      0.10000000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[1.5175918731479512, 0.1243767199213475]                                        |  0.2039372175931931|      0.01000000|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.5077711533251335, 0.1224916570147801]                                        |  0.1964469701051712|      0.10000000|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[1.5077711533251335, 0.1224916570147801]                                        |  0.1964469701051712|      0.01000000|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.4979406644873237, 0.1206582205665505]                                        |  0.1913108527660370|      0.10000000|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[1.4979406644873237, 0.1206582205665505]                                        |  0.1913108527660370|      0.01000000|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.488263528817716, 0.1181376957735748]                                         |  0.1884511411190033|      0.10000000|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[1.488263528817716, 0.1181376957735748]                                         |  0.1884511411190033|      0.01000000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[1.488263528817716, 0.1181376957735748]                                         |  0.1884511411190033|      0.00100000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[1.4873569351455935, 0.1177156911365532]                                        |  0.1882830560207367|      0.01000000|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[1.4873569351455935, 0.1177156911365532]                                        |  0.1882830560207367|      0.00100000|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[1.4864690284531243, 0.1172556675442579]                                        |  0.1881342679262161|      0.01000000|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[1.4864690284531243, 0.1172556675442579]                                        |  0.1881342679262161|      0.00100000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      34|[1.4856227290595236, 0.1167229599918512]                                        |  0.1880035102367401|      0.01000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      35|[1.4856227290595236, 0.1167229599918512]                                        |  0.1880035102367401|      0.00100000|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      36|[1.484808725552074, 0.1161421000346673]                                         |  0.1878895759582520|      0.01000000|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[1.484808725552074, 0.1161421000346673]                                         |  0.1878895759582520|      0.00100000|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[1.4840624343137983, 0.1154764804829168]                                        |  0.1877903789281845|      0.01000000|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      39|[1.4840624343137983, 0.1154764804829168]                                        |  0.1877903789281845|      0.00100000|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[1.483472977683306, 0.1146686804576824]                                         |  0.1877028048038483|      0.01000000|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      41|[1.483472977683306, 0.1146686804576824]                                         |  0.1877028048038483|      0.00100000|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      42|[1.4828204173040944, 0.1139109437280175]                                        |  0.1876261085271835|      0.01000000|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      43|[1.4828204173040944, 0.1139109437280175]                                        |  0.1876261085271835|      0.00100000|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      44|[1.4822866672450474, 0.1130653014428477]                                        |  0.1875568628311157|      0.01000000|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      45|[1.4822866672450474, 0.1130653014428477]                                        |  0.1875568628311157|      0.00100000|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      46|[1.4819935447682222, 0.1121092265432818]                                        |  0.1874902099370956|      0.01000000|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      47|[1.4819935447682222, 0.1121092265432818]                                        |  0.1874902099370956|      0.00100000|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[1.4819443255202291, 0.1111104385449423]                                        |  0.1874250620603561|      0.01000000|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      49|[1.4819443255202291, 0.1111104385449423]                                        |  0.1874250620603561|      0.00100000|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[1.4818383848623111, 0.1101160660910802]                                        |  0.1873605698347092|      0.01000000|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[1.4818383848623111, 0.1101160660910802]                                        |  0.1873605698347092|      0.00100000|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
