k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7514694982056085|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7514694982056085|      0.20000000|[11, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[1.1527088700131616, 0.4000343534571777, 5.543274479709635, 5.626809537145387, 6.4089782916659095, 7.613163677361453]|253.1639404296875000|      1.00000000|[22, 8, 0, 4]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
       3|[0.3922648055210299, 0.1065253349144751, 5.197494408324089, 5.920063582061145, 6.048401969572289, 7.613615486366261]|163.4170684814453125|      5.00000000|[33, 12, 0, 6]                                                             |  | trying linear partial model with 7 points | iterate success | actual_k=2
       4|[0.3922648055210299, 0.1065253349144751, 5.197494408324089, 5.920063582061145, 6.048401969572289, 7.613615486366261]|163.4170684814453125|      1.00000000|[43, 16, 0, 8]                                                             |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[0.3922648055210299, 0.1065253349144751, 5.197494408324089, 5.920063582061145, 6.048401969572289, 7.613615486366261]|163.4170684814453125|      0.20000000|[53, 20, 0, 10]                                                            |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[0.2380040221095975, 0.162453699919554, 5.143480088909121, 5.933867135686785, 5.98084513591201, 7.540106180014011]|149.8517456054687500|      1.00000000|[64, 24, 0, 12]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       7|[-0.4081345310111765, 0.0163064083452292, 4.544830390494136, 5.938660923953952, 5.558870593838481, 7.383010720627005]| 92.5699996948242188|      5.00000000|[75, 28, 0, 14]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       8|[-0.4081345310111765, 0.0163064083452292, 4.544830390494136, 5.938660923953952, 5.558870593838481, 7.383010720627005]| 92.5699996948242188|      1.00000000|[86, 32, 0, 16]                                                            |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[-0.4081345310111765, 0.0163064083452292, 4.544830390494136, 5.938660923953952, 5.558870593838481, 7.383010720627005]| 92.5699996948242188|      0.20000000|[96, 36, 0, 18]                                                            |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[-0.4081345310111765, 0.0163064083452292, 4.544830390494136, 5.938660923953952, 5.558870593838481, 7.383010720627005]| 92.5699996948242188|      0.04000000|[107, 40, 0, 20]                                                           |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[-0.426713004797758, 0.0239213674229507, 4.514807701021356, 5.940345880204735, 5.546377094432196, 7.394696790190595]| 90.9216461181640625|      0.20000000|[118, 44, 0, 22]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      12|[-0.5118381033212047, 0.0903742692601632, 4.415343229430073, 5.971289549763216, 5.424338163856254, 7.445623571632094]| 82.9515914916992188|      1.00000000|[129, 48, 0, 24]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
