k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.12430721999568, 39.08822432884195, 41.03523090438543, 38.90320996636892]    |851.9684448242187500|     10.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[16.389729066080466, 37.12766394614778, 37.24138792373467, 43.5871462602306]    |365.3513793945312500|    100.00000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[16.389729066080466, 37.12766394614778, 37.24138792373467, 43.5871462602306]    |365.3513793945312500|     10.00000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[16.389729066080466, 37.12766394614778, 37.24138792373467, 43.5871462602306]    |365.3513793945312500|      1.00000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[16.040054521887157, 36.575571275806915, 36.75769047633008, 44.169347407492765] |341.7056274414062500|     10.00000000|[26, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[16.040054521887157, 36.575571275806915, 36.75769047633008, 44.169347407492765] |341.7056274414062500|      1.00000000|[31, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[15.649940889679966, 35.70771620354388, 37.04228664543815, 44.28615471908947]   |306.9388427734375000|     10.00000000|[36, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[11.705767330359846, 37.300056914282585, 40.28039047839581, 52.73734573348911]  |145.5652770996093750|    100.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[11.705767330359846, 37.300056914282585, 40.28039047839581, 52.73734573348911]  |145.5652770996093750|     10.00000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[2.6782022179559295, 38.26535648518393, 42.537489145136696, 56.26959296270762]  |  5.6980338096618652|    100.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[2.6782022179559295, 38.26535648518393, 42.537489145136696, 56.26959296270762]  |  5.6980338096618652|     10.00000000|[59, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[2.6782022179559295, 38.26535648518393, 42.537489145136696, 56.26959296270762]  |  5.6980338096618652|      1.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[1.884642385585086, 38.79856374758452, 42.771891070472925, 56.093500529112376]  |  2.5385897159576416|     10.00000000|[70, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[1.884642385585086, 38.79856374758452, 42.771891070472925, 56.093500529112376]  |  2.5385897159576416|      1.00000000|[76, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.884642385585086, 38.79856374758452, 42.771891070472925, 56.093500529112376]  |  2.5385897159576416|      0.10000000|[81, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.7958506352606312, 38.75318717641759, 42.76473298250851, 56.09110185444781]   |  2.2480623722076416|      1.00000000|[86, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[0.8997012728031069, 38.717394554501446, 43.032036256581506, 56.443499595719224]|  0.3229910433292389|     10.00000000|[92, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[0.8997012728031069, 38.717394554501446, 43.032036256581506, 56.443499595719224]|  0.3229910433292389|      1.00000000|[98, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.8997012728031069, 38.717394554501446, 43.032036256581506, 56.443499595719224]|  0.3229910433292389|      0.10000000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[0.8599035381538082, 38.62787729319722, 43.04936865817898, 56.433380895197956]  |  0.2766956388950348|      1.00000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
