k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9298949486707209, 2.0024846651103916, -8.006959772854904]                    | 40.8731384277343750|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[2.554414954812504, 0.1527837928504643, -7.5727001211607465]                    |  7.5550279617309570|      4.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[2.554414954812504, 0.1527837928504643, -7.5727001211607465]                    |  7.5550279617309570|      2.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[2.554414954812504, 0.1527837928504643, -7.5727001211607465]                    |  7.5550279617309570|      1.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[1.7358439900410025, -0.2298142026823321, -8.00113955614233]                    |  4.0438132286071777|      2.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[1.7358439900410025, -0.2298142026823321, -8.00113955614233]                    |  4.0438132286071777|      1.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[1.7358439900410025, -0.2298142026823321, -8.00113955614233]                    |  4.0438132286071777|      0.50000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.3762605048952286, -0.4448113081773267, -8.274042399365323]                   |  2.9545693397521973|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[0.3795023742519796, -0.3652203149384015, -8.285811120273609]                   |  1.1972651481628418|      2.00000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[0.3795023742519796, -0.3652203149384015, -8.285811120273609]                   |  1.1972651481628418|      1.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.3795023742519796, -0.3652203149384015, -8.285811120273609]                   |  1.1972651481628418|      0.50000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[0.3795023742519796, -0.3652203149384015, -8.285811120273609]                   |  1.1972651481628418|      0.25000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[0.1410219981926004, -0.3183115348800068, -8.227273298414488]                   |  1.0664371252059937|      0.50000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[0.1410219981926004, -0.3183115348800068, -8.227273298414488]                   |  1.0664371252059937|      0.25000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[0.1410219981926004, -0.3183115348800068, -8.227273298414488]                   |  1.0664371252059937|      0.12500000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
