k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.1386365319100387, -0.40798914933297]                                         | 16.5122909545898438|      1.11111111|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      1.23456790|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      1.11111111|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.90000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.81000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.72900000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.65610000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.59049000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.53144100|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.47829690|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.43046721|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.38742049|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.34867844|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.31381060|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.28242954|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.25418658|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.22876792|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.20589113|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.18530202|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.16677182|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.15009464|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.13508517|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.12157665|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.2730006908755338, -1.104582640510611]                                        |  3.1737530231475830|      0.10941899|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      26|[1.1691435478679797, -1.0701412551019125]                                       |  2.6675615310668945|      0.12157665|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      27|[1.1691435478679797, -1.0701412551019125]                                       |  2.6675615310668945|      0.10941899|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[1.065827867270848, -1.0341081408136148]                                        |  2.2443997859954834|      0.12157665|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      29|[1.065827867270848, -1.0341081408136148]                                        |  2.2443997859954834|      0.10941899|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
