k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 3.0]                                                                      |889.3031475218829200|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[2.0, 3.0]                                                                      |889.3031475218829200|      0.25000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.9833604206888067, 2.750554365842281]                                         |551.7501831054687500|      0.50000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[1.9189055342205854, 2.254726202452616]                                         |189.0379791259765625|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[1.9189055342205854, 2.254726202452616]                                         |189.0379791259765625|      0.50000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[1.9189055342205854, 2.254726202452616]                                         |189.0379791259765625|      0.25000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.874854861688481, 2.0086377259863877]                                         |103.0939254760742188|      0.50000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[1.874854861688481, 2.0086377259863877]                                         |103.0939254760742188|      0.25000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[1.7974516562401244, 1.7709220475250806]                                        | 52.4072036743164062|      0.50000000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[1.5008046877771453, 1.368429095907634]                                         |  9.4111299514770508|      1.00000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[1.5008046877771453, 1.368429095907634]                                         |  9.4111299514770508|      0.50000000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[1.5008046877771453, 1.368429095907634]                                         |  9.4111299514770508|      0.25000000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[1.422185205984509, 1.1311128994888953]                                         |  2.6409442424774170|      0.50000000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[1.422185205984509, 1.1311128994888953]                                         |  2.6409442424774170|      0.25000000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[1.2503267464892647, 0.9495511471842828]                                        |  0.2359617054462433|      0.50000000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[1.2503267464892647, 0.9495511471842828]                                        |  0.2359617054462433|      0.25000000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[1.2503267464892647, 0.9495511471842828]                                        |  0.2359617054462433|      0.12500000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[1.2503267464892647, 0.9495511471842828]                                        |  0.2359617054462433|      0.06250000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[1.2113217097281954, 0.9007161483896926]                                        |  0.0787648260593414|      0.12500000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[1.2113217097281954, 0.9007161483896926]                                        |  0.0787648260593414|      0.06250000|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[1.169011358781244, 0.8547152331515604]                                         |  0.0460919924080372|      0.12500000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[1.169011358781244, 0.8547152331515604]                                         |  0.0460919924080372|      0.06250000|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.169011358781244, 0.8547152331515604]                                         |  0.0460919924080372|      0.03125000|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[1.169011358781244, 0.8547152331515604]                                         |  0.0460919924080372|      0.01562500|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.1694121913003368, 0.870335090970748]                                         |  0.0400028042495251|      0.03125000|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[1.1694121913003368, 0.870335090970748]                                         |  0.0400028042495251|      0.01562500|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.1555797219110244, 0.87760168684459]                                          |  0.0353985466063023|      0.03125000|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[1.1555797219110244, 0.87760168684459]                                          |  0.0353985466063023|      0.01562500|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[1.1501094313142508, 0.8922378251941291]                                        |  0.0304400753229856|      0.03125000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      30|[1.1501094313142508, 0.8922378251941291]                                        |  0.0304400753229856|      0.01562500|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[1.1435631784715126, 0.9064253971752307]                                        |  0.0269095655530691|      0.03125000|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      32|[1.1126820909690867, 0.9112129784714087]                                        |  0.0200841594487429|      0.06250000|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[1.1126820909690867, 0.9112129784714087]                                        |  0.0200841594487429|      0.03125000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[1.1126820909690867, 0.9112129784714087]                                        |  0.0200841594487429|      0.01562500|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[1.1126820909690867, 0.9112129784714087]                                        |  0.0200841594487429|      0.00781250|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[1.110190896504727, 0.9186176463498988]                                         |  0.0175686813890934|      0.01562500|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[1.0996624402856792, 0.9301628719710635]                                        |  0.0137205692008138|      0.03125000|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      38|[1.0996624402856792, 0.9301628719710635]                                        |  0.0137205692008138|      0.01562500|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[1.0996624402856792, 0.9301628719710635]                                        |  0.0137205692008138|      0.00781250|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      40|[1.097025700810001, 0.9375169702290012]                                         |  0.0122799472883344|      0.01562500|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      41|[1.097025700810001, 0.9375169702290012]                                         |  0.0122799472883344|      0.00781250|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[1.0897506790884541, 0.9403646386087496]                                        |  0.0107186343520880|      0.01562500|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      43|[1.0778205346477783, 0.9504548456742468]                                        |  0.0078889280557632|      0.03125000|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[1.0778205346477783, 0.9504548456742468]                                        |  0.0078889280557632|      0.01562500|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[1.0647904557455414, 0.9590779349583423]                                        |  0.0054622571915388|      0.03125000|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[1.0647904557455414, 0.9590779349583423]                                        |  0.0054622571915388|      0.01562500|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[1.0508154884707555, 0.9660665624823028]                                        |  0.0035457210615277|      0.03125000|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      48|[1.0508154884707555, 0.9660665624823028]                                        |  0.0035457210615277|      0.01562500|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[1.0508154884707555, 0.9660665624823028]                                        |  0.0035457210615277|      0.00781250|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[1.0464640543751982, 0.9725550274442195]                                        |  0.0027354848571122|      0.01562500|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[1.0464640543751982, 0.9725550274442195]                                        |  0.0027354848571122|      0.00781250|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      52|[1.0464640543751982, 0.9725550274442195]                                        |  0.0027354848571122|      0.00390625|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[1.0426736427354393, 0.9734992565814949]                                        |  0.0023594265803695|      0.00781250|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      54|[1.0374990264788977, 0.9793523329390642]                                        |  0.0017672862159088|      0.01562500|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
