k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.10000000|[15, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.01000000|[28, 4, 0, 4]                                                              |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.00100000|[41, 6, 0, 6]                                                              |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.2490055337597205, 0.39000332205451, 0.4150674940369092, 0.3899195611046822]  |  0.0051820585504174|      0.01000000|[55, 8, 0, 8]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       5|[0.2490055337597205, 0.39000332205451, 0.4150674940369092, 0.3899195611046822]  |  0.0051820585504174|      0.00100000|[68, 10, 0, 10]                                                            |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.2480116501095074, 0.3900102926315979, 0.4151341510854564, 0.3898317912990934]|  0.0050560501404107|      0.01000000|[81, 12, 0, 12]                                                            |  | trying linear partial model with 8 points | iterate success | actual_k=1
       7|[0.2480116501095074, 0.3900102926315979, 0.4151341510854564, 0.3898317912990934]|  0.0050560501404107|      0.00100000|[94, 14, 0, 14]                                                            |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.2470188449156579, 0.3900257893043055, 0.4151980020087583, 0.3897316875539396]|  0.0049355532974005|      0.01000000|[107, 16, 0, 16]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
       9|[0.2470188449156579, 0.3900257893043055, 0.4151980020087583, 0.3897316875539396]|  0.0049355532974005|      0.00100000|[120, 18, 0, 18]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.2460271243568838, 0.3900525741454313, 0.4152582680178077, 0.3896215017393177]|  0.0048205312341452|      0.01000000|[133, 20, 0, 20]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      11|[0.2460271243568838, 0.3900525741454313, 0.4152582680178077, 0.3896215017393177]|  0.0048205312341452|      0.00100000|[146, 22, 0, 22]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.2450365574180477, 0.3900862004280853, 0.4153192511745634, 0.3895034870478937]|  0.0047109522856772|      0.01000000|[159, 24, 0, 24]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
