k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  7.9524924420125593|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6058973169281449, 0.0809335849920503]                                        |  0.6136139035224915|      1.11111111|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[0.6058973169281449, 0.0809335849920503]                                        |  0.6136139035224915|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.6058973169281449, 0.0809335849920503]                                        |  0.6136139035224915|      0.90000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.6058973169281449, 0.0809335849920503]                                        |  0.6136139035224915|      0.81000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[-0.1025495509188269, -0.3117533583073362]                                      |  0.2434946447610855|      0.90000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[-0.1025495509188269, -0.3117533583073362]                                      |  0.2434946447610855|      0.81000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[-0.1025495509188269, -0.3117533583073362]                                      |  0.2434946447610855|      0.72900000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[-0.1025495509188269, -0.3117533583073362]                                      |  0.2434946447610855|      0.65610000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[-0.1025495509188269, -0.3117533583073362]                                      |  0.2434946447610855|      0.59049000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[-0.1025495509188269, -0.3117533583073362]                                      |  0.2434946447610855|      0.53144100|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
