k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 24.0625000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0]                                                                      | 24.0625000000000000|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.4884187841923762, 0.1069910802265359]                                        | 11.0704545974731445|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[0.4884187841923762, 0.1069910802265359]                                        | 11.0704545974731445|      0.50000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[0.9630352201609409, 0.2642782021040032]                                        |  2.0640852451324463|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[0.9630352201609409, 0.2642782021040032]                                        |  2.0640852451324463|      0.50000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.9630352201609409, 0.2642782021040032]                                        |  2.0640852451324463|      0.25000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.9630352201609409, 0.2642782021040032]                                        |  2.0640852451324463|      0.12500000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.9630352201609409, 0.2642782021040032]                                        |  2.0640852451324463|      0.06250000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.9638279586203283, 0.326773174427663]                                         |  1.6090738773345947|      0.12500000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[0.8525362536431671, 0.3836867615864119]                                        |  1.1483485698699951|      0.25000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[0.8525362536431671, 0.3836867615864119]                                        |  1.1483485698699951|      0.12500000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.8525362536431671, 0.3836867615864119]                                        |  1.1483485698699951|      0.06250000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.8525362536431671, 0.3836867615864119]                                        |  1.1483485698699951|      0.03125000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[0.840586799581349, 0.4125618901164202]                                         |  1.0494931936264038|      0.06250000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[0.840586799581349, 0.4125618901164202]                                         |  1.0494931936264038|      0.03125000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.8102795532117727, 0.4201798503088737]                                        |  0.9507969617843628|      0.06250000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[0.8102795532117727, 0.4201798503088737]                                        |  0.9507969617843628|      0.03125000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[0.7888863012716567, 0.4429590353563402]                                        |  0.8581304550170898|      0.06250000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[0.7888863012716567, 0.4429590353563402]                                        |  0.8581304550170898|      0.03125000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[0.7583409093900394, 0.4495576363291546]                                        |  0.7808010578155518|      0.06250000|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      21|[0.7583409093900394, 0.4495576363291546]                                        |  0.7808010578155518|      0.03125000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[0.7447464056713429, 0.4776957238377673]                                        |  0.7084650993347168|      0.06250000|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      23|[0.7447464056713429, 0.4776957238377673]                                        |  0.7084650993347168|      0.03125000|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[0.7447464056713429, 0.4776957238377673]                                        |  0.7084650993347168|      0.01562500|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[0.7447464056713429, 0.4776957238377673]                                        |  0.7084650993347168|      0.00781250|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[0.737008267263947, 0.4766203772713136]                                         |  0.6863480210304260|      0.01562500|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      27|[0.737008267263947, 0.4766203772713136]                                         |  0.6863480210304260|      0.00781250|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[0.7293835552673928, 0.4783229997249432]                                        |  0.6672498583793640|      0.01562500|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
