id      | name           | load time (s)  | n      | m      | n_fixed| n_free | vartype
       0|SISSER          |        0.007622|       2|       0|       0|       2|0 0
       1|CHWIRUT2LS      |        0.004998|       3|       0|       0|       3|0 0 0
       2|DENSCHNB        |        0.006093|       2|       0|       0|       2|0 0
       3|GBRAINLS        |         0.02639|       2|       0|       0|       2|0 0
       4|MGH10LS         |        0.005475|       3|       0|       0|       3|0 0 0
       5|QING            |        0.003894|     100|       0|       0|     100|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
       6|BOX3            |        0.003582|       3|       0|       0|       3|0 0 0
       7|DENSCHNC        |        0.004075|       2|       0|       0|       2|0 0
       8|MGH09LS         |        0.004098|       4|       0|       0|       4|0 0 0 0
       9|DENSCHNA        |        0.003528|       2|       0|       0|       2|0 0
      10|LUKSAN21LS      |        0.004027|     100|       0|       0|     100|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
      11|VANDANMSLS      |        0.003776|      22|       0|       0|      22|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
      12|SENSORS         |         0.02674|     100|       0|       0|     100|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
      13|DENSCHND        |        0.002965|       3|       0|       0|       3|0 0 0
      14|CUBE            |        0.003164|       2|       0|       0|       2|0 0
      15|MUONSINELS      |        0.003814|       1|       0|       0|       1|0
      16|DENSCHNE        |        0.002946|       3|       0|       0|       3|0 0 0
      17|DMN15333LS      |           11.73|      99|       0|       0|      99|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
      18|DIAMON3DLS      |           11.61|      99|       0|       0|      99|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
      19|EXPFIT          |        0.004348|       2|       0|       0|       2|0 0
      20|HELIX           |         0.00333|       3|       0|       0|       3|0 0 0
      21|LSC2LS          |        0.003049|       3|       0|       0|       3|0 0 0
      22|KOWOSB          |        0.003235|       4|       0|       0|       4|0 0 0 0
      23|S308            |        0.002755|       2|       0|       0|       2|0 0
      24|DANIWOODLS      |        0.003309|       2|       0|       0|       2|0 0
      25|DENSCHNF        |        0.002719|       2|       0|       0|       2|0 0
      26|LRIJCNN1        |          0.1526|      22|       0|       0|      22|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
      27|YFITU           |         0.00436|       3|       0|       0|       3|0 0 0
      28|CHWIRUT1LS      |        0.003958|       3|       0|       0|       3|0 0 0
      29|COOLHANSLS      |        0.003657|       9|       0|       0|       9|0 0 0 0 0 0 0 0 0
      30|HAHN1LS         |        0.004708|       7|       0|       0|       7|0 0 0 0 0 0 0
      31|HIMMELBB        |        0.003435|       2|       0|       0|       2|0 0
