id      | name           | load time (s)  | n      | m      | n_fixed| n_free | vartype
       0|SISSER          |         0.00256|       2|       0|       0|       2|0 0
       1|CHWIRUT2LS      |        0.001227|       3|       0|       0|       3|0 0 0
       2|DENSCHNB        |       0.0007792|       2|       0|       0|       2|0 0
       3|GBRAINLS        |         0.08886|       2|       0|       0|       2|0 0
       4|MGH10LS         |       0.0009449|       3|       0|       0|       3|0 0 0
       5|BOX3            |       0.0007658|       3|       0|       0|       3|0 0 0
       6|DENSCHNC        |       0.0006688|       2|       0|       0|       2|0 0
       7|MGH09LS         |          0.0007|       4|       0|       0|       4|0 0 0 0
       8|DENSCHNA        |       0.0007169|       2|       0|       0|       2|0 0
       9|VANDANMSLS      |        0.001211|      22|       0|       0|      22|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
      10|DENSCHND        |       0.0007269|       3|       0|       0|       3|0 0 0
      11|CUBE            |       0.0007265|       2|       0|       0|       2|0 0
      12|MUONSINELS      |        0.003121|       1|       0|       0|       1|0
      13|DENSCHNE        |       0.0006771|       3|       0|       0|       3|0 0 0
      14|EXPFIT          |       0.0006921|       2|       0|       0|       2|0 0
      15|HELIX           |        0.000679|       3|       0|       0|       3|0 0 0
      16|LSC2LS          |        0.001797|       3|       0|       0|       3|0 0 0
      17|KOWOSB          |       0.0007119|       4|       0|       0|       4|0 0 0 0
      18|S308            |       0.0006707|       2|       0|       0|       2|0 0
      19|DANIWOODLS      |       0.0006833|       2|       0|       0|       2|0 0
      20|DENSCHNF        |       0.0006578|       2|       0|       0|       2|0 0
      21|LRIJCNN1        |           0.402|      22|       0|       0|      22|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
      22|YFITU           |        0.001499|       3|       0|       0|       3|0 0 0
      23|CHWIRUT1LS      |        0.001838|       3|       0|       0|       3|0 0 0
      24|COOLHANSLS      |       0.0008054|       9|       0|       0|       9|0 0 0 0 0 0 0 0 0
      25|HAHN1LS         |        0.002652|       7|       0|       0|       7|0 0 0 0 0 0 0
      26|HIMMELBB        |       0.0006745|       2|       0|       0|       2|0 0
