k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      0.50000000|[3, 1, 1, 2]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       2|[-0.9525398225611659, 0.4144838251768586, 0.2755915278527874]                   |1657.6920313729667669|      1.00000000|[6, 2, 2, 4]                                                               |  | used linear model with 4 points | iterate success | actual_k=1
       3|[-1.5528806474444006, 1.167559143399062, 0.5447911917883964]                    |1265.0954597262175412|      2.00000000|[10, 2, 3, 6]                                                              |  | used linear model with 4 points | iterate success | actual_k=1
       4|[-2.0806609495745185, 2.7215836240375655, 1.687794195397605]                    |933.9386260340801300|      4.00000000|[13, 3, 4, 8]                                                              |  | used linear model with 4 points | iterate success | actual_k=1
       5|[0.7784041926994063, -0.0751085934535474, 1.6225320098777727]                   |322.6694356136168267|      8.00000000|[16, 4, 5, 10]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
       6|[0.7784041926994063, -0.0751085934535474, 1.6225320098777727]                   |322.6694356136168267|      4.00000000|[19, 5, 6, 12]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       7|[0.7784041926994063, -0.0751085934535474, 1.6225320098777727]                   |322.6694356136168267|      2.00000000|[22, 6, 7, 14]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       8|[0.7784041926994063, -0.0751085934535474, 1.6225320098777727]                   |322.6694356136168267|      1.00000000|[25, 7, 8, 16]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       9|[0.3299867469862363, 0.769085704677498, 1.3288352591584163]                     | 32.1041754933550010|      2.00000000|[28, 8, 9, 18]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
      10|[0.3299867469862363, 0.769085704677498, 1.3288352591584163]                     | 32.1041754933550010|      1.00000000|[31, 9, 10, 20]                                                            |  | used linear model with 4 points | iterate failure | actual_k=1
      11|[0.3299867469862363, 0.769085704677498, 1.3288352591584163]                     | 32.1041754933550010|      0.50000000|[34, 10, 11, 22]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      12|[0.6572706899416254, 0.9741404793258778, 1.6463848774505438]                    |  6.6071682738139437|      1.00000000|[37, 11, 12, 24]                                                           |  | used linear model with 4 points | iterate success | actual_k=1
      13|[0.6572706899416254, 0.9741404793258778, 1.6463848774505438]                    |  6.6071682738139437|      0.50000000|[40, 12, 13, 26]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      14|[0.6572706899416254, 0.9741404793258778, 1.6463848774505438]                    |  6.6071682738139437|      0.25000000|[43, 13, 14, 28]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      15|[0.498790342833826, 0.7874032653888803, 1.5962531259188109]                     |  3.0117326451606363|      0.50000000|[47, 13, 15, 30]                                                           |  | used linear model with 4 points | iterate success | actual_k=1
