k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.50000000|[177, 12, 0, 3]                                                            |  | trying quadratic partial model with 61 points | trying quadratic partial model with 119 points | exploitation failed, decreasing delta | actual_k=4
       2|[0.8876861780389991, 0.8891401377193049, 0.8879792310665342, 0.8885222715706677, 0.8879373273895281, 0.8863216537209817, 0.8872003519851597, 0.8874781155848677, 0.8865142199284578, 0.8887108160984825, 1.0404422720796072, 0.654537774429192, 0.9878351467474524, 0.9878448038402268, 0.9880357188058668, 0.9879271262710411, 0.974623277471112, 0.9656298415450959, 0.9796632237860647, 0.9940827420952901, 0.9911926326432925, 0.9914035161147533]|  1.3729230165481567|      1.00000000|[294, 20, 0, 5]                                                            |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
       3|[0.8876861780389991, 0.8891401377193049, 0.8879792310665342, 0.8885222715706677, 0.8879373273895281, 0.8863216537209817, 0.8872003519851597, 0.8874781155848677, 0.8865142199284578, 0.8887108160984825, 1.0404422720796072, 0.654537774429192, 0.9878351467474524, 0.9878448038402268, 0.9880357188058668, 0.9879271262710411, 0.974623277471112, 0.9656298415450959, 0.9796632237860647, 0.9940827420952901, 0.9911926326432925, 0.9914035161147533]|  1.3729230165481567|      0.50000000|[469, 32, 0, 8]                                                            |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
       4|[0.7756438404741527, 0.777292286896274, 0.7756233757818941, 0.7764795999203076, 0.7755720129385986, 0.7744791650962985, 0.7740541022549909, 0.774601747180755, 0.7738965994870398, 0.7759660812217898, 1.0725239904105601, 0.3094886703876468, 0.9753817442123992, 0.9738918898653344, 0.9748900769866254, 0.974662504565019, 0.9462697827168732, 0.9284416105183448, 0.957873862262768, 0.9876280414151574, 0.9801602450972866, 0.9827128322995351]|  1.2271754741668701|      1.00000000|[587, 40, 0, 10]                                                           |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
       5|[0.7756438404741527, 0.777292286896274, 0.7756233757818941, 0.7764795999203076, 0.7755720129385986, 0.7744791650962985, 0.7740541022549909, 0.774601747180755, 0.7738965994870398, 0.7759660812217898, 1.0725239904105601, 0.3094886703876468, 0.9753817442123992, 0.9738918898653344, 0.9748900769866254, 0.974662504565019, 0.9462697827168732, 0.9284416105183448, 0.957873862262768, 0.9876280414151574, 0.9801602450972866, 0.9827128322995351]|  1.2271754741668701|      0.50000000|[762, 52, 0, 13]                                                           |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
       6|[0.6619265771546806, 0.6662277200445005, 0.6593616964220101, 0.665795692242133, 0.658644584614673, 0.6582917508562997, 0.6627851823020001, 0.6573463856017197, 0.658547123074647, 0.6663752627812654, 1.0967965765549204, -0.0308040938284104, 0.9618276407074189, 0.9586566890705749, 0.9595093208929704, 0.958231211440979, 0.9187943626933952, 0.8897923431681316, 0.9336628852422008, 0.9850847502722438, 0.97086740264338, 0.9722154488687607]|  1.0930724143981934|      1.00000000|[880, 60, 0, 15]                                                           |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
       7|[0.6619265771546806, 0.6662277200445005, 0.6593616964220101, 0.665795692242133, 0.658644584614673, 0.6582917508562997, 0.6627851823020001, 0.6573463856017197, 0.658547123074647, 0.6663752627812654, 1.0967965765549204, -0.0308040938284104, 0.9618276407074189, 0.9586566890705749, 0.9595093208929704, 0.958231211440979, 0.9187943626933952, 0.8897923431681316, 0.9336628852422008, 0.9850847502722438, 0.97086740264338, 0.9722154488687607]|  1.0930724143981934|      0.50000000|[1054, 72, 0, 18]                                                          |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
       8|[0.5442553304137077, 0.5519722472877514, 0.5371320842300447, 0.5497349940876861, 0.5397852603565595, 0.5412178728463719, 0.5437817334019431, 0.5451058863569163, 0.5435369633725011, 0.5509146232959201, 1.1114991734507824, -0.3594240267759443, 0.949998518554311, 0.9404112313367762, 0.9447581839233733, 0.9408985890304526, 0.8823610911959231, 0.8450515828076706, 0.9075347501433957, 0.9779083516215653, 0.9619093920247036, 0.9582401138103281]|  0.9720869660377502|      1.00000000|[1171, 80, 0, 20]                                                          |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
       9|[0.5442553304137077, 0.5519722472877514, 0.5371320842300447, 0.5497349940876861, 0.5397852603565595, 0.5412178728463719, 0.5437817334019431, 0.5451058863569163, 0.5435369633725011, 0.5509146232959201, 1.1114991734507824, -0.3594240267759443, 0.949998518554311, 0.9404112313367762, 0.9447581839233733, 0.9408985890304526, 0.8823610911959231, 0.8450515828076706, 0.9075347501433957, 0.9779083516215653, 0.9619093920247036, 0.9582401138103281]|  0.9720869660377502|      0.50000000|[1345, 92, 0, 23]                                                          |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      10|[0.5442553304137077, 0.5519722472877514, 0.5371320842300447, 0.5497349940876861, 0.5397852603565595, 0.5412178728463719, 0.5437817334019431, 0.5451058863569163, 0.5435369633725011, 0.5509146232959201, 1.1114991734507824, -0.3594240267759443, 0.949998518554311, 0.9404112313367762, 0.9447581839233733, 0.9408985890304526, 0.8823610911959231, 0.8450515828076706, 0.9075347501433957, 0.9779083516215653, 0.9619093920247036, 0.9582401138103281]|  0.9720869660377502|      0.25000000|[1519, 104, 0, 26]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      11|[0.4849601471046995, 0.4924353778619482, 0.4767438982186028, 0.4895882852828348, 0.480243069265581, 0.4814095032123304, 0.4844328872298422, 0.4860520659350037, 0.4825302550647258, 0.4920907761276297, 1.1110680077255675, -0.5179982836778965, 0.9409550132581282, 0.9314982269850511, 0.9356731932762196, 0.9323525298045422, 0.8631264200835946, 0.8193159056471685, 0.8916979836602936, 0.9728943613093819, 0.9545214019290995, 0.9522849874472578]|  0.9163764715194702|      0.50000000|[1636, 112, 0, 28]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      12|[0.4849601471046995, 0.4924353778619482, 0.4767438982186028, 0.4895882852828348, 0.480243069265581, 0.4814095032123304, 0.4844328872298422, 0.4860520659350037, 0.4825302550647258, 0.4920907761276297, 1.1110680077255675, -0.5179982836778965, 0.9409550132581282, 0.9314982269850511, 0.9356731932762196, 0.9323525298045422, 0.8631264200835946, 0.8193159056471685, 0.8916979836602936, 0.9728943613093819, 0.9545214019290995, 0.9522849874472578]|  0.9163764715194702|      0.25000000|[1810, 124, 0, 31]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
