k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.435282264178767, 0.8997692805294518, -0.0307342204540567]                   |1761.7349853515625000|      2.00000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[-0.9937056536977285, 1.7945455418959866, 1.7025821208901897]                   |370.1515398031137352|      4.00000000|[13, 4, 1, 5]                                                              |  | trying quadratic partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
       3|[-0.9937056536977285, 1.7945455418959866, 1.7025821208901897]                   |370.1515398031137352|      2.00000000|[23, 7, 1, 8]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-0.9937056536977285, 1.7945455418959866, 1.7025821208901897]                   |370.1515398031137352|      1.00000000|[32, 10, 1, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.2823546524430699, 1.8400357936190361, 2.403945357745507]                    | 91.4605178833007812|      2.00000000|[38, 12, 1, 13]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       6|[-0.2823546524430699, 1.8400357936190361, 2.403945357745507]                    | 91.4605178833007812|      1.00000000|[47, 15, 1, 16]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.2823546524430699, 1.8400357936190361, 2.403945357745507]                    | 91.4605178833007812|      0.50000000|[56, 18, 1, 19]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.1843228994242365, 1.356714491242659, 2.486348598393294]                     | 25.0352935791015625|      1.00000000|[62, 20, 1, 21]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[-0.1843228994242365, 1.356714491242659, 2.486348598393294]                     | 25.0352935791015625|      0.50000000|[71, 23, 1, 24]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.1843228994242365, 1.356714491242659, 2.486348598393294]                     | 25.0352935791015625|      0.25000000|[81, 26, 2, 28]                                                            |  | trying quadratic partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.0194376945404655, 1.2356520139963427, 2.5658815912336057]                    | 12.9707117080688477|      0.50000000|[90, 29, 2, 31]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | iterate success | actual_k=1
