k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[46, 13, 1, 5]                                                             |  | used quadratic model with 59 points | iterate failure | actual_k=4
       2|[0.0255780216769674, -0.080345022315728, -0.0294429510145281, 0.0823703287613793, 0.4775803975066517, -0.0673327160872411, -0.0186149165368475, 0.0068122115397391, 0.0472126221411574]|88237.2338818587741116|      1.00000000|[90, 28, 2, 10]                                                            |  | used quadratic model with 59 points | iterate success | actual_k=4
       3|[0.0255780216769674, -0.080345022315728, -0.0294429510145281, 0.0823703287613793, 0.4775803975066517, -0.0673327160872411, -0.0186149165368475, 0.0068122115397391, 0.0472126221411574]|88237.2338818587741116|      0.50000000|[136, 41, 3, 15]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=4
       4|[0.0255780216769674, -0.080345022315728, -0.0294429510145281, 0.0823703287613793, 0.4775803975066517, -0.0673327160872411, -0.0186149165368475, 0.0068122115397391, 0.0472126221411574]|88237.2338818587741116|      0.25000000|[181, 55, 4, 20]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=4
       5|[-0.0083423212055318, -0.0761561362109431, -0.0738633377718715, 0.0035819819580031, 0.6750134435543516, -0.1779037080509603, -0.0209712244183813, 0.0353935967910317, 0.0807221657821016]|55046.4702622075274121|      0.50000000|[225, 70, 5, 25]                                                           |  | used quadratic model with 59 points | iterate success | actual_k=4
       6|[-0.0083423212055318, -0.0761561362109431, -0.0738633377718715, 0.0035819819580031, 0.6750134435543516, -0.1779037080509603, -0.0209712244183813, 0.0353935967910317, 0.0807221657821016]|55046.4702622075274121|      0.25000000|[269, 85, 6, 30]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=4
       7|[-0.030097143528145, -0.1011043555371842, -0.0975044100044624, -0.0375409276763022, 0.7910518183050117, 0.0232881617967246, -0.0403426787684407, -0.029938670178805, 0.1045483867671132]|4278.6620545952555403|      0.50000000|[314, 99, 7, 35]                                                           |  | used quadratic model with 59 points | iterate success | actual_k=4
       8|[-0.030097143528145, -0.1011043555371842, -0.0975044100044624, -0.0375409276763022, 0.7910518183050117, 0.0232881617967246, -0.0403426787684407, -0.029938670178805, 0.1045483867671132]|4278.6620545952555403|      0.25000000|[359, 113, 8, 40]                                                          |  | used quadratic model with 59 points | iterate failure | actual_k=4
       9|[-0.030097143528145, -0.1011043555371842, -0.0975044100044624, -0.0375409276763022, 0.7910518183050117, 0.0232881617967246, -0.0403426787684407, -0.029938670178805, 0.1045483867671132]|4278.6620545952555403|      0.12500000|[404, 127, 9, 45]                                                          |  | used quadratic model with 59 points | iterate failure | actual_k=4
      10|[0.0034636531265655, -0.1244257890556299, -0.0918645078250009, 0.0319846098244845, 0.8328865567737345, 0.0057715255860321, 0.0167766625740547, 0.0312203434749167, 0.0991490523824058]|1936.4085402100388364|      0.25000000|[448, 142, 10, 50]                                                         |  | used quadratic model with 59 points | iterate success | actual_k=4
      11|[0.0034636531265655, -0.1244257890556299, -0.0918645078250009, 0.0319846098244845, 0.8328865567737345, 0.0057715255860321, 0.0167766625740547, 0.0312203434749167, 0.0991490523824058]|1936.4085402100388364|      0.12500000|[492, 157, 11, 55]                                                         |  | used quadratic model with 59 points | iterate failure | actual_k=4
